Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2024-02-09,19.50,21.00,19.05,19.05,,,,,,,0,21.0000,0,295153,,,,,0
2024-02-12,19.20,20.95,18.71,19.55,,,,,,,0,21.0000,0,48967,,,,,0
2024-02-13,19.90,20.75,19.50,20.60,,,,,,,0,21.0000,0,43427,,,,,0
2024-02-14,20.60,21.45,20.14,21.30,,,,,,,0,18.7100,1,35959,,,,,0
2024-02-15,21.01,21.88,20.28,20.43,,,,,,,0,18.7648,1,23613,,,,,0
2024-02-16,20.21,20.95,20.01,20.21,,,,,,,0,18.8894,1,7300,,,,,0
2024-02-20,20.56,21.10,20.04,20.74,,,,,,,0,19.0090,1,9860,,,,,0
2024-02-21,21.02,21.02,20.09,20.09,,,,,,,0,19.1239,1,3664,,,,,0
2024-02-22,20.25,20.97,20.25,20.79,,,,,,,0,19.2341,1,19283,,,,,0
2024-02-23,20.87,21.92,20.55,20.87,20.36,,,,,25.2946,0,19.3400,1,14891,,,,,0
2024-02-26,20.46,21.41,20.46,20.69,20.53,,,,,24.8736,0,19.4948,1,9879,,,,,0
2024-02-27,20.93,21.46,19.76,20.19,20.59,,,,,24.6648,0,19.6403,1,12203,,,,,0
2024-02-28,20.20,21.21,19.85,20.90,20.62,,,,,24.5873,0,19.7600,1,7534,,,,,0
2024-02-29,20.77,21.41,20.21,20.99,20.59,,,,,24.5873,0,19.7600,1,5758,,,,,0
2024-03-01,20.65,21.49,20.55,21.28,20.68,,,,,24.5873,0,19.8500,1,5935,,,,,0
2024-03-04,21.49,21.49,21.04,21.27,20.78,,,,,24.5873,0,19.9742,1,5566,,,,,0
2024-03-05,20.88,21.85,20.58,20.92,20.80,,,,,24.5873,0,20.0909,1,16947,,,,,0
2024-03-06,21.48,22.54,21.27,21.78,20.97,,,,,24.5873,0,20.2007,1,18526,,,,,0
2024-03-07,21.77,22.06,20.93,21.00,20.99,,,,,24.5873,0,20.3878,1,20696,,,,,0
2024-03-08,21.00,21.78,20.41,20.97,21.00,20.68,,,,24.5873,0,22.5400,0,12207,,,,,0
2024-03-11,20.90,21.94,20.42,21.26,21.06,20.79,,,,24.5873,0,22.4974,0,4822,,,,,0
2024-03-12,21.52,21.64,21.12,21.18,21.16,20.87,,,,24.5873,0,22.4557,0,4020,,,,,0
2024-03-13,21.20,22.09,21.09,22.02,21.27,20.94,,,,24.5873,0,22.4147,0,11380,,,,,0
2024-03-14,22.02,22.10,21.03,21.76,21.34,20.97,,,,24.5873,0,22.3746,0,8541,,,,,0
2024-03-15,21.72,22.14,21.55,21.71,21.39,21.03,,,,24.5873,0,22.3354,0,2718,,,,,0
2024-03-18,21.67,22.00,21.49,21.92,21.45,21.12,,,,24.5873,0,22.2968,0,5375,,,,,0
2024-03-19,21.69,21.94,21.51,21.68,21.53,21.16,,,,24.5873,0,22.2591,0,7376,,,,,0
