Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2024-06-27,22.50,22.90,21.74,21.75,,,,,,,0,21.7400,1,11747,,,,,0
2024-06-28,22.10,23.73,21.75,22.50,,,,,,,0,21.7400,1,4077,,,,,0
2024-07-01,22.50,25.99,22.50,24.25,,,,,,,0,21.7400,1,3579,,,,,0
2024-07-02,23.51,24.00,22.73,23.57,,,,,,,0,21.7500,1,2937,,,,,0
2024-07-03,24.10,24.45,23.12,23.81,,,,,,,0,21.9196,1,1438,,,,,0
2024-07-05,24.00,24.00,23.47,23.88,,,,,,,0,22.0824,1,1956,,,,,0
2024-07-08,23.97,23.97,22.57,23.60,,,,,,,0,22.2387,1,1867,,,,,0
2024-07-09,22.94,24.00,22.94,23.90,,,,,,,0,22.3888,1,846,,,,,0
2024-07-10,24.00,24.15,23.08,23.32,,,,,,,0,22.5328,1,1411,,,,,0
2024-07-11,23.29,23.82,23.29,23.63,23.42,,,,,27.7787,0,22.6711,1,728,,,,,0
2024-07-12,23.75,24.43,23.50,24.05,23.65,,,,,27.7787,0,22.8039,1,462,,,,,0
2024-07-15,24.43,24.83,24.16,24.72,23.87,,,,,27.7787,0,22.9313,1,640,,,,,0
2024-07-16,25.09,25.32,24.26,24.49,23.90,,,,,27.7787,0,23.0537,1,1330,,,,,0
2024-07-17,24.25,24.81,24.00,24.41,23.98,,,,,27.7787,0,23.1711,1,1836,,,,,0
2024-07-18,24.00,25.10,24.00,24.63,24.06,,,,,27.7787,0,23.2839,1,2628,,,,,0
2024-07-19,24.40,24.71,24.20,24.23,24.10,,,,,27.7787,0,23.3921,1,405,,,,,0
2024-07-22,24.20,25.07,24.00,24.50,24.19,,,,,27.7787,0,23.4960,1,3116,,,,,0
