Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,58.69,60.00,58.69,59.65,,,,,,,0,58.6900,1,48573,,,,,0
2023-07-14,60.28,61.31,59.26,59.80,,,,,,,0,58.6900,1,83343,,,,,0
2023-07-17,59.60,60.41,59.25,59.44,,,,,,,0,58.6900,1,37869,,,,,0
2023-07-18,59.61,61.97,59.34,60.70,,,,,,,0,58.7424,1,65890,,,,,0
2023-07-19,59.84,60.14,57.74,58.87,,,,,,,0,61.9700,0,63909,,,,,0
2023-07-20,59.58,59.58,58.20,58.43,,,,,,,0,61.9700,0,32434,,,,,0
2023-07-21,58.52,58.68,57.58,58.46,,,,,,,0,61.8854,0,44570,,,,,0
2023-07-24,58.35,58.95,57.74,58.48,,,,,,,0,61.7132,0,51223,,,,,0
2023-07-25,58.24,59.61,58.00,59.30,,,,,,,0,61.5479,0,57278,,,,,0
2023-07-26,58.58,61.08,58.41,60.09,59.32,,,,,65.1690,0,61.3891,0,58822,,,,,0
2023-07-27,60.66,60.72,57.71,58.48,59.20,,,,,64.9996,0,61.2368,0,48199,,,,,0
2023-07-28,58.65,62.59,58.23,61.96,59.42,,,,,64.9996,0,57.5800,1,73627,,,,,0
2023-07-31,62.79,63.42,61.93,63.11,59.79,,,,,64.9996,0,57.6802,1,53290,,,,,0
2023-08-01,62.89,62.89,61.51,62.35,59.95,,,,,64.9996,0,57.9098,1,37547,,,,,0
2023-08-02,62.00,62.99,61.09,62.73,60.34,,,,,64.9996,0,58.1302,1,44482,,,,,0
2023-08-03,64.00,65.79,63.60,64.75,60.97,,,,,64.9996,0,58.3418,1,79235,,,,,0
2023-08-04,64.80,65.68,63.85,64.14,61.54,,,,,64.9996,0,58.7887,1,43962,,,,,0
2023-08-07,64.60,64.62,61.78,62.48,61.94,,,,,64.9996,0,59.2088,1,69646,,,,,0
2023-08-08,57.30,65.75,56.21,63.42,62.35,,,,,64.9996,0,65.7900,0,123732,,,,,0
2023-08-09,64.06,67.20,63.54,64.47,62.79,61.06,,,,64.9996,0,56.2100,1,72883,,,,,0
2023-08-10,64.15,64.78,61.87,62.99,63.24,61.22,,,,64.9996,0,56.2100,1,58996,,,,,0
2023-08-11,62.92,63.79,62.64,63.29,63.37,61.40,,,,64.9996,0,56.4298,1,46651,,,,,0
2023-08-14,63.85,64.19,61.96,62.72,63.33,61.56,,,,64.9996,0,56.6452,1,39532,,,,,0
2023-08-15,62.30,62.84,61.96,62.27,63.33,61.64,,,,64.9996,0,56.8563,1,26160,,,,,0
2023-08-16,62.22,62.72,61.01,61.09,63.16,61.75,,,,64.9996,0,57.0632,1,61389,,,,,0
2023-08-17,62.08,62.08,59.13,59.49,62.64,61.80,,,,64.9996,0,57.2659,1,60424,,,,,0
2023-08-18,58.93,61.53,58.50,61.42,62.36,61.95,,,,64.9996,0,57.4646,1,51980,,,,,0
2023-08-21,61.57,62.27,60.30,61.17,62.23,62.09,,,,64.9996,0,57.6593,1,25459,,,,,0
2023-08-22,61.17,62.03,60.92,61.52,62.04,62.20,,,,64.9996,0,57.8501,1,25912,,,,,0
2023-08-23,60.50,63.98,59.63,63.05,61.90,62.34,,,,64.9996,0,58.0371,1,55106,,,,,0
2023-08-24,62.76,63.40,61.75,61.78,61.78,62.51,,,,64.9996,0,58.2204,1,35357,,,,,0
2023-08-25,61.95,62.16,60.26,61.13,61.56,62.47,,,,64.9996,0,58.4000,1,33499,,,,,0
2023-08-28,61.09,62.57,60.71,60.76,61.37,62.35,,,,64.9996,0,58.5760,1,29791,,,,,0
2023-08-29,60.88,62.01,59.74,61.44,61.28,62.31,,,,64.9996,0,58.7484,1,32686,,0.2178,0.4391,-0.2213,0
2023-08-30,61.43,63.70,61.43,63.07,61.48,62.32,,,,64.9996,0,58.9175,1,40592,,0.3192,0.4151,-0.0959,0
2023-08-31,63.61,66.26,63.25,65.03,62.04,62.34,,,,58.4384,1,59.0831,1,92141,,0.5514,0.4424,0.1090,0
2023-09-01,66.26,68.86,66.14,67.68,62.66,62.51,,,,59.7839,1,59.2455,1,64370,,0.9384,0.5416,0.3968,0
2023-09-05,69.00,70.00,67.42,67.97,63.34,62.79,,,,60.9915,1,59.6300,1,72538,,1.2540,0.6841,0.5700,0
2023-09-06,67.50,69.78,66.46,67.85,63.98,63.01,,,,60.9915,1,60.2522,1,63080,,1.4775,0.8427,0.6347,0
2023-09-07,67.62,68.75,66.57,66.88,64.36,63.13,,,,60.9915,1,60.8371,1,46100,,1.5583,0.9859,0.5725,0
2023-09-08,66.87,69.33,66.28,69.02,65.08,63.43,,,,60.9915,1,61.3869,1,62063,,1.7746,1.1436,0.6310,0
2023-09-11,69.94,71.14,69.29,70.56,66.03,63.79,,,,62.4356,1,61.9037,1,69106,,2.0467,1.3242,0.7225,0
2023-09-12,70.90,73.16,70.58,70.87,67.04,64.20,,,,64.0885,1,62.6426,1,56994,,2.2613,1.5116,0.7496,0
2023-09-13,70.87,71.44,67.47,68.10,67.70,64.49,,,,64.0885,1,63.6943,1,84723,,2.1826,1.6458,0.5368,0
2023-09-14,69.00,70.75,67.72,68.69,68.26,64.87,,,,64.0885,1,64.6409,1,62865,,2.1432,1.7453,0.3979,0
2023-09-15,68.76,68.76,66.72,67.60,68.52,65.28,,,,64.0885,1,65.4928,1,109188,,2.0010,1.7964,0.2045,0
2023-09-18,67.98,69.00,67.13,67.35,68.49,65.58,,,,64.0885,1,66.2595,1,49307,,1.8468,1.8065,0.0403,0
2023-09-19,68.52,68.89,65.39,65.53,68.24,65.79,,,,64.0885,1,73.1600,0,78086,,1.5598,1.7572,-0.1974,0
2023-09-20,66.00,67.77,65.93,66.79,68.14,66.06,,,,64.0885,1,73.0046,0,41430,,1.4176,1.6893,-0.2716,0
2023-09-21,66.63,67.07,64.46,65.27,67.98,66.17,63.27,,,64.0885,1,72.8523,0,56445,56450,1.1688,1.5852,-0.4163,0
2023-09-22,65.66,67.24,65.66,65.91,67.67,66.37,63.39,,,64.0885,1,72.5166,0,29363,56066,1.0116,1.4705,-0.4588,0
2023-09-25,65.35,67.08,65.10,66.30,67.24,66.63,63.52,,,64.0885,1,72.1944,0,31055,55020,0.9081,1.3580,-0.4499,0
2023-09-26,65.80,68.57,65.80,67.94,66.95,66.99,63.69,,,64.0885,1,71.8850,0,53442,55331,0.9474,1.2759,-0.3285,0
2023-09-27,69.13,73.06,69.02,72.99,67.44,67.57,63.94,,,64.0885,1,64.4600,1,78150,55576,1.3703,1.2948,0.0755,0
2023-09-28,72.50,73.55,71.14,72.28,67.80,68.03,64.21,,,64.0885,1,64.6320,1,76581,55830,1.6293,1.3617,0.2677,0
2023-09-29,72.50,72.50,69.69,71.07,68.14,68.33,64.46,,,64.0885,1,64.9887,1,66784,56517,1.7172,1.4328,0.2844,0
2023-10-02,71.08,71.50,67.18,67.43,68.15,68.32,64.64,,,64.0885,1,65.3312,1,61462,56855,1.4761,1.4415,0.0347,0
2023-10-03,66.84,68.30,66.15,68.23,68.42,68.33,64.84,,,64.0885,1,65.6599,1,53301,56896,1.3342,1.4200,-0.0858,0
2023-10-04,67.00,67.45,63.04,63.55,68.10,68.12,64.92,,,73.6476,0,73.5500,0,85856,57468,0.8345,1.3029,-0.4684,0
2023-10-05,62.60,65.35,62.15,65.27,68.10,68.04,65.02,,,73.0256,0,73.3398,0,70028,57692,0.5707,1.1565,-0.5858,0
2023-10-06,65.32,67.67,64.74,66.34,68.14,67.90,65.18,,,73.0256,0,72.8922,0,39937,57527,0.4429,1.0137,-0.5709,0
2023-10-09,68.03,69.70,67.87,68.74,68.38,67.81,65.32,,,73.0256,0,72.4625,0,59144,57237,0.5291,0.9168,-0.3877,0
2023-10-10,68.55,69.61,67.85,68.87,68.48,67.71,65.43,,,73.0256,0,72.0500,0,32403,56819,0.6010,0.8537,-0.2526,0
2023-10-11,68.16,70.72,67.95,70.47,68.22,67.83,65.60,,,73.0256,0,71.6540,0,32458,56718,0.7782,0.8386,-0.0604,0
2023-10-12,70.90,71.18,66.86,68.05,67.80,67.80,65.70,,,73.0256,0,71.2739,0,43259,56693,0.7150,0.8139,-0.0988,0
2023-10-13,69.64,70.77,68.38,69.43,67.64,67.89,65.80,,,73.0256,0,71.1800,0,36451,55837,0.7675,0.8046,-0.0371,0
2023-10-16,69.43,70.18,66.82,67.06,67.60,67.88,65.85,,,73.0256,0,71.1800,0,49510,55948,0.6108,0.7658,-0.1550,0
2023-10-17,66.95,69.01,66.18,68.80,67.66,68.04,65.98,,,73.0256,0,70.8188,0,60633,55768,0.6199,0.7366,-0.1168,0
2023-10-18,69.34,72.50,69.21,70.99,68.40,68.25,66.13,,,73.0256,0,62.1500,1,95886,55211,0.7946,0.7482,0.0464,0
2023-10-19,70.33,71.77,70.19,71.44,69.02,68.56,66.27,,,73.0256,0,62.3570,1,47515,54704,0.9584,0.7903,0.1681,0
2023-10-20,70.95,71.18,68.30,70.42,69.43,68.78,66.42,,,73.0256,0,62.5599,1,63934,54803,0.9944,0.8311,0.1633,0
