Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,40.41,41.08,40.29,40.88,,,,,,,0,40.2911,1,101903,,,,,0
2023-07-19,40.74,41.10,40.54,40.99,,,,,,,0,40.2911,1,61702,,,,,0
2023-07-20,41.49,41.63,40.90,40.95,,,,,,,0,40.2911,1,105111,,,,,0
2023-07-21,40.98,41.06,40.61,40.78,,,,,,,0,40.3447,1,85745,,,,,0
2023-07-24,40.77,42.01,40.51,41.55,,,,,,,0,40.3961,1,125860,,,,,0
2023-07-25,42.25,43.05,41.97,42.34,,,,,,,0,40.4928,1,167674,,,,,0
2023-07-26,41.56,41.61,40.74,40.88,,,,,,,0,40.5143,1,150094,,,,,0
2023-07-27,41.23,42.15,40.45,40.89,,,,,,,0,43.0464,0,182257,,,,,0
2023-07-28,41.72,42.61,41.44,42.39,,,,,,,0,42.9944,0,159744,,,,,0
2023-07-31,42.85,43.55,42.62,43.10,41.48,,,,,46.5924,0,40.4464,1,128603,,,,,0
2023-08-01,42.30,42.39,41.39,42.08,41.60,,,,,45.5587,0,40.5084,1,139799,,,,,0
2023-08-02,41.24,41.33,40.42,40.88,41.58,,,,,44.6754,0,43.5509,0,165142,,,,,0
2023-08-03,40.67,41.17,39.87,40.89,41.58,,,,,44.3359,0,43.4882,0,128756,,,,,0
2023-08-04,41.04,41.18,40.56,40.69,41.57,,,,,44.3359,0,43.3437,0,95850,,,,,0
2023-08-07,40.75,40.96,40.48,40.79,41.49,,,,,44.1188,0,43.2049,0,71804,,,,,0
2023-08-08,39.77,40.82,39.60,40.58,41.32,,,,,43.6332,0,43.0716,0,104667,,,,,0
2023-08-09,40.83,40.89,40.15,40.26,41.26,,,,,43.6332,0,42.8635,0,82095,,,,,0
2023-08-10,40.77,40.77,39.08,39.39,41.11,,,,,43.4045,0,42.6678,0,150135,,,,,0
2023-08-11,39.24,39.25,38.38,39.15,40.78,,,,,42.2530,0,42.3807,0,164374,,,,,0
2023-08-14,38.57,39.05,38.40,38.65,40.34,40.91,,,,42.0413,0,41.9806,0,118898,,,,,0
2023-08-15,38.05,38.25,36.54,36.81,39.81,40.70,,,,41.0149,0,41.6205,0,228418,,,,,0
2023-08-16,36.52,36.72,35.98,36.15,39.34,40.46,,,,39.8574,0,41.0104,0,171240,,,,,0
2023-08-17,37.49,38.19,37.06,37.48,38.99,40.29,,,,39.8574,0,40.3067,0,198562,,,,,0
2023-08-18,36.99,38.21,36.62,37.92,38.72,40.14,,,,39.8574,0,39.7014,0,157787,,,,,0
2023-08-21,37.99,38.60,37.97,38.37,38.48,39.98,,,,39.8574,0,39.1809,0,83399,,,,,0
2023-08-22,38.83,39.54,38.61,39.19,38.34,39.83,,,,39.8574,0,35.9836,1,158676,,,,,0
2023-08-23,39.32,39.79,38.95,39.50,38.26,39.76,,,,39.8574,0,36.0548,1,79926,,,,,0
2023-08-24,38.90,39.19,38.59,38.65,38.19,39.65,,,,39.8574,0,36.2041,1,88393,,,,,0
2023-08-25,38.76,39.14,38.43,38.78,38.15,39.47,,,,39.8574,0,36.3474,1,96160,,,,,0
2023-08-28,39.20,39.50,38.81,38.97,38.18,39.26,,,,39.8574,0,36.4849,1,58287,,,,,0
2023-08-29,39.05,39.99,38.77,39.92,38.49,39.15,,,,36.1207,1,36.6170,1,78683,,,,,0
2023-08-30,40.09,40.49,39.88,40.10,38.89,39.11,,,,37.0714,1,36.8194,1,77072,,,,,0
2023-08-31,40.26,40.61,39.97,40.09,39.15,39.07,,,,37.2973,1,37.1127,1,89326,,,,,0
2023-09-01,40.96,41.55,40.80,41.23,39.48,39.10,,,,38.0400,1,37.4625,1,135473,,-0.3652,-0.9218,0.5567,0
2023-09-05,40.80,41.38,40.54,40.55,39.70,39.09,,,,38.0400,1,37.9533,1,110411,,-0.2633,-0.7901,0.5268,0
2023-09-06,40.13,40.40,39.57,39.86,39.77,39.05,,,,38.0400,1,38.3852,1,79628,,-0.2354,-0.6792,0.4438,0
2023-09-07,39.16,39.61,38.88,39.06,39.72,38.99,,,,38.0400,1,38.7652,1,92352,,-0.2751,-0.5984,0.3232,0
2023-09-08,38.86,39.21,38.75,39.11,39.77,38.98,,,,38.0400,1,41.5523,0,115412,,-0.2993,-0.5386,0.2393,0
2023-09-11,40.08,40.82,39.96,40.79,39.97,39.06,,,,38.0400,1,41.4963,0,175631,,-0.1808,-0.4670,0.2862,0
2023-09-12,40.83,41.22,40.68,40.71,40.14,39.16,,,,38.0400,1,41.4413,0,113724,,-0.0922,-0.3920,0.2998,0
2023-09-13,40.81,41.41,40.68,40.99,40.25,39.37,,,,38.1605,1,38.7486,1,141394,,0.0007,-0.3135,0.3142,0
2023-09-14,41.92,42.73,41.74,42.58,40.50,39.69,,,,39.1192,1,38.8017,1,248232,,0.2001,-0.2108,0.4109,0
2023-09-15,42.63,43.22,42.47,42.77,40.76,39.96,,,,39.8139,1,38.9589,1,151378,,0.3696,-0.0947,0.4643,0
2023-09-18,42.72,42.73,41.67,42.10,40.85,40.17,,,,39.8139,1,39.2145,1,107986,,0.4446,0.0132,0.4314,0
2023-09-19,42.28,42.39,41.29,41.34,40.93,40.31,,,,39.8139,1,39.4547,1,109009,,0.4378,0.0981,0.3397,0
2023-09-20,41.54,41.95,40.75,40.83,41.03,40.40,,,,39.8139,1,39.6805,1,110161,,0.3864,0.1558,0.2307,0
2023-09-21,39.92,40.05,38.80,39.02,41.02,40.37,,,,42.8536,0,43.2181,0,198664,,0.1975,0.1641,0.0334,0
2023-09-22,39.71,40.93,38.80,38.88,41.00,40.38,,,,42.8536,0,43.1299,0,95200,,0.0363,0.1385,-0.1022,0
2023-09-25,38.31,39.95,38.23,39.88,40.91,40.44,,,,42.8536,0,43.0433,0,106480,,-0.0105,0.1087,-0.1192,0
2023-09-26,40.00,40.19,39.12,39.19,40.76,40.45,40.18,,,42.8536,0,42.8508,0,94507,124836,-0.1021,0.0666,-0.1686,0
2023-09-27,39.85,39.85,38.93,39.50,40.61,40.43,40.15,,,42.8536,0,42.6660,0,119379,125185,-0.1478,0.0237,-0.1715,0
2023-09-28,40.17,41.47,39.90,41.32,40.48,40.49,40.16,,,42.8536,0,42.4886,0,148708,126925,-0.0370,0.0116,-0.0485,0
2023-09-29,41.81,42.13,41.45,41.90,40.40,40.58,40.18,,,42.8536,0,42.3182,0,157076,127965,0.0961,0.0285,0.0676,0
2023-10-02,40.99,41.49,40.24,40.45,40.23,40.54,40.17,,,42.8536,0,42.1547,0,188972,130029,0.0836,0.0395,0.0441,0
2023-10-03,39.44,40.07,38.77,38.82,39.98,40.45,40.12,,,42.8536,0,42.1292,0,142722,130366,-0.0566,0.0203,-0.0769,0
2023-10-04,38.77,38.89,37.90,38.32,39.73,40.38,40.03,,,42.2933,0,41.9732,0,121138,129436,-0.2061,-0.0250,-0.1811,0
2023-10-05,38.03,38.99,37.86,38.86,39.71,40.37,39.99,,,42.2710,0,41.7288,0,104582,128525,-0.2775,-0.0755,-0.2020,0
2023-10-06,39.21,40.19,39.01,39.75,39.80,40.40,39.97,,,42.2710,0,41.4194,0,121050,127301,-0.2597,-0.1124,-0.1474,0
2023-10-09,39.18,39.98,39.17,39.88,39.80,40.35,39.92,,,42.2710,0,41.1347,0,59590,125298,-0.2319,-0.1363,-0.0957,0
2023-10-10,40.06,40.76,40.06,40.34,39.91,40.34,39.87,,,42.2710,0,40.8728,0,108019,124886,-0.1711,-0.1432,-0.0278,0
2023-10-11,40.54,40.69,39.82,40.00,39.96,40.29,39.82,,,42.2710,0,40.7582,0,64771,123386,-0.1486,-0.1443,-0.0043,0
2023-10-12,40.10,40.10,37.74,38.25,39.66,40.07,39.77,,,42.2710,0,40.7582,0,140263,122888,-0.2689,-0.1692,-0.0997,0
2023-10-13,38.70,38.81,37.73,37.83,39.25,39.82,39.71,,,42.0760,0,40.6902,0,84590,122005,-0.3934,-0.2141,-0.1794,0
2023-10-16,38.21,39.36,37.96,38.98,39.10,39.67,39.68,,,42.0760,0,40.3355,0,141093,122910,-0.3950,-0.2502,-0.1447,0
2023-10-17,38.41,39.90,38.36,39.82,39.20,39.59,39.66,,,42.0760,0,40.0234,0,141930,124312,-0.3242,-0.2650,-0.0592,0
2023-10-18,39.34,40.52,39.32,39.89,39.36,39.54,39.64,,,42.0760,0,37.7344,1,117477,124569,-0.2597,-0.2640,0.0043,0
