Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-14,15.61,15.61,14.84,14.89,,,,,,,0,15.6117,0,4563,,,,,0
2023-07-17,14.85,15.31,14.81,15.19,,,,,,,0,15.6117,0,2097,,,,,0
2023-07-18,15.05,15.34,14.98,15.05,,,,,,,0,15.6117,0,2885,,,,,0
2023-07-19,14.88,15.08,14.84,14.90,,,,,,,0,15.5957,0,2942,,,,,0
2023-07-20,14.97,15.05,14.77,14.97,,,,,,,0,15.5801,0,2057,,,,,0
2023-07-21,14.97,15.00,14.51,14.98,,,,,,,0,15.5477,0,4134,,,,,0
2023-07-24,14.98,15.42,14.98,15.31,,,,,,,0,15.4852,0,3694,,,,,0
2023-07-25,15.41,16.08,15.41,15.81,,,,,,,0,14.5063,1,4411,,,,,0
2023-07-26,15.77,15.93,15.58,15.85,,,,,,,0,14.5378,1,1685,,,,,0
2023-07-27,15.88,16.27,15.67,15.93,15.29,,,,,17.4195,0,14.5686,1,4177,,,,,0
2023-07-28,15.92,16.75,15.92,16.73,15.47,,,,,17.4195,0,14.6369,1,5811,,,,,0
2023-07-31,16.92,17.86,16.91,17.82,15.74,,,,,15.6488,1,14.7637,1,12578,,,,,0
2023-08-01,17.62,17.97,17.37,17.58,15.99,,,,,15.9287,1,15.0111,1,6680,,,,,0
2023-08-02,17.47,17.64,16.99,17.53,16.25,,,,,15.9287,1,15.3067,1,5784,,,,,0
2023-08-03,17.79,18.24,17.52,18.04,16.56,,,,,16.0832,1,15.5728,1,12648,,,,,0
2023-08-04,18.15,18.28,17.67,17.74,16.83,,,,,16.1730,1,15.8927,1,6754,,,,,0
2023-08-07,17.74,18.40,17.18,18.40,17.14,,,,,16.1730,1,16.2272,1,9664,,,,,0
2023-08-08,18.17,18.62,18.11,18.26,17.39,,,,,16.4230,1,16.5750,1,8955,,,,,0
2023-08-09,18.37,19.00,18.37,18.72,17.68,,,,,16.7143,1,16.9434,1,11499,,,,,0
2023-08-10,18.83,18.94,18.32,18.36,17.92,16.60,,,,16.7143,1,17.3556,1,9551,,,,,0
2023-08-11,18.42,18.70,18.03,18.17,18.06,16.77,,,,16.7143,1,17.6854,1,5625,,,,,0
2023-08-14,18.17,18.25,17.87,18.21,18.10,16.92,,,,16.7143,1,19.0045,0,4085,,,,,0
2023-08-15,17.87,18.18,17.49,18.01,18.14,17.07,,,,16.7143,1,18.9818,0,4986,,,,,0
2023-08-16,18.03,18.71,18.03,18.38,18.23,17.24,,,,16.7143,1,18.9222,0,5974,,,,,0
2023-08-17,18.41,18.71,18.22,18.36,18.26,17.41,,,,16.7143,1,18.8650,0,4061,,,,,0
