Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,1.48,1.53,1.47,1.50,,,,,,,0,1.4700,1,2149,,,,,0
2023-07-14,1.54,1.55,1.46,1.47,,,,,,,0,1.5500,0,1507,,,,,0
2023-07-17,1.45,1.46,1.42,1.46,,,,,,,0,1.5500,0,804,,,,,0
2023-07-18,1.45,1.49,1.44,1.48,,,,,,,0,1.5500,0,1067,,,,,0
2023-07-19,1.47,1.49,1.46,1.47,,,,,,,0,1.5448,0,1406,,,,,0
2023-07-20,1.48,1.49,1.42,1.45,,,,,,,0,1.5398,0,2162,,,,,0
2023-07-21,1.45,1.45,1.39,1.42,,,,,,,0,1.5350,0,1642,,,,,0
2023-07-24,1.40,1.43,1.34,1.39,,,,,,,0,1.5263,0,1597,,,,,0
2023-07-25,1.40,1.48,1.38,1.46,,,,,,,0,1.5114,0,2307,,,,,0
2023-07-26,1.44,1.46,1.42,1.42,1.45,,,,,1.6320,0,1.4977,0,980,,,,,0
2023-07-27,1.42,1.44,1.39,1.40,1.44,,,,,1.6028,0,1.4851,0,652,,,,,0
2023-07-28,1.41,1.44,1.40,1.43,1.44,,,,,1.6010,0,1.4735,0,413,,,,,0
2023-07-31,1.44,1.53,1.44,1.52,1.44,,,,,1.6010,0,1.3400,1,1908,,,,,0
2023-08-01,1.49,1.49,1.42,1.44,1.44,,,,,1.6010,0,1.3438,1,1236,,,,,0
2023-08-02,1.43,1.44,1.35,1.44,1.44,,,,,1.6010,0,1.3475,1,1521,,,,,0
2023-08-03,1.41,1.42,1.35,1.40,1.43,,,,,1.6010,0,1.3500,1,2417,,,,,0
2023-08-04,1.39,1.41,1.35,1.38,1.43,,,,,1.5926,0,1.3500,1,1516,,,,,0
