Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,22.10,22.59,21.37,21.48,,,,,,,0,22.5900,0,66264,,,,,0
2023-07-18,21.30,22.30,21.17,21.37,,,,,,,0,22.5900,0,70871,,,,,0
2023-07-19,21.26,21.76,20.90,21.24,,,,,,,0,22.5900,0,57630,,,,,0
2023-07-20,21.15,21.55,20.76,20.95,,,,,,,0,22.5224,0,42860,,,,,0
2023-07-21,21.09,21.15,20.30,20.62,,,,,,,0,22.4168,0,68852,,,,,0
2023-07-24,20.65,20.99,19.92,20.28,,,,,,,0,22.2470,0,75012,,,,,0
2023-07-25,20.24,20.42,19.70,20.14,,,,,,,0,22.0143,0,64728,,,,,0
2023-07-26,20.14,20.50,19.90,20.23,,,,,,,0,21.7366,0,55107,,,,,0
2023-07-27,20.50,20.74,19.75,19.82,,,,,,,0,21.4922,0,98028,,,,,0
2023-07-28,20.26,20.35,19.64,19.70,20.58,,,,,22.6776,0,21.2772,0,61785,,,,,0
2023-07-31,19.94,20.93,19.56,20.69,20.50,,,,,22.6776,0,21.0480,0,147671,,,,,0
2023-08-01,11.88,12.00,9.58,10.49,19.42,,,,,16.6658,0,20.9300,0,397550,,,,,0
2023-08-02,10.67,11.23,10.32,10.55,18.35,,,,,16.3362,0,20.9300,0,136045,,,,,0
2023-08-03,10.59,11.83,10.54,11.20,17.37,,,,,16.3362,0,18.8870,0,145060,,,,,0
2023-08-04,11.16,11.34,10.48,10.71,16.38,,,,,16.0209,0,17.2117,0,67623,,,,,0
2023-08-07,10.65,10.70,9.86,10.10,15.36,,,,,15.1348,0,15.8380,0,86488,,,,,0
2023-08-08,10.00,10.07,9.53,9.65,14.31,,,,,14.3413,0,14.7116,0,81039,,,,,0
2023-08-09,9.65,9.82,9.51,9.68,13.26,,,,,13.8453,0,13.6763,0,42711,,,,,0
2023-08-10,9.72,9.82,9.51,9.70,12.25,,,,,13.5190,0,12.8430,0,37196,,,,,0
2023-08-11,9.18,10.32,9.15,10.13,11.29,15.94,,,,13.5190,0,12.1764,0,75770,,,,,0
2023-08-14,10.08,11.43,9.65,11.10,10.33,15.42,,,,13.5190,0,11.5711,0,128701,,,,,0
2023-08-15,11.08,11.80,10.84,11.53,10.44,14.93,,,,13.5190,0,9.1500,1,62054,,,,,0
2023-08-16,11.52,11.52,10.62,10.75,10.46,14.40,,,,13.5190,0,9.2030,1,46730,,,,,0
2023-08-17,10.81,10.97,10.31,10.39,10.37,13.87,,,,13.5190,0,9.2549,1,36914,,,,,0
2023-08-18,10.30,10.68,10.23,10.35,10.34,13.36,,,,13.5190,0,9.3058,1,32883,,,,,0
2023-08-21,10.30,10.47,10.02,10.37,10.37,12.86,,,,13.3943,0,9.3557,1,32818,,,,,0
2023-08-22,10.40,10.68,10.27,10.55,10.46,12.38,,,,13.3943,0,9.4046,1,37101,,,,,0
2023-08-23,10.58,10.84,10.48,10.53,10.54,11.90,,,,13.3943,0,9.4525,1,30685,,,,,0
2023-08-24,10.55,10.55,10.04,10.36,10.61,11.43,,,,12.9432,0,9.4995,1,31842,,,,,0
2023-08-25,10.33,10.70,10.27,10.48,10.64,10.97,,,,12.9432,0,9.5455,1,29450,,,,,0
2023-08-28,10.51,10.53,10.08,10.27,10.56,10.44,,,,12.7025,0,9.5906,1,26742,,,,,0
2023-08-29,10.25,10.58,10.24,10.46,10.45,10.44,,,,12.6698,0,9.6348,1,33708,,,,,0
2023-08-30,10.46,10.84,10.23,10.59,10.44,10.45,,,,12.6698,0,9.6781,1,34200,,,,,0
2023-08-31,10.59,10.71,10.39,10.47,10.44,10.41,,,,12.6411,0,9.7205,1,21363,,-2.0699,-2.6952,0.6254,0
2023-09-01,10.52,10.81,10.52,10.61,10.47,10.40,,,,12.6411,0,9.7621,1,25270,,-1.9240,-2.5410,0.6170,0
2023-09-05,10.52,10.95,10.51,10.68,10.50,10.43,,,,12.6411,0,9.8028,1,31883,,-1.7822,-2.3892,0.6070,0
2023-09-06,10.66,11.28,10.53,11.05,10.55,10.50,,,,12.6411,0,9.8428,1,64242,,-1.6213,-2.2357,0.6143,0
2023-09-07,10.92,11.40,10.88,11.29,10.63,10.58,,,,12.6411,0,9.8819,1,37821,,-1.4577,-2.0801,0.6224,0
2023-09-08,10.99,11.00,10.16,10.39,10.63,10.62,,,,12.6387,0,9.9203,1,73537,,-1.3846,-1.9410,0.5564,0
2023-09-11,10.48,10.72,10.23,10.62,10.64,10.64,,,,12.4748,0,9.9579,1,41936,,-1.2932,-1.8114,0.5182,0
2023-09-12,10.51,10.92,10.45,10.71,10.69,10.62,,,,12.4748,0,9.9947,1,31514,,-1.1997,-1.6891,0.4894,0
2023-09-13,10.72,10.85,10.13,10.13,10.65,10.55,,,,12.4527,0,10.0308,1,34284,,-1.1591,-1.5831,0.4240,0
2023-09-14,10.15,10.36,10.03,10.19,10.61,10.52,,,,12.0645,0,11.8000,0,24437,,-1.1092,-1.4883,0.3791,0
2023-09-15,10.19,10.31,9.97,10.14,10.58,10.51,,,,11.9231,0,11.7646,0,114706,,-1.0615,-1.4029,0.3414,0
2023-09-18,10.00,10.07,9.36,9.51,10.47,10.47,,,,11.5558,0,11.6928,0,56446,,-1.0623,-1.3348,0.2725,0
2023-09-19,9.49,9.69,9.34,9.59,10.36,10.43,,,,11.2695,0,11.5528,0,25964,,-1.0444,-1.2767,0.2323,0
2023-09-20,9.59,9.66,9.29,9.30,10.19,10.37,,,,11.1695,0,11.3754,0,24588,,-1.0416,-1.2297,0.1881,0
2023-09-21,9.24,9.36,9.03,9.25,9.98,10.30,,,,10.8191,0,11.1669,0,29951,,-1.0316,-1.1901,0.1585,0
2023-09-22,9.27,9.51,9.13,9.14,9.86,10.24,,,,10.8191,0,10.9105,0,23237,,-1.0207,-1.1562,0.1355,0
2023-09-25,9.01,9.21,8.85,8.98,9.69,10.17,12.57,,,10.5531,0,10.6848,0,33502,62736,-1.0133,-1.1276,0.1143,0
2023-09-26,9.01,9.36,8.59,8.77,9.50,10.09,12.32,,,10.5531,0,10.4281,0,40167,62214,-1.0128,-1.1047,0.0919,0
2023-09-27,8.81,9.03,8.51,8.82,9.37,10.01,12.07,,,10.3686,0,10.1340,0,28381,61364,-0.9968,-1.0831,0.0863,0
2023-09-28,8.82,8.86,8.55,8.77,9.23,9.92,11.82,,,10.2376,0,9.8408,0,19454,60601,-0.9769,-1.0619,0.0850,0
2023-09-29,8.81,8.89,8.14,8.36,9.05,9.82,11.56,,,10.1216,0,9.6003,0,47193,60687,-0.9829,-1.0461,0.0632,0
2023-10-02,8.45,8.45,7.99,8.16,8.91,9.69,11.31,,,9.8029,0,9.3083,0,27701,59864,-0.9923,-1.0353,0.0430,0
2023-10-03,8.16,8.22,7.79,7.96,8.75,9.56,11.07,,,9.5609,0,9.0436,0,21412,58792,-1.0044,-1.0291,0.0247,0
2023-10-04,7.92,7.93,7.72,7.75,8.60,9.39,10.82,,,9.2998,0,8.7929,0,17529,57848,-1.0191,-1.0271,0.0080,0
2023-10-05,7.75,8.09,7.63,7.90,8.46,9.22,10.57,,,9.2998,0,8.5783,0,31599,57378,-1.0071,-1.0231,0.0160,0
2023-10-06,7.78,7.97,7.42,7.78,8.33,9.09,10.33,,,9.1754,0,8.3886,0,33120,56080,-0.9958,-1.0176,0.0219,0
2023-10-09,7.40,7.51,7.13,7.16,8.14,8.92,10.08,,,8.8464,0,8.1949,0,32034,55485,-1.0250,-1.0191,-0.0059,0
2023-10-10,7.16,7.60,7.16,7.41,8.01,8.75,9.82,,,8.8464,0,7.9809,0,26929,53070,-1.0163,-1.0186,0.0023,0
2023-10-11,7.63,7.76,7.12,7.29,7.85,8.61,9.75,,,8.8464,0,7.8097,0,29423,45708,-1.0074,-1.0163,0.0089,0
2023-10-12,7.17,7.21,6.85,6.94,7.67,8.45,9.68,,,8.5563,0,7.7600,0,25938,43506,-1.0170,-1.0165,-0.0005,0
2023-10-13,6.95,7.00,6.53,6.69,7.50,8.28,9.59,,,8.2796,0,7.7600,0,32629,41257,-1.0328,-1.0197,-0.0130,0
2023-10-16,6.65,6.86,6.46,6.80,7.37,8.14,9.51,,,8.1432,0,7.5140,0,23882,40382,-1.0246,-1.0207,-0.0039,0
2023-10-17,6.70,7.03,6.66,6.84,7.26,8.00,9.45,,,8.1432,0,7.3032,0,28036,39213,-1.0029,-1.0171,0.0142,0
2023-10-18,6.80,6.86,6.58,6.84,7.17,7.88,9.39,,,8.1053,0,7.1346,0,34488,38282,-0.9749,-1.0087,0.0338,0
2023-10-19,6.89,7.16,6.63,6.68,7.04,7.75,9.33,,,8.1053,0,6.4600,1,69421,38816,-0.9547,-0.9979,0.0432,0
2023-10-20,6.68,6.82,6.53,6.75,6.94,7.63,9.27,,,8.0262,0,6.4740,1,29584,38664,-0.9223,-0.9828,0.0605,0
2023-10-23,6.68,6.85,6.52,6.69,6.89,7.52,9.20,,,8.0023,0,6.4877,1,28507,37719,-0.8912,-0.9645,0.0732,0
2023-10-24,6.77,7.65,6.77,7.41,6.89,7.45,9.13,,,8.0023,0,6.5012,1,41711,35979,-0.7993,-0.9314,0.1321,0
2023-10-25,7.40,7.46,6.91,7.02,6.87,7.36,9.04,,,8.0023,0,6.5200,1,36682,35472,-0.7493,-0.8950,0.1457,0
2023-10-26,7.07,7.23,6.92,7.20,6.89,7.28,8.97,,,8.0023,0,6.5652,1,24294,35023,-0.6872,-0.8534,0.1663,0
2023-10-27,7.26,7.26,6.89,6.96,6.92,7.21,8.90,,,8.0023,0,6.6086,1,35566,34996,-0.6498,-0.8127,0.1629,0
2023-10-30,7.00,7.94,6.98,7.39,6.98,7.17,8.84,,,8.0023,0,6.6502,1,46169,35262,-0.5789,-0.7659,0.1871,0
2023-10-31,7.34,7.86,7.17,7.73,7.07,7.16,8.79,,,8.0023,0,6.7276,1,49761,35600,-0.4896,-0.7107,0.2211,0
2023-11-01,10.19,11.44,9.34,10.12,7.39,7.28,8.78,,,7.8304,1,6.8004,1,514534,45149,-0.2234,-0.6132,0.3899,0
2023-11-02,10.12,11.24,9.87,10.41,7.77,7.41,8.78,,,7.8404,1,7.1700,1,173832,48012,0.0109,-0.4884,0.4993,0
2023-11-03,10.87,11.56,10.56,11.06,8.20,7.57,8.79,,,8.2729,1,7.5116,1,152926,50434,0.2461,-0.3415,0.5876,0
2023-11-06,11.10,11.17,10.05,10.25,8.55,7.72,8.79,,,8.2729,1,7.9164,1,76055,51366,0.3630,-0.2006,0.5636,0
2023-11-07,10.32,10.97,10.13,10.83,8.90,7.90,8.80,,,8.2729,1,8.2808,1,53241,51896,0.4968,-0.0611,0.5579,0
2023-11-08,10.87,11.43,10.71,10.79,9.27,8.07,8.80,,,8.3239,1,8.6087,1,63881,52499,0.5927,0.0696,0.5230,0
2023-11-09,10.73,10.77,10.01,10.14,9.57,8.23,8.79,,,8.3239,1,8.9038,1,48899,52793,0.6092,0.1776,0.4317,0
2023-11-10,10.23,10.47,10.12,10.22,9.89,8.41,8.79,,,8.3239,1,9.1695,1,35476,53075,0.6216,0.2664,0.3552,0
2023-11-13,10.16,10.27,9.81,10.25,10.18,8.58,8.78,,,8.3239,1,9.4085,1,34920,53268,0.6266,0.3384,0.2882,0
2023-11-14,10.83,11.07,10.42,10.95,10.50,8.78,8.79,,,8.3239,1,9.6237,1,49775,53626,0.6793,0.4066,0.2727,0
2023-11-15,10.93,12.01,10.81,11.27,10.62,9.01,8.79,,,8.8683,1,9.8100,1,77133,53884,0.7383,0.4729,0.2654,0
2023-11-16,11.40,11.42,10.98,11.26,10.70,9.24,8.79,,,8.8683,1,10.0740,1,44479,54017,0.7753,0.5334,0.2419,0
2023-11-17,11.35,12.10,11.28,12.07,10.80,9.50,8.83,,,9.2574,1,10.3063,1,66663,53880,0.8601,0.5987,0.2614,0
2023-11-20,12.20,12.88,11.86,12.82,11.06,9.81,8.87,,,9.8755,1,10.5574,1,80122,54644,0.9766,0.6743,0.3023,0
2023-11-21,12.62,13.17,12.25,12.32,11.21,10.05,8.90,,,10.1890,1,10.9290,1,63351,55280,1.0168,0.7428,0.2740,0
2023-11-22,12.48,12.95,12.26,12.67,11.40,10.34,8.95,,,10.1890,1,11.3324,1,45479,55504,1.0647,0.8072,0.2575,0
2023-11-24,12.66,13.06,12.54,12.79,11.66,10.62,9.00,,,10.4143,1,11.6632,1,20427,55424,1.0996,0.8657,0.2339,0
2023-11-27,12.65,12.85,12.30,12.68,11.91,10.90,9.05,,,10.4143,1,11.9344,1,31313,53756,1.1056,0.9137,0.1920,0
2023-11-28,12.47,12.67,12.32,12.63,12.15,11.16,9.12,,,10.4143,1,12.1568,1,42694,53481,1.0938,0.9497,0.1441,0
2023-11-29,12.75,13.20,12.47,12.49,12.30,11.40,9.18,,,10.6481,1,12.3000,1,39651,53755,1.0609,0.9719,0.0890,0
2023-11-30,12.67,13.83,12.66,12.81,12.45,11.54,9.25,,,10.8748,1,12.3250,1,86245,54988,1.0485,0.9873,0.0613,0
2023-12-01,12.76,13.84,12.37,13.83,12.71,11.71,9.34,,,10.8748,1,13.8300,0,77319,55935,1.1083,1.0115,0.0968,0
2023-12-04,13.75,14.43,13.46,14.42,12.95,11.87,9.44,,,11.3372,1,12.3700,1,69337,56857,1.1895,1.0471,0.1425,0
2023-12-05,14.26,14.79,14.07,14.32,13.10,12.08,9.55,,,11.8670,1,12.3700,1,52471,57237,1.2317,1.0840,0.1477,0
2023-12-06,14.93,16.70,14.81,16.45,13.51,12.36,9.70,,,12.7353,1,12.4668,1,144071,59315,1.4205,1.1513,0.2692,0
2023-12-07,16.56,16.99,15.98,16.03,13.85,12.62,9.85,,,13.4620,1,12.7211,1,87128,60490,1.5188,1.2248,0.2940,0
2023-12-08,16.20,16.70,15.64,15.72,14.14,12.90,9.99,,,13.4620,1,13.0626,1,67978,61460,1.5538,1.2906,0.2632,0
2023-12-11,15.59,15.62,14.93,15.21,14.39,13.15,10.12,,,13.4620,1,13.3768,1,68235,61881,1.5228,1.3370,0.1858,0
2023-12-12,15.21,15.93,14.98,15.74,14.70,13.42,10.27,,,13.4620,1,13.6659,1,58968,62506,1.5234,1.3743,0.1491,0
2023-12-13,15.58,16.70,15.57,16.69,15.12,13.71,10.45,,,13.4620,1,13.9318,1,87437,63827,1.5824,1.4159,0.1664,0
2023-12-14,17.21,18.07,17.04,18.00,15.64,14.05,10.65,,,14.4386,1,14.1764,1,130592,66088,1.7150,1.4757,0.2393,0
2023-12-15,18.12,18.56,17.56,18.48,16.11,14.41,10.87,,,14.9552,1,14.5658,1,175939,68975,1.8377,1.5481,0.2895,0
2023-12-18,18.58,18.66,18.02,18.19,16.48,14.71,11.07,,,15.3537,1,15.0451,1,79610,69905,1.8897,1.6164,0.2733,0
2023-12-19,18.50,18.88,18.11,18.81,16.93,15.01,11.31,,,15.5753,1,15.5512,1,78852,70841,1.9584,1.6848,0.2736,0
2023-12-20,18.59,18.69,17.16,17.21,17.01,15.26,11.50,,,15.5753,1,16.0830,1,84004,71983,1.8622,1.7203,0.1419,0
2023-12-21,17.75,17.94,16.89,17.15,17.12,15.48,11.70,,,15.5753,1,16.5297,1,124879,73892,1.7609,1.7284,0.0325,0
2023-12-22,17.20,17.80,16.91,17.00,17.25,15.69,11.90,,,15.5753,1,16.8850,1,103309,75439,1.6495,1.7126,-0.0632,0
2023-12-26,17.21,17.34,16.61,16.99,17.43,15.91,12.11,,,15.5753,1,18.8750,0,83059,76448,1.5426,1.6786,-0.1360,0
