Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-20,80.44,81.09,77.08,78.92,,,,,,,0,81.0900,0,133264,,,,,0
2023-07-21,79.37,79.90,76.50,76.77,,,,,,,0,81.0900,0,119953,,,,,0
2023-07-24,76.42,78.24,75.81,76.89,,,,,,,0,81.0900,0,87024,,,,,0
2023-07-25,76.34,78.11,76.10,77.20,,,,,,,0,80.8788,0,99982,,,,,0
2023-07-26,76.92,78.07,75.83,76.75,,,,,,,0,80.6760,0,117036,,,,,0
2023-07-27,75.98,75.98,73.07,73.28,,,,,,,0,80.4814,0,146904,,,,,0
2023-07-28,74.03,74.47,73.03,74.36,,,,,,,0,80.0367,0,110053,,,,,0
2023-07-31,75.20,75.20,73.39,74.73,,,,,,,0,79.4762,0,120233,,,,,0
2023-08-01,76.60,79.86,73.97,76.78,,,,,,,0,73.0300,1,272876,,,,,0
2023-08-02,76.00,76.98,73.78,74.10,75.98,,,,,84.4130,0,73.1666,1,126185,,,,,0
2023-08-03,73.87,75.50,73.75,74.35,75.52,,,,,83.2797,0,73.3005,1,93161,,,,,0
2023-08-04,74.43,75.03,73.43,74.48,75.29,,,,,82.4992,0,79.8600,0,90262,,,,,0
2023-08-07,75.06,76.06,74.45,75.70,75.17,,,,,82.4992,0,79.7314,0,64171,,,,,0
2023-08-08,74.85,74.93,72.64,73.19,74.77,,,,,81.8358,0,79.6054,0,105760,,,,,0
2023-08-09,73.53,74.66,72.98,73.18,74.42,,,,,81.5697,0,79.3268,0,114878,,,,,0
