Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-14,14.29,14.30,13.95,13.98,,,,,,,0,14.3035,0,1487,,,,,0
2023-07-17,14.03,14.07,13.90,14.00,,,,,,,0,14.3035,0,926,,,,,0
2023-07-18,14.04,14.33,14.04,14.27,,,,,,,0,13.9015,1,763,,,,,0
2023-07-19,14.14,14.31,14.12,14.19,,,,,,,0,13.9015,1,1169,,,,,0
2023-07-20,14.07,14.09,13.94,13.97,,,,,,,0,13.9101,1,1159,,,,,0
2023-07-21,13.96,13.96,13.79,13.94,,,,,,,0,14.3286,0,919,,,,,0
2023-07-24,13.99,14.20,13.99,14.15,,,,,,,0,14.3179,0,1026,,,,,0
2023-07-25,14.01,14.14,14.00,14.10,,,,,,,0,14.3074,0,1002,,,,,0
2023-07-26,13.92,14.14,13.90,14.11,,,,,,,0,14.2971,0,1198,,,,,0
2023-07-27,13.56,13.66,12.87,12.99,13.97,,,,,14.2688,0,14.2870,0,4599,,,,,0
2023-07-28,13.02,13.32,13.01,13.19,13.89,,,,,14.1617,0,14.2304,0,1868,,,,,0
2023-07-31,12.91,13.12,12.87,13.08,13.80,,,,,13.9937,0,14.1760,0,2974,,,,,0
2023-08-01,13.02,13.03,12.77,12.91,13.66,,,,,13.8907,0,14.0978,0,1690,,,,,0
2023-08-02,12.85,13.16,12.84,13.16,13.56,,,,,13.8907,0,13.9916,0,3866,,,,,0
2023-08-03,13.15,13.47,13.11,13.40,13.50,,,,,13.8907,0,13.8940,0,4293,,,,,0
2023-08-04,13.60,13.94,13.60,13.71,13.48,,,,,13.8907,0,12.7710,1,2500,,,,,0
2023-08-07,13.62,13.76,13.54,13.73,13.44,,,,,13.8907,0,12.7943,1,2229,,,,,0
2023-08-08,13.39,13.59,13.37,13.57,13.39,,,,,13.8907,0,12.8171,1,2077,,,,,0
2023-08-09,13.55,13.81,13.53,13.78,13.35,,,,,13.8907,0,12.8394,1,2894,,,,,0
2023-08-10,13.68,13.78,13.55,13.63,13.42,13.69,,,,13.8907,0,12.8614,1,2955,,,,,0
2023-08-11,13.39,13.60,13.38,13.57,13.46,13.67,,,,13.8907,0,12.8828,1,2969,,,,,0
2023-08-14,13.45,13.74,13.42,13.74,13.52,13.66,,,,13.8907,0,12.9039,1,2772,,,,,0
2023-08-15,13.57,13.58,13.09,13.11,13.54,13.60,,,,13.8907,0,12.9245,1,1533,,,,,0
2023-08-16,13.27,13.41,13.26,13.28,13.55,13.56,,,,13.8907,0,12.9447,1,1600,,,,,0
2023-08-17,13.27,13.27,13.02,13.05,13.52,13.51,,,,13.8907,0,12.9645,1,848,,,,,0
2023-08-18,12.87,13.01,12.83,12.98,13.45,13.46,,,,13.8907,0,13.9350,0,826,,,,,0
2023-08-21,13.06,13.06,12.80,12.85,13.36,13.40,,,,13.8815,0,13.9129,0,1228,,,,,0
2023-08-22,12.79,12.79,12.57,12.66,13.27,13.33,,,,13.6243,0,13.8683,0,599,,,,,0
2023-08-23,12.66,12.75,12.61,12.72,13.16,13.26,,,,13.5767,0,13.7904,0,1041,,,,,0
2023-08-24,12.61,12.80,12.61,12.73,13.07,13.24,,,,13.5702,0,13.7171,0,917,,,,,0
2023-08-25,12.85,12.85,12.64,12.79,12.99,13.22,,,,13.5702,0,13.6483,0,1008,,,,,0
2023-08-28,12.96,13.21,12.96,13.15,12.93,13.23,,,,13.5702,0,13.5836,0,1735,,,,,0
2023-08-29,13.16,13.47,13.16,13.45,12.97,13.25,,,,13.5702,0,13.5228,0,888,,,,,0
