Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,50.58,50.84,49.47,50.05,,,,,,,0,50.8374,0,2484,,,,,0
2023-07-14,50.41,50.41,48.87,49.42,,,,,,,0,50.8374,0,1700,,,,,0
2023-07-17,48.61,50.75,48.61,49.88,,,,,,,0,50.8374,0,1711,,,,,0
2023-07-18,50.27,51.85,50.27,51.79,,,,,,,0,48.6095,1,2205,,,,,0
2023-07-19,52.15,53.35,52.07,53.33,,,,,,,0,48.6095,1,2338,,,,,0
2023-07-20,53.22,53.22,52.18,52.87,,,,,,,0,48.7990,1,1999,,,,,0
2023-07-21,54.07,54.07,51.74,52.02,,,,,,,0,48.9809,1,2469,,,,,0
2023-07-24,51.53,53.61,51.33,53.25,,,,,,,0,49.2862,1,2485,,,,,0
2023-07-25,52.66,52.66,51.73,51.84,,,,,,,0,49.5732,1,1601,,,,,0
2023-07-26,52.06,54.33,52.06,54.33,51.88,,,,,58.7003,0,49.8429,1,2042,,,,,0
2023-07-27,53.31,54.25,52.84,53.46,52.22,,,,,58.7003,0,50.2022,1,2671,,,,,0
2023-07-28,53.61,53.99,53.07,53.78,52.65,,,,,58.6666,0,50.5327,1,2205,,,,,0
2023-07-31,53.67,54.25,52.99,53.50,53.02,,,,,58.6225,0,50.8367,1,1775,,,,,0
2023-08-01,52.85,53.70,52.26,53.04,53.14,,,,,57.9140,0,51.1165,1,2159,,,,,0
2023-08-02,52.20,53.18,51.99,52.67,53.08,,,,,57.3866,0,51.3738,1,2286,,,,,0
2023-08-03,52.35,53.22,52.06,52.64,53.05,,,,,57.3068,0,51.6106,1,1995,,,,,0
2023-08-04,52.52,53.21,51.96,52.60,53.11,,,,,57.1586,0,51.8284,1,1355,,,,,0
2023-08-07,51.39,53.01,51.39,52.04,52.99,,,,,56.8068,0,54.3334,0,2487,,,,,0
2023-08-08,51.44,51.97,49.86,51.86,52.99,,,,,55.7147,0,54.2745,0,1563,,,,,0
2023-08-09,51.36,51.36,50.47,51.01,52.66,52.27,,,,55.6509,0,54.0977,0,1285,,,,,0
2023-08-10,51.33,51.33,48.91,50.47,52.36,52.29,,,,55.1097,0,53.9281,0,1992,,,,,0
