Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,73.61,74.50,73.50,74.12,,,,,,,0,74.5015,0,108292,,,,,0
2023-07-14,73.59,73.68,72.44,72.68,,,,,,,0,74.5015,0,82080,,,,,0
2023-07-17,72.58,73.08,71.77,72.37,,,,,,,0,74.5015,0,92043,,,,,0
2023-07-18,72.16,73.33,71.97,73.09,,,,,,,0,74.3923,0,81954,,,,,0
2023-07-19,72.84,73.54,72.84,73.34,,,,,,,0,74.2875,0,77520,,,,,0
2023-07-20,74.22,74.34,73.69,74.13,,,,,,,0,71.7725,1,133178,,,,,0
2023-07-21,74.51,75.36,74.10,75.13,,,,,,,0,71.8239,1,82523,,,,,0
2023-07-24,75.51,76.28,75.43,75.80,,,,,,,0,71.9653,1,68986,,,,,0
2023-07-25,75.70,76.31,75.35,76.07,,,,,,,0,72.2242,1,103133,,,,,0
2023-07-26,75.31,76.32,75.28,75.80,74.25,,,,,79.2348,0,72.5509,1,61710,,,,,0
2023-07-27,76.02,76.21,74.93,75.03,74.34,,,,,79.0413,0,72.9276,1,95754,,,,,0
2023-07-28,75.62,75.62,74.75,75.57,74.63,,,,,78.5745,0,73.2666,1,87443,,,,,0
2023-07-31,76.19,76.84,75.59,76.84,75.08,,,,,78.5745,0,73.5717,1,90591,,,,,0
2023-08-01,76.62,76.64,75.35,76.48,75.42,,,,,78.5745,0,73.9640,1,94774,,,,,0
2023-08-02,75.80,76.46,75.33,76.07,75.69,,,,,78.5745,0,74.3093,1,157835,,,,,0
2023-08-03,75.44,78.07,75.14,76.67,75.95,,,,,78.5745,0,74.6131,1,246436,,,,,0
2023-08-04,77.08,79.94,77.08,77.29,76.16,,,,,78.5745,0,75.0969,1,213226,,,,,0
2023-08-07,77.68,77.80,76.53,76.93,76.28,,,,,78.5745,0,75.1448,1,116322,,,,,0
2023-08-08,75.95,77.73,75.09,77.63,76.43,,,,,78.5745,0,79.9433,0,107994,,,,,0
2023-08-09,78.26,79.15,77.72,78.99,76.75,75.50,,,,73.8861,1,79.8462,0,120487,,,,,0
2023-08-10,79.06,80.16,78.70,78.92,77.14,75.74,,,,74.6239,1,75.0886,1,143098,,,,,0
2023-08-11,79.41,79.92,78.65,79.61,77.54,76.09,,,,74.6239,1,75.1900,1,90419,,,,,0
2023-08-14,79.35,79.62,78.40,79.28,77.79,76.43,,,,74.6239,1,75.2893,1,99046,,,,,0
2023-08-15,78.91,79.28,78.54,78.79,78.02,76.72,,,,74.6239,1,75.3867,1,119077,,,,,0
2023-08-16,78.84,79.40,77.87,77.98,78.21,76.95,,,,74.6239,1,75.4822,1,159128,,,,,0
2023-08-17,78.87,79.74,78.33,78.53,78.39,77.17,,,,74.6239,1,75.5757,1,142921,,,,,0
2023-08-18,78.31,79.44,77.80,79.43,78.61,77.38,,,,74.6239,1,75.6674,1,175314,,,,,0
2023-08-21,79.74,80.03,78.26,79.22,78.84,77.56,,,,74.6239,1,75.7572,1,215822,,,,,0
2023-08-22,79.40,79.51,78.32,78.44,78.92,77.67,,,,74.6239,1,75.8452,1,118846,,,,,0
2023-08-23,78.02,78.50,76.98,78.38,78.86,77.80,,,,74.6239,1,75.9315,1,103015,,,,,0
2023-08-24,77.68,79.47,77.53,78.81,78.85,77.99,,,,74.6239,1,76.0160,1,139539,,,,,0
2023-08-25,79.17,79.72,78.51,79.17,78.80,78.17,,,,74.6239,1,76.0989,1,121035,,,,,0
2023-08-28,79.17,80.22,79.17,79.93,78.87,78.33,,,,75.3062,1,76.1801,1,101282,,,,,0
2023-08-29,80.11,80.38,79.62,80.32,79.02,78.52,,,,75.8224,1,76.3419,1,86694,,1.3441,1.4721,-0.1280,0
2023-08-30,80.51,81.28,80.51,80.79,79.30,78.76,,,,76.8413,1,76.5844,1,73598,,1.3871,1.4551,-0.0680,0
2023-08-31,80.92,81.78,80.49,80.83,79.53,78.96,,,,77.0976,1,76.9603,1,162719,,1.4087,1.4458,-0.0371,0
2023-09-01,81.99,82.34,81.66,82.03,79.79,79.20,,,,77.9155,1,77.4423,1,106655,,1.5053,1.4577,0.0476,0
2023-09-05,82.24,82.31,81.35,81.40,80.01,79.42,,,,77.9155,1,78.0303,1,117135,,1.5130,1.4688,0.0442,0
2023-09-06,80.72,81.12,79.15,79.69,80.14,79.53,,,,77.9155,1,78.5478,1,141524,,1.3657,1.4482,-0.0825,0
2023-09-07,79.79,80.37,79.10,80.14,80.31,79.58,,,,77.9155,1,79.0032,1,118517,,1.2706,1.4127,-0.1420,0
2023-09-08,80.44,80.93,79.85,79.97,80.43,79.64,,,,77.9155,1,79.0998,1,98667,,1.1682,1.3638,-0.1956,0
2023-09-11,80.55,80.96,77.99,78.57,80.37,79.58,,,,77.9155,1,82.3425,0,140440,,0.9625,1.2835,-0.3210,0
2023-09-12,78.90,79.94,78.60,79.84,80.36,79.61,,,,77.9155,1,82.2555,0,106147,,0.8920,1.2052,-0.3132,0
2023-09-13,79.62,80.03,78.59,79.45,80.27,79.65,,,,77.9155,1,82.1703,0,115575,,0.7953,1.1232,-0.3280,0
2023-09-14,80.46,80.76,79.99,80.36,80.23,79.76,,,,77.9155,1,82.0868,0,126012,,0.7829,1.0552,-0.2723,0
2023-09-15,79.97,80.62,79.01,79.34,80.08,79.81,,,,77.9155,1,82.0049,0,314224,,0.6835,0.9808,-0.2973,0
2023-09-18,80.01,80.45,79.00,80.28,79.90,79.85,,,,77.9155,1,81.9247,0,102869,,0.6727,0.9192,-0.2465,0
2023-09-19,80.97,81.23,79.31,79.80,79.74,79.88,,,,77.9155,1,81.8461,0,99489,,0.6184,0.8590,-0.2407,0
2023-09-20,80.00,80.94,79.94,80.07,79.78,79.96,,,,77.9155,1,81.7690,0,105062,,0.5897,0.8052,-0.2155,0
2023-09-21,80.21,80.22,77.84,77.85,79.55,79.93,77.94,,,82.2442,0,81.6935,0,103397,121391,0.3841,0.7210,-0.3369,0
2023-09-22,78.44,79.81,78.44,79.14,79.47,79.95,78.04,,,82.2442,0,81.5395,0,108337,121392,0.3211,0.6410,-0.3199,0
2023-09-25,78.93,80.61,78.93,79.96,79.61,79.99,78.19,,,82.2442,0,81.3917,0,127869,122308,0.3338,0.5795,-0.2457,0
2023-09-26,79.19,79.95,78.83,79.05,79.53,79.94,78.32,,,82.2442,0,81.2498,0,140164,123270,0.2674,0.5171,-0.2497,0
2023-09-27,79.95,81.65,79.66,81.15,79.70,79.99,78.49,,,82.2442,0,77.8439,1,142925,124489,0.3799,0.4897,-0.1098,0
2023-09-28,81.09,82.48,80.98,81.95,79.86,80.04,78.66,,,82.2442,0,77.9200,1,128292,125505,0.5272,0.4972,0.0300,0
2023-09-29,81.74,81.94,80.06,80.34,79.96,80.02,78.78,,,82.2442,0,78.1026,1,152444,125890,0.5080,0.4993,0.0087,0
2023-10-02,80.15,80.33,77.70,78.19,79.75,79.83,78.84,,,82.2442,0,82.4831,0,132754,126895,0.3160,0.4627,-0.1467,0
2023-10-03,77.89,78.14,75.89,76.92,79.46,79.60,78.87,,,82.2442,0,82.3875,0,215196,129819,0.0603,0.3822,-0.3219,0
2023-10-04,75.95,75.98,73.57,74.25,78.88,79.33,78.83,,,80.7221,0,82.1278,0,230155,132359,-0.3531,0.2351,-0.5882,0
2023-10-05,73.07,75.26,73.07,75.12,78.61,79.08,78.82,,,80.1732,0,81.6143,0,193827,135002,-0.6042,0.0673,-0.6714,0
2023-10-06,75.28,76.93,74.78,76.19,78.31,78.89,78.84,,,80.1732,0,80.9311,0,156451,136216,-0.7087,-0.0879,-0.6208,0
2023-10-09,77.99,78.31,76.97,77.92,78.11,78.86,78.89,,,80.1732,0,80.3025,0,139309,137253,-0.6443,-0.1992,-0.4451,0
2023-10-10,77.83,78.43,77.39,77.98,78.00,78.76,78.91,,,80.1732,0,79.7241,0,125624,137954,-0.5820,-0.2758,-0.3062,0
2023-10-11,77.57,80.22,77.57,80.13,77.90,78.80,78.98,,,80.1732,0,73.0736,1,156824,139195,-0.3546,-0.2915,-0.0630,0
2023-10-12,80.83,80.86,79.42,80.15,77.72,78.79,79.06,,,80.1732,0,73.2164,1,128947,138617,-0.1708,-0.2674,0.0965,0
2023-10-13,81.45,82.27,80.78,81.74,77.86,78.91,79.16,,,75.6342,1,73.5222,1,110621,135901,0.1021,-0.1935,0.2956,0
2023-10-16,82.36,82.66,81.14,82.41,78.28,79.01,79.27,,,76.1471,1,74.0469,1,104470,133726,0.3679,-0.0812,0.4491,0
2023-10-17,82.39,83.20,81.93,82.33,78.82,79.14,79.37,,,77.0057,1,74.7361,1,106747,133534,0.5660,0.0482,0.5177,0
2023-10-18,82.65,82.79,81.87,82.01,79.60,79.24,79.46,,,77.0520,1,75.5829,1,91290,133200,0.6893,0.1764,0.5128,0
2023-10-19,82.03,83.16,81.20,82.20,80.31,79.46,79.53,,,77.0520,1,76.3451,1,82307,132436,0.7930,0.2998,0.4932,0
2023-10-20,81.96,82.31,81.00,81.25,80.81,79.56,79.57,,,77.0520,1,77.0311,1,128830,132151,0.7890,0.3976,0.3914,0
2023-10-23,80.60,81.34,80.05,80.97,81.12,79.61,79.60,,,77.0520,1,77.6484,1,143156,133206,0.7551,0.4691,0.2860,0
2023-10-24,81.46,81.48,79.65,80.12,81.33,79.67,79.62,,,77.0520,1,78.2041,1,180555,134836,0.6520,0.5057,0.1463,0
2023-10-25,80.12,80.54,79.65,79.99,81.32,79.61,79.64,,,77.0520,1,78.7041,1,84846,134151,0.5532,0.5152,0.0381,0
