Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,4.69,4.95,4.51,4.82,,,,,,,0,4.5100,1,1377,,,,,0
2023-07-14,4.90,4.91,4.54,4.70,,,,,,,0,4.5100,1,840,,,,,0
2023-07-17,4.70,4.78,4.37,4.39,,,,,,,0,4.9500,0,1157,,,,,0
2023-07-18,4.36,4.42,4.25,4.35,,,,,,,0,4.9383,0,949,,,,,0
2023-07-19,4.32,4.41,4.23,4.32,,,,,,,0,4.9108,0,773,,,,,0
2023-07-20,4.39,4.39,4.07,4.35,,,,,,,0,4.8699,0,1444,,,,,0
2023-07-21,4.24,4.30,4.09,4.23,,,,,,,0,4.8059,0,1269,,,,,0
2023-07-24,4.11,4.23,4.01,4.03,,,,,,,0,4.7471,0,1200,,,,,0
2023-07-25,4.04,4.07,3.99,3.99,,,,,,,0,4.6734,0,892,,,,,0
2023-07-26,3.97,4.08,3.94,4.00,4.32,,,,,4.7882,0,4.5914,0,1167,,,,,0
2023-07-27,3.98,4.05,3.95,3.95,4.23,,,,,4.7304,0,4.5002,0,1151,,,,,0
2023-07-28,3.96,4.12,3.92,4.01,4.16,,,,,4.7304,0,4.4217,0,1201,,,,,0
2023-07-31,4.10,4.25,4.00,4.25,4.15,,,,,4.7304,0,4.3415,0,1340,,,,,0
2023-08-01,4.24,4.25,4.13,4.16,4.13,,,,,4.7304,0,4.2740,0,805,,,,,0
2023-08-02,4.14,4.22,4.05,4.10,4.11,,,,,4.7304,0,4.2500,0,400,,,,,0
2023-08-03,4.11,4.16,4.02,4.06,4.08,,,,,4.7304,0,4.2500,0,701,,,,,0
2023-08-04,4.01,4.09,3.99,4.07,4.06,,,,,4.6481,0,4.2200,0,495,,,,,0
2023-08-07,4.07,4.15,4.00,4.01,4.06,,,,,4.6481,0,4.1720,0,629,,,,,0
2023-08-08,4.02,4.25,4.00,4.22,4.08,,,,,4.6481,0,3.9200,1,1120,,,,,0
2023-08-09,4.23,4.26,4.00,4.20,4.10,4.21,,,,4.6481,0,3.9266,1,1790,,,,,0
2023-08-10,4.14,4.28,4.01,4.14,4.12,4.18,,,,4.6481,0,3.9399,1,871,,,,,0
2023-08-11,4.10,4.16,3.97,4.05,4.13,4.14,,,,4.6481,0,3.9603,1,983,,,,,0
2023-08-14,4.00,4.05,3.94,3.94,4.09,4.12,,,,4.6007,0,4.2800,0,793,,,,,0
2023-08-15,3.93,3.95,3.80,3.82,4.06,4.10,,,,4.4652,0,4.2732,0,1120,,,,,0
2023-08-16,3.81,3.88,3.77,3.79,4.03,4.07,,,,4.3892,0,4.2543,0,662,,,,,0
2023-08-17,3.79,3.84,3.75,3.78,4.00,4.04,,,,4.3297,0,4.2252,0,976,,,,,0
