Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,84.60,86.99,84.30,86.32,,,,,,,0,84.3000,1,1916,,,,,0
2023-07-18,87.66,87.69,86.50,87.20,,,,,,,0,84.3000,1,1517,,,,,0
2023-07-19,87.46,87.98,83.99,84.47,,,,,,,0,87.6900,0,2044,,,,,0
2023-07-20,84.06,85.00,82.93,84.88,,,,,,,0,87.9800,0,2572,,,,,0
2023-07-21,85.38,85.59,83.45,83.58,,,,,,,0,87.9800,0,2340,,,,,0
2023-07-24,83.60,84.74,83.60,84.14,,,,,,,0,87.7780,0,1170,,,,,0
2023-07-25,84.13,85.21,84.13,84.20,,,,,,,0,87.5841,0,1920,,,,,0
2023-07-26,83.87,84.80,82.92,84.14,,,,,,,0,87.3979,0,1767,,,,,0
2023-07-27,84.00,84.30,81.59,83.76,,,,,,,0,87.1292,0,1952,,,,,0
2023-07-28,84.84,84.84,83.33,83.70,84.64,,,,,90.2650,0,86.6861,0,1130,,,,,0
2023-07-31,83.14,84.04,82.60,83.88,84.39,,,,,89.3140,0,86.2784,0,1543,,,,,0
2023-08-01,83.00,87.78,83.00,87.50,84.42,,,,,89.3140,0,81.5900,1,2188,,,,,0
2023-08-02,87.42,92.12,87.42,90.67,85.04,,,,,82.2143,1,81.7138,1,5649,,,,,0
2023-08-03,89.48,91.25,89.21,89.50,85.51,,,,,82.8178,1,82.1300,1,1790,,,,,0
2023-08-04,89.08,90.57,88.64,89.89,86.14,,,,,82.8178,1,82.5296,1,1465,,,,,0
2023-08-07,90.12,91.06,89.19,90.56,86.78,,,,,83.0390,1,82.9133,1,1947,,,,,0
2023-08-08,90.07,95.39,90.07,94.92,87.85,,,,,84.7566,1,83.2815,1,4509,,,,,0
2023-08-09,95.34,95.69,94.00,94.99,88.94,,,,,87.1620,1,84.0080,1,4113,,,,,0
2023-08-10,95.00,96.54,93.77,96.05,90.17,,,,,87.4093,1,84.9426,1,3554,,,,,0
2023-08-11,95.90,96.72,94.02,94.87,91.28,87.96,,,,87.5888,1,86.1023,1,2049,,,,,0
2023-08-14,94.37,95.55,93.54,95.55,92.45,88.42,,,,87.5888,1,87.3765,1,1701,,,,,0
2023-08-15,93.60,95.95,93.60,94.18,93.12,88.77,,,,87.5888,1,88.4977,1,1742,,,,,0
2023-08-16,94.00,94.51,92.18,93.23,93.37,89.21,,,,87.5888,1,89.4844,1,1902,,,,,0
2023-08-17,93.03,94.76,92.86,93.04,93.73,89.62,,,,87.5888,1,90.3526,1,5713,,,,,0
2023-08-18,92.19,95.33,91.41,94.86,94.23,90.18,,,,87.5888,1,91.1167,1,2476,,,,,0
2023-08-21,94.76,98.56,94.76,98.27,95.00,90.89,,,,88.5365,1,91.4100,1,4442,,,,,0
2023-08-22,98.64,103.01,98.18,102.71,95.78,91.81,,,,91.8348,1,91.4100,1,7611,,,,,0
2023-08-23,102.57,103.11,99.98,101.06,96.38,92.66,,,,92.7219,1,93.2660,1,5963,,,,,0
2023-08-24,101.35,102.53,101.00,101.22,96.90,93.53,,,,93.3652,1,95.0379,1,3492,,,,,0
2023-08-25,101.43,101.71,101.00,101.63,97.58,94.43,,,,93.5822,1,96.4909,1,1951,,,,,0
2023-08-28,102.14,104.32,101.12,101.66,98.19,95.32,,,,94.7644,1,97.6823,1,1942,,,,,0
2023-08-29,101.04,101.94,99.90,101.57,98.93,96.02,,,,94.7644,1,99.0099,1,4388,,,,,0
2023-08-30,101.16,102.97,100.48,102.73,99.88,96.62,,,,94.7644,1,99.9000,1,6010,,,,,0
2023-08-31,102.60,104.53,100.38,101.96,100.77,97.25,,,,94.7644,1,99.9000,1,6525,,4.5238,4.6182,-0.0944,0
2023-09-01,101.90,102.50,99.84,100.43,101.32,97.77,,,,94.7644,1,104.5300,0,8808,,4.2449,4.5436,-0.2987,0
2023-09-05,100.86,110.00,99.01,109.55,102.45,98.72,,,,94.7644,1,99.8400,1,7866,,4.7055,4.5760,0.1296,0
2023-09-06,110.14,114.30,109.75,113.50,103.53,99.65,,,,100.9993,1,99.0100,1,11225,,5.3279,4.7263,0.6015,0
2023-09-07,114.02,114.02,111.14,111.51,104.58,100.48,,,,101.7929,1,99.0100,1,8140,,5.5960,4.9003,0.6958,0
2023-09-08,111.83,112.44,110.38,112.20,105.67,101.29,,,,101.7929,1,99.6216,1,13475,,5.7974,5.0797,0.7177,0
2023-09-11,112.98,113.77,110.72,112.05,106.72,102.15,,,,102.0362,1,100.2087,1,12662,,5.8771,5.2392,0.6379,0
2023-09-12,112.68,113.76,111.72,111.94,107.74,102.97,,,,102.9401,1,100.7724,1,4455,,5.8638,5.3641,0.4997,0
2023-09-13,111.71,112.89,111.54,111.71,108.76,103.84,,,,102.9901,1,101.3135,1,3485,,5.7682,5.4449,0.3233,0
2023-09-14,110.39,113.10,110.39,112.84,109.77,104.82,,,,102.9901,1,101.8330,1,3769,,5.7178,5.4995,0.2183,0
2023-09-15,113.11,115.24,112.84,114.48,111.02,105.89,,,,105.1161,1,102.3316,1,19153,,5.7439,5.5484,0.1955,0
2023-09-18,114.68,115.41,113.22,113.27,112.31,106.81,,,,105.6265,1,103.1061,1,9356,,5.6024,5.5592,0.0432,0
2023-09-19,113.98,114.00,111.65,111.65,112.52,107.48,,,,105.6265,1,104.0904,1,3539,,5.2984,5.5070,-0.2086,0
2023-09-20,111.96,111.96,108.67,108.67,112.03,107.78,,,,105.6265,1,104.9960,1,2445,,4.7622,5.3581,-0.5959,0
2023-09-21,96.54,98.40,93.99,95.16,110.40,107.49,,,,108.3923,0,115.4100,0,49369,,3.2101,4.9285,-1.7184,0
2023-09-22,95.17,95.55,94.25,95.01,108.68,107.18,,,,106.2675,0,114.9816,0,12988,,1.9455,4.3319,-2.3864,0
2023-09-25,93.98,96.39,93.98,95.01,106.97,106.85,97.44,,,106.1388,0,114.5618,0,9938,5673,0.9325,3.6520,-2.7195,0
2023-09-26,94.94,95.49,94.87,95.06,105.29,106.52,97.61,,,105.2244,0,113.7385,0,8841,5812,0.1322,2.9480,-2.8158,0
2023-09-27,95.95,97.02,94.90,97.02,103.82,106.29,97.81,,,105.2244,0,112.9482,0,6491,5911,-0.3399,2.2904,-2.6303,0
2023-09-28,96.86,99.28,96.53,98.27,102.36,106.06,98.08,,,105.2244,0,112.1894,0,4530,5961,-0.6062,1.7111,-2.3173,0
2023-09-29,98.63,99.19,97.05,97.97,100.71,105.87,98.35,,,105.2244,0,111.4611,0,5369,6017,-0.8319,1.2025,-2.0344,0
2023-10-02,97.40,99.40,94.91,95.19,98.90,105.60,98.58,,,105.2244,0,110.7618,0,3170,6033,-1.2210,0.7178,-1.9388,0
