Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,25.55,25.83,25.47,25.59,,,,,,,0,25.8266,0,1347,,,,,0
2023-07-14,25.75,25.75,24.96,25.22,,,,,,,0,25.8266,0,1238,,,,,0
2023-07-17,25.22,25.71,25.22,25.35,,,,,,,0,25.8266,0,1131,,,,,0
2023-07-18,25.40,26.10,25.40,26.08,,,,,,,0,24.9633,1,1747,,,,,0
2023-07-19,26.11,26.73,26.11,26.72,,,,,,,0,24.9860,1,1762,,,,,0
2023-07-20,26.51,26.68,26.18,26.46,,,,,,,0,25.0559,1,1539,,,,,0
2023-07-21,26.67,26.67,26.09,26.25,,,,,,,0,25.1230,1,1671,,,,,0
2023-07-24,26.04,27.04,26.04,27.03,,,,,,,0,25.1874,1,1829,,,,,0
2023-07-25,26.56,26.98,24.44,25.97,,,,,,,0,27.0385,0,2403,,,,,0
2023-07-26,26.19,27.13,26.19,27.13,26.18,,,,,29.3396,0,24.4402,1,2467,,,,,0
2023-07-27,27.27,27.27,26.42,26.51,26.27,,,,,29.3396,0,24.4402,1,1769,,,,,0
2023-07-28,26.70,26.82,26.56,26.74,26.42,,,,,29.1798,0,24.5532,1,1021,,,,,0
2023-07-31,26.71,26.87,26.35,26.50,26.54,,,,,29.0093,0,24.6617,1,2039,,,,,0
2023-08-01,26.45,26.50,26.07,26.34,26.56,,,,,28.5707,0,24.7658,1,1299,,,,,0
2023-08-02,25.99,26.56,25.98,26.45,26.54,,,,,28.5016,0,24.8658,1,2069,,,,,0
2023-08-03,26.55,26.65,26.11,26.43,26.53,,,,,28.5016,0,24.9618,1,4307,,,,,0
2023-08-04,26.33,26.72,26.18,26.31,26.54,,,,,28.5016,0,25.0539,1,4005,,,,,0
2023-08-07,26.45,26.74,26.40,26.65,26.50,,,,,28.5016,0,25.1424,1,2552,,,,,0
2023-08-08,26.23,26.65,25.95,26.57,26.56,,,,,28.3419,0,25.2273,1,1344,,,,,0
2023-08-09,26.44,26.60,26.19,26.47,26.50,26.34,,,,28.3419,0,25.3088,1,1321,,,,,0
2023-08-10,26.45,26.59,26.02,26.12,26.46,26.36,,,,28.2420,0,25.3871,1,1261,,,,,0
2023-08-11,26.08,26.35,26.08,26.26,26.41,26.42,,,,28.0379,0,25.4622,1,1048,,,,,0
2023-08-14,26.14,26.25,25.74,26.04,26.36,26.45,,,,27.7945,0,25.5343,1,1837,,,,,0
2023-08-15,25.77,25.82,25.47,25.51,26.28,26.42,,,,27.4343,0,27.2652,0,2882,,,,,0
2023-08-16,25.50,25.77,25.13,25.14,26.15,26.34,,,,27.2569,0,27.2293,0,1537,,,,,0
2023-08-17,25.24,25.24,25.04,25.18,26.03,26.28,,,,26.8270,0,27.1453,0,1378,,,,,0
2023-08-18,25.02,25.36,25.02,25.19,25.91,26.23,,,,26.8129,0,27.0191,0,3660,,,,,0
