Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,159.56,160.68,158.81,158.88,,,,,,,0,160.6805,0,242254,,,,,0
2023-07-14,159.00,159.07,155.60,156.73,,,,,,,0,160.6805,0,251779,,,,,0
2023-07-17,156.14,159.61,156.14,159.23,,,,,,,0,160.6805,0,252430,,,,,0
2023-07-18,158.64,162.18,158.64,161.52,,,,,,,0,155.5994,1,236281,,,,,0
2023-07-19,161.50,162.59,160.69,161.09,,,,,,,0,155.7310,1,272913,,,,,0
2023-07-20,164.15,166.42,162.48,163.99,,,,,,,0,156.0053,1,416452,,,,,0
2023-07-21,164.73,164.84,162.12,163.22,,,,,,,0,156.6304,1,195166,,,,,0
2023-07-24,163.31,165.79,163.07,165.13,,,,,,,0,157.2179,1,219267,,,,,0
2023-07-25,164.30,164.53,162.44,162.56,,,,,,,0,157.7702,1,208575,,,,,0
2023-07-26,162.95,165.28,162.88,164.49,161.68,,,,,173.2154,0,158.2894,1,310405,,,,,0
2023-07-27,165.29,166.20,163.97,165.16,162.31,,,,,173.2154,0,158.7774,1,270419,,,,,0
2023-07-28,166.33,166.72,163.46,163.64,163.00,,,,,173.2154,0,159.2361,1,234403,,,,,0
2023-07-31,163.58,164.52,162.15,163.02,163.38,,,,,172.1235,0,159.8345,1,188525,,,,,0
2023-08-01,162.53,163.34,161.82,162.74,163.50,,,,,170.9498,0,160.3849,1,188180,,,,,0
2023-08-02,162.40,163.10,160.85,161.60,163.55,,,,,170.1784,0,166.7156,0,235502,,,,,0
2023-08-03,161.63,162.06,159.91,159.99,163.15,,,,,169.0124,0,166.5983,0,281865,,,,,0
2023-08-04,159.74,161.64,158.66,159.28,162.76,,,,,168.2736,0,166.3306,0,293586,,,,,0
2023-08-07,160.64,162.13,160.14,160.67,162.31,,,,,168.2736,0,165.8703,0,189293,,,,,0
2023-08-08,159.69,159.69,157.67,158.56,161.91,,,,,166.9257,0,165.4377,0,189755,,,,,0
2023-08-09,158.13,159.42,157.37,158.00,161.27,161.47,,,,166.4352,0,164.8161,0,214399,,,,,0
2023-08-10,158.13,159.62,157.24,157.67,160.52,161.41,,,,166.3830,0,164.0710,0,273247,,,,,0
2023-08-11,157.16,157.82,156.61,157.59,159.91,161.46,,,,164.7323,0,163.2516,0,148522,,,,,0
2023-08-14,157.50,157.72,156.21,157.03,159.31,161.35,,,,164.1883,0,162.3218,0,145386,,,,,0
2023-08-15,155.83,156.52,154.09,154.40,158.48,160.99,,,,162.6881,0,161.3444,0,146347,,,,,0
2023-08-16,154.67,157.75,154.46,156.18,157.94,160.75,,,,162.6881,0,160.0383,0,167024,,,,,0
2023-08-17,156.94,157.37,154.06,154.33,157.37,160.26,,,,162.6881,0,158.9673,0,169015,,,,,0
2023-08-18,154.19,154.76,153.23,153.45,156.79,159.77,,,,161.5411,0,157.9858,0,152462,,,,,0
2023-08-21,153.37,154.04,151.18,152.62,155.98,159.15,,,,160.2613,0,157.3655,0,221764,,,,,0
2023-08-22,152.22,153.13,150.76,151.06,155.23,158.57,,,,159.5462,0,156.1282,0,171552,,,,,0
2023-08-23,151.46,152.12,151.23,151.99,154.63,157.95,,,,158.8328,0,155.0553,0,152079,,,,,0
2023-08-24,151.79,154.14,151.54,152.85,154.15,157.33,,,,158.8328,0,154.1970,0,129990,,,,,0
2023-08-25,153.27,153.86,151.94,152.66,153.66,156.79,,,,158.8328,0,154.1449,0,130993,,,,,0
2023-08-28,152.67,153.34,151.05,151.90,153.14,156.23,,,,158.8328,0,154.1449,0,109429,,,,,0
2023-08-29,152.36,152.52,150.67,152.32,152.94,155.71,,,,158.5020,0,153.8615,0,112444,,-2.9214,-2.9910,0.0695,0
2023-08-30,152.39,153.30,151.66,152.36,152.55,155.25,,,,158.5020,0,153.3421,0,133105,,-2.8113,-2.9550,0.1437,0
2023-08-31,152.73,152.98,151.88,152.27,152.35,154.86,,,,158.5020,0,153.3043,0,231671,,-2.6998,-2.9040,0.2042,0
2023-09-01,153.36,154.33,152.93,153.29,152.33,154.56,,,,158.5020,0,150.6693,1,117651,,-2.5010,-2.8234,0.3224,0
2023-09-05,153.29,153.63,151.46,151.48,152.22,154.10,,,,158.5020,0,150.7426,1,138465,,-2.4607,-2.7508,0.2902,0
