Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,9.86,10.00,9.82,9.85,,,,,,,0,9.8200,1,414,,,,,0
2023-07-18,9.94,10.20,9.91,9.97,,,,,,,0,9.8200,1,511,,,,,0
2023-07-19,9.97,10.05,9.92,10.00,,,,,,,0,9.8200,1,239,,,,,0
2023-07-20,10.00,10.03,9.80,9.85,,,,,,,0,10.2000,0,206,,,,,0
2023-07-21,9.99,10.07,9.80,9.99,,,,,,,0,10.1920,0,310,,,,,0
2023-07-24,9.94,10.00,9.78,9.78,,,,,,,0,10.1842,0,310,,,,,0
2023-07-25,9.78,9.85,9.52,9.58,,,,,,,0,10.1680,0,647,,,,,0
2023-07-26,9.57,9.57,9.22,9.29,,,,,,,0,10.1291,0,124,,,,,0
2023-07-27,9.30,9.31,8.40,8.80,,,,,,,0,10.0564,0,374,,,,,0
2023-07-28,8.88,9.10,8.88,9.10,9.62,,,,,9.9740,0,9.8907,0,134,,,,,0
2023-07-31,9.25,9.47,9.13,9.43,9.58,,,,,9.9740,0,9.7417,0,538,,,,,0
2023-08-01,9.37,9.37,9.25,9.33,9.52,,,,,9.9740,0,9.6075,0,234,,,,,0
2023-08-02,9.21,9.39,9.05,9.10,9.43,,,,,9.9740,0,9.4868,0,500,,,,,0
2023-08-03,9.10,9.25,9.07,9.23,9.36,,,,,9.9740,0,9.3900,0,177,,,,,0
2023-08-04,9.29,9.44,9.05,9.10,9.27,,,,,9.9740,0,8.4000,1,520,,,,,0
2023-08-07,9.07,9.10,8.90,8.96,9.19,,,,,9.9073,0,8.4208,1,220,,,,,0
2023-08-08,8.96,8.98,8.66,8.70,9.10,,,,,9.7326,0,8.4412,1,89,,,,,0
2023-08-09,8.67,8.69,8.40,8.40,9.02,,,,,9.4563,0,9.4400,0,99,,,,,0
2023-08-10,8.41,8.82,8.38,8.45,8.98,,,,,9.4563,0,9.4192,0,158,,,,,0
2023-08-11,13.00,13.89,11.60,12.97,9.37,9.49,,,,10.2560,1,8.3800,1,301894,,,,,0
2023-08-14,12.98,15.00,12.90,14.38,9.86,9.72,,,,11.0799,1,8.3800,1,56657,,,,,0
2023-08-15,14.30,17.65,14.17,17.15,10.64,10.08,,,,12.2829,1,8.6448,1,35389,,,,,0
2023-08-16,17.21,17.80,15.31,15.51,11.28,10.36,,,,12.5436,1,9.1851,1,12875,,,,,0
2023-08-17,15.31,15.70,14.62,14.83,11.84,10.60,,,,12.5436,1,9.8743,1,4012,,,,,0
2023-08-18,14.31,15.00,13.69,14.68,12.40,10.84,,,,12.5436,1,10.5084,1,3095,,,,,0
2023-08-21,14.61,19.13,14.33,18.73,13.38,11.29,,,,12.5436,1,11.0917,1,44107,,,,,0
2023-08-22,19.00,20.91,18.42,19.99,14.51,11.81,,,,14.4356,1,11.8955,1,17735,,,,,0
2023-08-23,20.04,22.10,19.67,21.85,15.85,12.43,,,,15.4496,1,12.9773,1,18000,,,,,0
2023-08-24,22.29,22.75,20.32,20.92,17.10,13.04,,,,15.9141,1,14.2544,1,14780,,,,,0
2023-08-25,20.35,21.67,18.42,18.67,17.67,13.52,,,,15.9141,1,15.6137,1,10048,,,,,0
2023-08-28,18.98,19.60,17.79,18.26,18.06,13.96,,,,15.9141,1,16.7555,1,5319,,,,,0
2023-08-29,18.31,19.44,17.86,18.99,18.24,14.44,,,,15.9141,1,17.7146,1,5190,,,,,0
2023-08-30,18.87,19.38,17.38,17.64,18.46,14.87,,,,15.9141,1,22.7500,0,5004,,,,,0
2023-08-31,17.62,20.15,17.51,19.93,18.97,15.41,,,,15.9141,1,22.6426,0,8088,,2.9708,3.1850,-0.2142,0
2023-09-01,20.00,20.87,19.28,19.46,19.44,15.92,,,,15.9141,1,22.5373,0,6774,,2.8818,3.1243,-0.2426,0
2023-09-05,19.32,20.19,19.31,20.01,19.57,16.48,,,,15.9141,1,22.4342,0,3060,,2.8231,3.0641,-0.2410,0
2023-09-06,19.90,21.19,18.38,18.61,19.43,16.97,,,,15.9141,1,22.3331,0,5585,,2.6332,2.9779,-0.3447,0
2023-09-07,18.39,18.39,17.05,17.06,18.95,17.40,,,,15.9141,1,22.2341,0,3211,,2.3308,2.8485,-0.5177,0
2023-09-08,17.22,17.28,16.08,17.04,18.57,17.83,,,,15.9141,1,22.0267,0,3527,,2.0657,2.6919,-0.6262,0
2023-09-11,17.36,17.99,16.20,17.16,18.42,18.04,,,,15.9141,1,21.6699,0,2593,,1.8441,2.5224,-0.6783,0
2023-09-12,17.26,18.12,17.15,17.69,18.36,18.21,,,,15.9141,1,21.3345,0,2004,,1.6917,2.3562,-0.6645,0
2023-09-13,17.24,17.75,16.72,16.82,18.14,18.19,,,,15.9141,1,21.0192,0,1931,,1.4836,2.1817,-0.6981,0
2023-09-14,16.89,17.58,16.89,17.30,18.11,18.28,,,,15.9141,1,20.7229,0,1111,,1.3420,2.0138,-0.6718,0
2023-09-15,17.28,17.28,16.55,16.66,17.78,18.37,,,,15.9141,1,20.4443,0,1951,,1.1647,1.8439,-0.6793,0
2023-09-18,16.47,16.47,15.56,16.22,17.46,18.45,,,,15.9141,1,20.1824,0,1651,,0.9774,1.6706,-0.6933,0
2023-09-19,16.19,16.34,15.56,15.79,17.03,18.30,,,,20.1459,0,19.8126,0,1764,,0.7852,1.4935,-0.7084,0
2023-09-20,15.89,15.93,15.42,15.43,16.72,18.08,,,,19.6043,0,19.4724,0,1389,,0.5969,1.3142,-0.7173,0
2023-09-21,15.24,15.86,15.07,15.60,16.57,17.76,,,,19.2384,0,19.0672,0,930,,0.4562,1.1426,-0.6864,0
2023-09-22,15.52,15.68,15.29,15.51,16.42,17.49,,,,18.9980,0,18.5875,0,624,,0.3336,0.9808,-0.6472,0
2023-09-25,15.18,15.31,14.70,14.78,16.18,17.30,14.25,,,18.4097,0,18.1654,0,1892,11760,0.1755,0.8197,-0.6443,0
2023-09-26,14.64,15.00,14.21,14.34,15.84,17.10,14.34,,,17.9063,0,17.6803,0,2390,11799,0.0145,0.6587,-0.6442,0
2023-09-27,14.15,14.58,13.40,13.79,15.54,16.84,14.42,,,17.3151,0,17.1250,0,1816,11825,-0.1557,0.4958,-0.6515,0
2023-09-28,13.32,13.76,12.91,13.42,15.15,16.63,14.49,,,16.5916,0,16.4545,0,3273,11886,-0.3167,0.3333,-0.6500,0
2023-09-29,13.69,15.17,13.57,14.30,14.92,16.35,14.57,,,16.5916,0,15.7456,0,2179,11926,-0.3691,0.1928,-0.5619,0
2023-10-02,14.15,14.15,13.04,13.53,14.65,16.05,14.65,,,16.5916,0,15.1785,0,1893,11957,-0.4674,0.0608,-0.5281,0
2023-10-03,13.35,13.37,12.66,12.94,14.36,15.70,14.71,,,16.4155,0,15.1700,0,1231,11976,-0.5861,-0.0686,-0.5175,0
2023-10-04,12.94,12.94,12.53,12.74,14.09,15.41,14.77,,,15.9185,0,14.6680,0,894,11981,-0.6884,-0.1925,-0.4958,0
2023-10-05,12.77,12.77,12.40,12.63,13.80,15.18,14.84,,,15.5611,0,14.2404,0,1148,12001,-0.7694,-0.3079,-0.4615,0
2023-10-06,12.58,12.76,12.15,12.69,13.52,14.97,14.92,,,15.3165,0,13.8723,0,538,12004,-0.8194,-0.4102,-0.4092,0
2023-10-09,12.58,13.48,12.50,13.33,13.37,14.78,15.00,,,15.3165,0,13.5279,0,656,12015,-0.7981,-0.4878,-0.3104,0
2023-10-10,13.31,13.53,13.05,13.28,13.26,14.55,15.08,,,15.3165,0,12.1500,1,627,12017,-0.7764,-0.5455,-0.2309,0
2023-10-11,13.31,13.46,12.71,12.83,13.17,14.36,15.15,,,15.3165,0,12.1776,1,600,12024,-0.7864,-0.5937,-0.1927,0
