Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,50.96,51.14,50.61,50.81,,,,,,,0,51.1408,0,56573,,,,,0
2023-07-14,50.26,50.26,49.31,49.40,,,,,,,0,51.1408,0,61661,,,,,0
2023-07-17,49.37,49.56,49.16,49.17,,,,,,,0,51.1408,0,75569,,,,,0
2023-07-18,49.49,50.05,49.41,49.89,,,,,,,0,51.0615,0,90134,,,,,0
2023-07-19,50.23,50.70,50.23,50.54,,,,,,,0,50.9853,0,64981,,,,,0
2023-07-20,51.32,51.66,51.12,51.42,,,,,,,0,49.1576,1,87304,,,,,0
2023-07-21,51.74,51.90,51.43,51.86,,,,,,,0,49.2076,1,74736,,,,,0
2023-07-24,52.22,52.49,52.13,52.23,,,,,,,0,49.3153,1,46790,,,,,0
2023-07-25,51.70,52.12,51.47,52.05,,,,,,,0,49.5055,1,52803,,,,,0
2023-07-26,50.99,51.63,50.96,51.49,50.88,,,,,53.7587,0,49.6844,1,52109,,,,,0
2023-07-27,51.68,51.78,50.88,51.02,50.90,,,,,53.7587,0,49.8525,1,66294,,,,,0
2023-07-28,51.37,51.97,51.17,51.66,51.13,,,,,53.7587,0,50.0105,1,83065,,,,,0
2023-07-31,52.50,52.81,52.40,52.47,51.46,,,,,53.7587,0,50.1590,1,56317,,,,,0
2023-08-01,52.13,52.40,51.53,52.04,51.68,,,,,53.7587,0,50.3707,1,50869,,,,,0
2023-08-02,51.15,51.24,49.99,50.27,51.65,,,,,53.6010,0,52.8050,0,93029,,,,,0
2023-08-03,50.60,51.36,50.47,51.11,51.62,,,,,53.6010,0,52.7486,0,54164,,,,,0
2023-08-04,52.18,53.02,52.14,52.29,51.66,,,,,53.6010,0,49.9854,1,86127,,,,,0
2023-08-07,52.55,52.74,52.11,52.61,51.70,,,,,53.6010,0,50.0461,1,91905,,,,,0
2023-08-08,51.69,52.53,51.31,52.47,51.74,,,,,53.6010,0,50.1056,1,43496,,,,,0
2023-08-09,53.83,54.25,53.74,53.93,51.99,51.43,,,,50.5677,1,50.1639,1,97738,,,,,0
2023-08-10,54.93,55.30,54.44,54.60,52.34,51.62,,,,51.3704,1,50.3275,1,128489,,,,,0
2023-08-11,53.68,54.13,53.64,53.95,52.57,51.85,,,,51.3704,1,50.6256,1,93029,,,,,0
2023-08-14,53.24,53.31,52.80,53.13,52.64,52.05,,,,51.3704,1,50.9059,1,62027,,,,,0
2023-08-15,53.14,53.18,52.64,52.71,52.71,52.19,,,,51.3704,1,51.1694,1,55836,,,,,0
2023-08-16,52.74,53.25,52.54,52.58,52.94,52.29,,,,51.3704,1,51.4170,1,51461,,,,,0
2023-08-17,53.24,53.53,52.76,52.83,53.11,52.36,,,,51.3704,1,51.6498,1,66288,,,,,0
2023-08-18,52.64,53.59,52.60,53.38,53.22,52.44,,,,51.3704,1,51.8687,1,74713,,,,,0
2023-08-21,54.22,54.33,53.81,54.05,53.36,52.53,,,,51.3704,1,52.0743,1,73229,,,,,0
2023-08-22,54.38,54.45,53.87,53.98,53.51,52.63,,,,51.3704,1,52.2677,1,97155,,,,,0
