Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,57.81,59.11,57.08,59.00,,,,,,,0,57.0800,1,37353,,,,,0
2023-07-18,59.28,59.54,57.27,58.41,,,,,,,0,57.0800,1,40683,,,,,0
2023-07-19,58.69,60.17,58.50,60.13,,,,,,,0,57.0800,1,56372,,,,,0
2023-07-20,59.61,60.62,58.30,58.50,,,,,,,0,57.2036,1,50959,,,,,0
2023-07-21,59.14,60.17,58.19,59.96,,,,,,,0,57.4085,1,31641,,,,,0
2023-07-24,60.08,61.19,59.67,59.86,,,,,,,0,57.6012,1,57663,,,,,0
2023-07-25,59.39,61.92,59.39,60.86,,,,,,,0,57.8883,1,40448,,,,,0
2023-07-26,60.41,60.90,59.27,60.74,,,,,,,0,58.2914,1,43563,,,,,0
2023-07-27,61.70,61.77,60.24,60.71,,,,,,,0,58.6543,1,46249,,,,,0
2023-07-28,61.83,63.52,61.35,62.91,60.11,,,,,68.5502,0,58.9809,1,57135,,,,,0
2023-07-31,63.05,63.57,62.40,62.98,60.51,,,,,68.5502,0,59.5256,1,64819,,,,,0
2023-08-01,62.15,62.76,61.08,62.25,60.89,,,,,67.7581,0,60.0918,1,42598,,,,,0
2023-08-02,61.05,61.05,58.17,58.70,60.75,,,,,66.0905,0,63.5700,0,98205,,,,,0
2023-08-03,58.06,60.01,57.37,58.49,60.75,,,,,65.3185,0,63.4620,0,66784,,,,,0
2023-08-04,56.24,57.68,54.85,56.04,60.35,,,,,63.3204,0,63.2183,0,190430,,,,,0
2023-08-07,56.47,57.04,54.81,55.70,59.94,,,,,62.9438,0,62.7162,0,84519,,,,,0
2023-08-08,54.31,54.52,52.85,54.20,59.27,,,,,60.8579,0,62.0837,0,61896,,,,,0
2023-08-09,54.21,54.81,52.21,52.35,58.43,,,,,60.7434,0,61.1609,0,33781,,,,,0
2023-08-10,52.50,53.11,51.49,51.91,57.55,,,,,59.2971,0,60.0867,0,40874,,,,,0
2023-08-11,51.00,51.81,50.49,50.58,56.32,58.21,,,,57.8696,0,58.8839,0,26190,,,,,0
2023-08-14,49.94,50.46,49.44,50.12,55.03,57.77,,,,56.3396,0,57.5417,0,23862,,,,,0
2023-08-15,49.67,49.78,48.56,48.73,53.68,57.29,,,,55.3862,0,56.0834,0,47994,,,,,0
2023-08-16,48.50,48.50,47.42,47.88,52.60,56.67,,,,53.9498,0,54.5787,0,36901,,,,,0
2023-08-17,47.61,47.76,46.18,46.21,51.37,56.06,,,,52.8708,0,53.1470,0,35928,,,,,0
2023-08-18,45.42,46.44,44.89,45.68,50.34,55.35,,,,51.4407,0,51.7536,0,54190,,,,,0
2023-08-21,45.75,46.56,45.28,46.32,49.40,54.67,,,,51.4407,0,50.3809,0,41178,,,,,0
2023-08-22,46.49,46.66,45.22,46.28,48.61,53.94,,,,51.3956,0,49.2827,0,45479,,,,,0
2023-08-23,46.50,48.17,46.31,47.73,48.14,53.29,,,,51.3956,0,48.4041,0,25388,,,,,0
2023-08-24,47.96,49.06,47.58,47.68,47.72,52.64,,,,51.3956,0,44.8900,1,59681,,,,,0
2023-08-25,47.60,48.25,47.07,47.89,47.45,51.89,,,,51.3956,0,44.9734,1,43839,,,,,0
2023-08-28,48.29,48.29,46.82,47.24,47.16,51.10,,,,51.3956,0,45.0551,1,22406,,,,,0
2023-08-29,47.23,49.85,46.79,49.38,47.23,50.46,,,,51.3956,0,45.1352,1,29095,,,,,0
2023-08-30,49.33,51.62,48.87,51.55,47.60,50.10,,,,44.4518,1,45.3236,1,57700,,,,,0
2023-08-31,51.70,52.55,51.19,51.85,48.16,49.77,,,,46.2503,1,45.7014,1,46940,,-3.0619,-4.5488,1.4870,0
2023-09-01,52.72,54.87,52.66,54.05,49.00,49.67,,,,47.8013,1,46.2493,1,68622,,-2.4786,-4.1348,1.6562,0
2023-09-05,53.48,54.30,52.30,52.48,49.61,49.51,,,,47.8013,1,47.1114,1,60058,,-2.1187,-3.7316,1.6129,0
2023-09-06,52.51,52.73,51.49,52.17,50.20,49.40,,,,47.8013,1,47.8872,1,40197,,-1.8373,-3.3527,1.5154,0
2023-09-07,51.51,51.60,49.94,50.18,50.45,49.30,,,,47.8013,1,48.5855,1,51028,,-1.7546,-3.0331,1.2785,0
2023-09-08,49.83,49.98,47.26,47.36,50.41,49.07,,,,54.7496,0,54.8700,0,51144,,-1.8948,-2.8054,0.9107,0
2023-09-11,47.71,48.54,47.46,48.00,50.43,48.94,,,,53.8706,0,54.7178,0,27917,,-1.9319,-2.6307,0.6988,0
2023-09-12,47.24,49.76,47.24,49.63,50.66,48.91,,,,53.8706,0,54.5686,0,39113,,-1.8090,-2.4664,0.6574,0
2023-09-13,49.00,51.35,48.76,48.79,50.61,48.92,,,,53.8706,0,54.2755,0,48375,,-1.7591,-2.3249,0.5658,0
2023-09-14,49.00,49.95,48.66,49.49,50.40,49.00,,,,53.8706,0,53.9941,0,38493,,-1.6441,-2.1888,0.5446,0
2023-09-15,49.46,49.90,48.53,49.73,50.19,49.17,,,,53.8706,0,53.7239,0,72785,,-1.5162,-2.0542,0.5381,0
2023-09-18,49.14,49.31,46.10,46.19,49.40,49.20,,,,53.8706,0,53.4646,0,63636,,-1.6810,-1.9796,0.2986,0
2023-09-19,45.51,47.14,45.35,46.51,48.80,49.21,,,,52.4528,0,53.0227,0,52040,,-1.7655,-1.9368,0.1713,0
2023-09-20,47.13,47.13,45.43,45.44,48.13,49.17,,,,52.3780,0,52.4087,0,24506,,-1.8969,-1.9288,0.0319,0
2023-09-21,44.44,44.44,41.84,41.91,47.30,48.88,,,,49.7082,0,51.8439,0,52932,,-2.2598,-1.9950,-0.2648,0
2023-09-22,42.11,42.50,41.24,41.35,46.70,48.56,,,,48.1603,0,50.8435,0,43471,,-2.5631,-2.1086,-0.4545,0
2023-09-25,41.00,41.93,40.81,41.21,46.02,48.23,52.07,,,47.3643,0,49.6917,0,42830,50398,-2.7827,-2.2434,-0.5392,0
2023-09-26,41.08,41.70,40.18,40.86,45.15,47.91,51.70,,,46.7913,0,48.4482,0,32635,50303,-2.9509,-2.3849,-0.5660,0
