Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,21.43,21.75,20.93,20.99,,,,,,,0,21.7524,0,1290,,,,,0
2023-07-14,20.93,20.93,20.33,20.82,,,,,,,0,21.7524,0,1291,,,,,0
2023-07-17,21.10,21.64,21.08,21.19,,,,,,,0,21.7524,0,1934,,,,,0
2023-07-18,21.19,21.37,20.40,21.36,,,,,,,0,21.7239,0,1104,,,,,0
2023-07-19,21.29,21.58,21.07,21.20,,,,,,,0,21.6960,0,2110,,,,,0
2023-07-20,21.31,21.96,21.24,21.87,,,,,,,0,20.3289,1,1034,,,,,0
2023-07-21,21.92,22.11,21.51,21.77,,,,,,,0,20.3615,1,1079,,,,,0
2023-07-24,21.69,22.10,21.60,21.90,,,,,,,0,20.4312,1,1055,,,,,0
2023-07-25,21.83,22.14,21.75,21.80,,,,,,,0,20.4982,1,1293,,,,,0
2023-07-26,21.84,22.55,21.84,22.38,21.53,,,,,24.2235,0,20.5969,1,1597,,,,,0
2023-07-27,22.37,22.48,21.99,22.17,21.65,,,,,24.2076,0,20.7534,1,2917,,,,,0
2023-07-28,22.17,22.62,22.17,22.27,21.79,,,,,24.2076,0,20.8973,1,1381,,,,,0
2023-07-31,22.21,22.73,22.21,22.37,21.91,,,,,24.2076,0,21.0693,1,1462,,,,,0
2023-08-01,22.17,22.19,18.26,19.44,21.72,,,,,23.1438,0,22.7293,0,3917,,,,,0
2023-08-02,19.40,19.54,19.22,19.36,21.53,,,,,22.1003,0,22.7293,0,2108,,,,,0
2023-08-03,19.32,19.84,19.31,19.64,21.31,,,,,22.1003,0,22.6400,0,2136,,,,,0
2023-08-04,19.65,19.97,19.31,19.34,21.07,,,,,22.1003,0,22.5524,0,1740,,,,,0
2023-08-07,19.34,20.46,19.25,19.58,20.83,,,,,22.1003,0,22.4667,0,3495,,,,,0
2023-08-08,19.35,19.43,18.16,18.73,20.53,,,,,21.6039,0,22.3826,0,1959,,,,,0
2023-08-09,18.51,18.91,18.29,18.60,20.15,20.84,,,,21.3192,0,22.2137,0,2111,,,,,0
2023-08-10,18.60,19.86,18.47,18.53,19.79,20.72,,,,21.3192,0,22.0516,0,1390,,,,,0
2023-08-11,18.38,18.65,18.38,18.49,19.41,20.60,,,,21.1753,0,21.8960,0,1794,,,,,0
2023-08-14,18.40,18.93,18.17,18.23,18.99,20.45,,,,21.1753,0,21.7466,0,1724,,,,,0
2023-08-15,18.06,18.26,17.81,17.83,18.83,20.27,,,,20.5333,0,21.6032,0,1334,,,,,0
2023-08-16,17.81,18.31,17.81,17.88,18.68,20.11,,,,20.4575,0,21.3754,0,1530,,,,,0
2023-08-17,17.91,18.68,17.91,18.09,18.53,19.92,,,,20.4575,0,21.1614,0,1930,,,,,0
2023-08-18,18.10,18.92,18.10,18.44,18.44,19.75,,,,20.4575,0,20.9601,0,2004,,,,,0
2023-08-21,18.39,18.70,18.13,18.56,18.34,19.59,,,,20.4575,0,20.7710,0,1863,,,,,0
2023-08-22,18.58,18.86,18.19,18.66,18.33,19.43,,,,20.4575,0,20.5932,0,2459,,,,,0
2023-08-23,18.63,19.10,18.63,18.85,18.36,19.25,,,,20.4575,0,20.4260,0,1305,,,,,0
2023-08-24,18.72,19.15,18.02,19.01,18.40,19.09,,,,20.4575,0,20.2689,0,2358,,,,,0
2023-08-25,19.04,19.23,18.93,19.02,18.46,18.93,,,,20.4575,0,20.1213,0,2105,,,,,0
