Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-20,3.53,3.55,3.48,3.54,,,,,,,0,3.4830,1,3330,,,,,0
2023-07-21,3.58,3.64,3.56,3.57,,,,,,,0,3.4830,1,2659,,,,,0
2023-07-24,3.60,3.69,3.57,3.67,,,,,,,0,3.4830,1,6880,,,,,0
2023-07-25,3.72,3.73,3.63,3.66,,,,,,,0,3.4914,1,4983,,,,,0
2023-07-26,3.65,3.66,3.56,3.61,,,,,,,0,3.5056,1,5947,,,,,0
2023-07-27,3.63,3.63,3.53,3.53,,,,,,,0,3.5190,1,2623,,,,,0
2023-07-28,3.56,3.60,3.55,3.57,,,,,,,0,3.5285,1,2068,,,,,0
2023-07-31,3.60,3.61,3.56,3.59,,,,,,,0,3.5285,1,7050,,,,,0
2023-08-01,3.52,3.57,3.50,3.56,,,,,,,0,3.7286,0,4199,,,,,0
2023-08-02,3.56,3.58,3.50,3.55,3.59,,,,,3.8068,0,3.7240,0,2723,,,,,0
2023-08-03,3.52,3.56,3.48,3.50,3.58,,,,,3.7794,0,3.7151,0,3808,,,,,0
2023-08-04,3.52,3.62,3.49,3.49,3.57,,,,,3.7794,0,3.7012,0,5849,,,,,0
2023-08-07,3.50,3.56,3.49,3.55,3.56,,,,,3.7794,0,3.6881,0,2917,,,,,0
2023-08-08,3.46,3.57,3.46,3.55,3.55,,,,,3.7794,0,3.6758,0,3079,,,,,0
2023-08-09,3.52,3.54,3.44,3.48,3.54,,,,,3.7637,0,3.6589,0,10676,,,,,0
2023-08-10,3.41,3.46,3.33,3.39,3.52,,,,,3.6869,0,3.6368,0,12450,,,,,0
2023-08-11,3.39,3.46,3.37,3.38,3.50,,,,,3.6869,0,3.5998,0,7875,,,,,0
2023-08-14,3.39,3.43,3.35,3.36,3.48,,,,,3.6755,0,3.5672,0,3895,,,,,0
2023-08-15,3.48,3.50,3.35,3.39,3.46,,,,,3.6755,0,3.5385,0,13105,,,,,0
2023-08-16,3.38,3.46,3.36,3.39,3.45,3.52,,,,3.6755,0,3.5133,0,8148,,,,,0
2023-08-17,3.42,3.43,3.35,3.36,3.43,3.51,,,,3.6755,0,3.5012,0,7088,,,,,0
2023-08-18,3.36,3.39,3.33,3.35,3.42,3.50,,,,3.6454,0,3.4805,0,3231,,,,,0
2023-08-21,3.31,3.35,3.30,3.34,3.40,3.48,,,,3.5981,0,3.4622,0,2368,,,,,0
2023-08-22,3.38,3.43,3.37,3.42,3.39,3.47,,,,3.5981,0,3.4398,0,2936,,,,,0
2023-08-23,3.43,3.50,3.40,3.50,3.39,3.46,,,,3.5981,0,3.3021,1,7285,,,,,0
2023-08-24,3.46,3.50,3.44,3.46,3.40,3.46,,,,3.5981,0,3.3059,1,2622,,,,,0
2023-08-25,3.46,3.50,3.43,3.47,3.40,3.45,,,,3.5981,0,3.3139,1,3413,,,,,0
2023-08-28,3.47,3.49,3.41,3.48,3.42,3.45,,,,3.5981,0,3.3216,1,3896,,,,,0
2023-08-29,3.49,3.55,3.46,3.53,3.43,3.45,,,,3.5981,0,3.3289,1,4255,,,,,0
2023-08-30,3.55,3.55,3.51,3.52,3.44,3.45,,,,3.5981,0,3.3422,1,1897,,,,,0
2023-08-31,3.44,3.45,3.35,3.36,3.44,3.44,,,,3.5981,0,3.5511,0,3416,,,,,0
