Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,43.44,43.75,43.29,43.58,,,,,,,0,43.2896,1,60522,,,,,0
2023-07-14,43.85,43.99,43.08,43.42,,,,,,,0,43.9876,0,45114,,,,,0
2023-07-17,43.41,44.65,43.28,44.54,,,,,,,0,43.0783,1,54740,,,,,0
2023-07-18,44.59,45.01,44.35,44.36,,,,,,,0,43.0783,1,54077,,,,,0
2023-07-19,44.23,44.86,44.13,44.26,,,,,,,0,43.1555,1,58946,,,,,0
2023-07-20,44.65,45.14,44.65,45.07,,,,,,,0,43.2295,1,34148,,,,,0
2023-07-21,45.31,45.31,44.67,44.74,,,,,,,0,43.3439,1,33615,,,,,0
2023-07-24,44.72,45.15,44.72,44.93,,,,,,,0,43.5012,1,24592,,,,,0
2023-07-25,44.91,45.07,44.70,44.79,,,,,,,0,43.6460,1,42953,,,,,0
2023-07-26,44.79,45.24,44.79,44.96,44.47,,,,,47.0784,0,43.7791,1,48128,,,,,0
2023-07-27,45.10,45.17,44.67,45.08,44.62,,,,,46.9295,0,43.9016,1,41559,,,,,0
2023-07-28,45.31,45.53,44.79,45.20,44.79,,,,,46.9295,0,44.0143,1,48068,,,,,0
2023-07-31,45.36,45.47,44.56,44.98,44.84,,,,,46.9295,0,44.1659,1,54278,,,,,0
2023-08-01,45.08,45.14,44.23,45.00,44.90,,,,,46.8485,0,45.5304,0,99521,,,,,0
2023-08-02,44.98,46.17,44.98,45.54,45.03,,,,,46.8485,0,44.2256,1,77255,,,,,0
2023-08-03,45.58,46.71,45.49,46.63,45.19,,,,,46.8485,0,44.2256,1,85159,,,,,0
2023-08-04,46.71,47.33,46.44,46.57,45.37,,,,,46.8485,0,44.3248,1,57043,,,,,0
2023-08-07,46.93,47.32,46.49,46.64,45.54,,,,,46.8485,0,44.5054,1,41091,,,,,0
2023-08-08,46.09,46.27,45.79,46.00,45.66,,,,,46.8485,0,44.6752,1,40722,,,,,0
2023-08-09,46.06,46.08,45.15,45.30,45.69,45.08,,,,46.8485,0,44.8347,1,42381,,,,,0
2023-08-10,45.44,45.96,44.89,44.98,45.68,45.15,,,,46.8485,0,47.3350,0,44542,,,,,0
2023-08-11,44.98,45.69,44.98,45.58,45.72,45.26,,,,46.8485,0,47.2861,0,36987,,,,,0
2023-08-14,45.65,45.81,45.26,45.73,45.80,45.32,,,,46.8485,0,47.2382,0,45274,,,,,0
2023-08-15,45.34,45.45,45.10,45.28,45.82,45.36,,,,46.8485,0,47.1913,0,31212,,,,,0
2023-08-16,45.19,45.79,45.15,45.17,45.79,45.41,,,,46.8485,0,47.1453,0,32966,,,,,0
2023-08-17,45.42,45.79,45.29,45.43,45.67,45.43,,,,46.8485,0,47.1002,0,51167,,,,,0
2023-08-18,45.18,45.54,45.01,45.15,45.53,45.45,,,,46.8485,0,47.0561,0,49258,,,,,0
2023-08-21,45.45,45.59,44.89,45.40,45.40,45.47,,,,46.8485,0,47.0128,0,38355,,,,,0
2023-08-22,45.30,45.53,44.75,44.76,45.28,45.47,,,,46.8485,0,46.9704,0,31378,,,,,0
2023-08-23,44.87,44.87,44.36,44.84,45.23,45.46,,,,46.7697,0,46.8817,0,31337,,,,,0
2023-08-24,44.60,45.46,44.60,45.15,45.25,45.47,,,,46.7697,0,46.7306,0,37524,,,,,0
2023-08-25,45.25,45.72,44.89,45.33,45.22,45.47,,,,46.7697,0,46.5887,0,36676,,,,,0
2023-08-28,45.33,45.80,45.33,45.52,45.20,45.50,,,,46.7697,0,46.4552,0,20960,,,,,0
2023-08-29,45.72,45.92,45.33,45.75,45.25,45.54,,,,46.7697,0,46.3297,0,41174,,0.1454,0.1667,-0.0213,0
