Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-14,30.63,30.67,30.28,30.57,,,,,,,0,30.6672,0,11407,,,,,0
2023-07-17,30.39,30.55,30.20,30.25,,,,,,,0,30.6672,0,8950,,,,,0
2023-07-18,30.37,31.32,30.37,31.19,,,,,,,0,30.1959,1,14949,,,,,0
2023-07-19,31.19,31.63,31.04,31.45,,,,,,,0,30.1959,1,9603,,,,,0
2023-07-20,31.24,31.37,30.95,31.18,,,,,,,0,30.2533,1,8018,,,,,0
2023-07-21,31.38,31.40,30.89,30.90,,,,,,,0,30.3083,1,8511,,,,,0
2023-07-24,31.02,31.29,30.69,31.05,,,,,,,0,30.3612,1,7559,,,,,0
2023-07-25,31.04,31.37,30.70,30.91,,,,,,,0,30.4119,1,22834,,,,,0
2023-07-26,30.89,31.05,30.62,30.71,,,,,,,0,30.4607,1,5878,,,,,0
2023-07-27,30.82,30.82,30.10,30.17,30.84,,,,,32.2144,0,31.6298,0,5119,,,,,0
2023-07-28,30.52,30.52,30.11,30.19,30.80,,,,,32.0166,0,31.5993,0,5082,,,,,0
2023-07-31,30.19,30.39,30.02,30.11,30.79,,,,,31.8485,0,31.5694,0,4818,,,,,0
2023-08-01,29.93,30.19,29.80,30.10,30.68,,,,,31.5857,0,31.5074,0,5098,,,,,0
2023-08-02,29.70,29.88,29.45,29.70,30.50,,,,,31.2964,0,31.4047,0,6105,,,,,0
2023-08-03,29.49,29.69,29.37,29.57,30.34,,,,,31.0961,0,31.2487,0,11204,,,,,0
2023-08-04,29.33,31.08,29.33,30.20,30.27,,,,,31.0961,0,29.3732,1,15421,,,,,0
2023-08-07,30.36,30.64,29.74,30.19,30.18,,,,,31.0961,0,29.3323,1,8878,,,,,0
2023-08-08,30.10,30.15,29.51,29.71,30.06,,,,,31.0961,0,29.3323,1,11131,,,,,0
2023-08-09,29.65,30.32,29.64,30.28,30.02,,,,,31.0961,0,29.3673,1,6988,,,,,0
2023-08-10,30.32,30.60,30.07,30.16,30.02,30.43,,,,31.0961,0,29.4015,1,8150,,,,,0
2023-08-11,30.13,30.41,30.10,30.31,30.03,30.42,,,,31.0961,0,29.4351,1,5274,,,,,0
2023-08-14,30.25,30.56,29.94,30.28,30.05,30.42,,,,31.0961,0,29.4680,1,10359,,,,,0
2023-08-15,30.04,30.52,30.04,30.43,30.08,30.38,,,,31.0961,0,29.5003,1,10053,,,,,0
2023-08-16,30.45,30.81,30.21,30.22,30.13,30.32,,,,31.0961,0,29.5319,1,8659,,,,,0
2023-08-17,30.30,30.57,30.21,30.25,30.20,30.27,,,,31.0961,0,29.5628,1,8587,,,,,0
2023-08-18,29.99,30.52,29.99,30.31,30.21,30.24,,,,31.0961,0,29.5932,1,6185,,,,,0
2023-08-21,30.33,30.59,30.08,30.21,30.22,30.20,,,,31.0961,0,29.6229,1,10513,,,,,0
2023-08-22,30.37,30.44,29.53,29.57,30.20,30.13,,,,31.0961,0,31.0804,0,4871,,,,,0
2023-08-23,29.62,30.13,29.49,30.10,30.18,30.10,,,,31.0961,0,31.0494,0,5813,,,,,0
2023-08-24,29.93,30.40,29.75,30.16,30.18,30.10,,,,31.0961,0,30.9869,0,6828,,,,,0
2023-08-25,30.20,30.49,29.96,30.25,30.18,30.11,,,,31.0961,0,30.9269,0,5709,,,,,0
2023-08-28,30.39,30.61,30.39,30.57,30.21,30.13,,,,31.0961,0,30.8692,0,7294,,,,,0
2023-08-29,30.54,30.93,30.53,30.79,30.24,30.16,,,,31.0961,0,29.4867,1,5775,,,,,0
2023-08-30,30.70,31.30,30.70,31.10,30.33,30.23,,,,29.3026,1,29.5156,1,6569,,0.0280,-0.1097,0.1376,0
2023-08-31,31.25,31.47,31.14,31.26,30.43,30.32,,,,29.6654,1,29.5869,1,11032,,0.0916,-0.0694,0.1610,0
2023-09-01,31.47,31.75,31.03,31.14,30.51,30.36,,,,29.7011,1,29.6996,1,10222,,0.1311,-0.0293,0.1604,0
2023-09-05,31.18,31.65,29.96,30.13,30.51,30.36,,,,29.7011,1,29.8639,1,20197,,0.0800,-0.0074,0.0875,0
2023-09-06,30.21,30.53,30.05,30.37,30.59,30.39,,,,29.7011,1,29.9589,1,9477,,0.0580,0.0056,0.0524,0
2023-09-07,30.20,30.49,29.88,30.24,30.60,30.39,,,,29.7011,1,31.7524,0,10276,,0.0299,0.0105,0.0194,0
2023-09-08,30.34,30.85,30.21,30.77,30.66,30.42,,,,29.7011,1,31.7150,0,7470,,0.0500,0.0184,0.0316,0
2023-09-11,30.87,31.19,30.80,31.02,30.74,30.46,,,,29.7011,1,31.6784,0,7838,,0.0849,0.0317,0.0532,0
2023-09-12,31.04,31.60,31.04,31.38,30.82,30.51,,,,29.7011,1,31.6424,0,5537,,0.1398,0.0533,0.0865,0
2023-09-13,31.38,31.41,30.92,31.03,30.84,30.54,,,,29.7011,1,31.6072,0,6064,,0.1535,0.0734,0.0801,0
2023-09-14,31.03,31.17,30.15,30.80,30.81,30.57,,,,29.7011,1,31.5975,0,9425,,0.1441,0.0875,0.0566,0
2023-09-15,30.73,30.87,30.36,30.39,30.73,30.58,,,,29.7011,1,31.5632,0,28381,,0.1022,0.0905,0.0118,0
2023-09-18,30.31,30.82,30.18,30.61,30.67,30.59,,,,29.7011,1,31.5295,0,5418,,0.0858,0.0895,-0.0037,0
2023-09-19,30.64,30.99,30.52,30.68,30.73,30.62,,,,29.7011,1,31.4966,0,6234,,0.0778,0.0872,-0.0094,0
2023-09-20,30.72,31.19,30.45,30.46,30.74,30.66,,,,29.7011,1,31.4643,0,7086,,0.0531,0.0804,-0.0273,0
2023-09-21,30.50,31.36,30.14,30.65,30.78,30.69,,,,29.7011,1,31.4326,0,10668,,0.0485,0.0740,-0.0255,0
2023-09-22,30.67,31.07,30.62,30.93,30.79,30.73,30.50,,,29.7011,1,31.4016,0,8878,9048,0.0663,0.0725,-0.0062,0
