Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,12.52,12.64,12.27,12.42,,,,,,,0,12.6389,0,18993,,,,,0
2023-07-14,12.30,12.34,11.68,11.71,,,,,,,0,12.6389,0,20529,,,,,0
2023-07-17,11.70,11.77,11.54,11.60,,,,,,,0,12.6389,0,13374,,,,,0
2023-07-18,11.64,12.13,11.62,12.07,,,,,,,0,12.5949,0,15422,,,,,0
2023-07-19,12.13,12.24,11.86,11.90,,,,,,,0,12.5527,0,18018,,,,,0
2023-07-20,12.08,12.12,11.83,12.08,,,,,,,0,12.5121,0,13462,,,,,0
2023-07-21,12.16,12.32,12.02,12.29,,,,,,,0,12.4731,0,16380,,,,,0
2023-07-24,12.38,12.68,12.35,12.55,,,,,,,0,11.5383,1,20110,,,,,0
2023-07-25,12.39,12.56,12.18,12.35,,,,,,,0,11.5611,1,18999,,,,,0
2023-07-26,12.25,12.47,12.14,12.43,12.14,,,,,13.4837,0,11.5833,1,10944,,,,,0
2023-07-27,12.56,12.56,12.09,12.10,12.11,,,,,13.4837,0,11.6052,1,12104,,,,,0
2023-07-28,12.16,12.52,12.07,12.46,12.18,,,,,13.4837,0,11.6266,1,12194,,,,,0
2023-07-31,12.63,12.88,12.63,12.77,12.30,,,,,13.4837,0,11.6476,1,15638,,,,,0
2023-08-01,12.61,12.65,12.33,12.58,12.35,,,,,13.4837,0,11.6968,1,14905,,,,,0
2023-08-02,12.45,12.45,12.02,12.27,12.39,,,,,13.4837,0,11.7440,1,24384,,,,,0
2023-08-03,12.51,13.19,12.38,12.89,12.47,,,,,13.4837,0,11.7893,1,31552,,,,,0
2023-08-04,13.01,13.46,12.99,13.12,12.55,,,,,13.4837,0,11.8733,1,21677,,,,,0
2023-08-07,13.09,13.20,12.77,12.88,12.58,,,,,13.4837,0,11.9999,1,17272,,,,,0
2023-08-08,12.57,13.02,12.46,13.01,12.65,,,,,13.4837,0,12.1163,1,14940,,,,,0
2023-08-09,13.52,14.17,13.48,13.76,12.78,12.46,,,,12.1618,1,12.2234,1,46293,,,,,0
2023-08-10,13.76,13.89,13.39,13.42,12.92,12.51,,,,12.1618,1,12.4182,1,23611,,,,,0
2023-08-11,13.44,13.70,13.44,13.57,13.03,12.60,,,,12.1618,1,12.5934,1,14326,,,,,0
2023-08-14,13.46,13.52,13.22,13.24,13.07,12.69,,,,12.1618,1,12.7511,1,13628,,,,,0
2023-08-15,13.08,13.13,12.88,12.95,13.11,12.73,,,,12.1618,1,14.1707,0,13518,,,,,0
2023-08-16,12.87,13.15,12.87,12.99,13.18,12.78,,,,12.1618,1,14.1448,0,20191,,,,,0
2023-08-17,13.28,13.49,13.01,13.05,13.20,12.83,,,,12.1618,1,14.0937,0,14816,,,,,0
2023-08-18,12.89,13.10,12.79,13.06,13.19,12.87,,,,12.1618,1,14.0447,0,13165,,,,,0
2023-08-21,13.23,13.29,12.93,12.98,13.20,12.89,,,,12.1618,1,13.9692,0,9949,,,,,0
2023-08-22,12.99,13.15,12.91,12.93,13.19,12.92,,,,12.1618,1,13.8982,0,6666,,,,,0
2023-08-23,12.67,12.79,12.15,12.58,13.08,12.93,,,,12.1618,1,13.8314,0,14967,,,,,0
2023-08-24,12.46,12.65,12.33,12.44,12.98,12.95,,,,12.1618,1,13.6971,0,11853,,,,,0
2023-08-25,12.51,12.73,12.47,12.64,12.89,12.96,,,,12.1618,1,13.5736,0,11691,,,,,0
2023-08-28,12.75,13.00,12.71,12.90,12.85,12.96,,,,12.1618,1,13.4599,0,8565,,,,,0
2023-08-29,12.93,13.28,12.81,13.27,12.88,13.00,,,,12.1618,1,13.3554,0,13830,,0.1726,0.2557,-0.0831,0
2023-08-30,13.32,13.47,13.24,13.28,12.91,13.05,,,,12.1618,1,12.1528,1,10776,,0.1897,0.2425,-0.0528,0
2023-08-31,13.34,13.44,13.16,13.35,12.94,13.07,,,,12.1618,1,12.1792,1,9478,,0.2060,0.2352,-0.0292,0
2023-09-01,13.57,13.90,13.51,13.80,13.02,13.10,,,,12.4691,1,12.2051,1,14145,,0.2531,0.2388,0.0143,0
2023-09-05,13.91,14.12,13.78,13.84,13.10,13.15,,,,12.7296,1,12.2731,1,22638,,0.2900,0.2490,0.0410,0
2023-09-06,13.86,14.04,13.60,13.71,13.18,13.19,,,,12.7296,1,12.3837,1,17684,,0.3053,0.2603,0.0451,0
2023-09-07,13.57,13.69,13.35,13.36,13.26,13.17,,,,12.7296,1,12.4876,1,13141,,0.2861,0.2654,0.0207,0
2023-09-08,13.55,13.79,13.44,13.62,13.38,13.18,,,,12.7296,1,12.5853,1,19725,,0.2883,0.2700,0.0182,0
