Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,7.88,7.88,7.79,7.80,,,,,,,0,7.8848,0,49457,,,,,0
2023-07-18,7.65,7.76,7.65,7.71,,,,,,,0,7.8848,0,54267,,,,,0
2023-07-19,7.81,7.89,7.80,7.84,,,,,,,0,7.6546,1,56098,,,,,0
2023-07-20,7.88,7.93,7.83,7.84,,,,,,,0,7.6546,1,38246,,,,,0
2023-07-21,7.85,7.86,7.77,7.81,,,,,,,0,7.6655,1,35906,,,,,0
2023-07-24,8.06,8.16,8.02,8.08,,,,,,,0,7.6759,1,85543,,,,,0
2023-07-25,8.09,8.09,8.00,8.05,,,,,,,0,7.7047,1,53690,,,,,0
2023-07-26,8.12,8.32,8.10,8.25,,,,,,,0,7.7318,1,91574,,,,,0
2023-07-27,8.16,8.16,7.97,7.98,,,,,,,0,7.7789,1,48846,,,,,0
2023-07-28,8.03,8.09,8.02,8.02,7.94,,,,,8.5664,0,7.8222,1,54908,,,,,0
2023-07-31,7.96,8.02,7.89,7.91,7.95,,,,,8.4535,0,7.8621,1,42599,,,,,0
2023-08-01,7.84,7.88,7.78,7.79,7.96,,,,,8.3156,0,8.3206,0,32707,,,,,0
2023-08-02,7.88,7.88,7.75,7.75,7.95,,,,,8.2964,0,8.3097,0,66301,,,,,0
2023-08-03,7.60,7.65,7.57,7.61,7.93,,,,,8.0970,0,8.2872,0,39865,,,,,0
2023-08-04,7.66,7.79,7.65,7.71,7.92,,,,,8.0970,0,8.2443,0,54903,,,,,0
2023-08-07,7.71,7.71,7.65,7.70,7.88,,,,,8.0970,0,8.2040,0,41520,,,,,0
2023-08-08,7.58,7.63,7.55,7.63,7.84,,,,,8.0529,0,8.1661,0,32719,,,,,0
2023-08-09,7.59,7.67,7.58,7.65,7.78,,,,,8.0529,0,8.1166,0,39913,,,,,0
2023-08-10,7.70,7.75,7.68,7.69,7.75,,,,,8.0529,0,8.0711,0,40025,,,,,0
2023-08-11,7.68,7.71,7.65,7.67,7.71,7.82,,,,8.0529,0,8.0292,0,32252,,,,,0
2023-08-14,7.58,7.64,7.55,7.60,7.68,7.81,,,,7.9957,0,7.9907,0,42752,,,,,0
2023-08-15,7.51,7.55,7.47,7.49,7.65,7.80,,,,7.9102,0,7.9553,0,41755,,,,,0
2023-08-16,7.45,7.51,7.45,7.47,7.62,7.78,,,,7.8612,0,7.9071,0,30315,,,,,0
2023-08-17,7.49,7.53,7.46,7.51,7.61,7.77,,,,7.8578,0,7.8521,0,44487,,,,,0
2023-08-18,7.45,7.52,7.45,7.49,7.59,7.75,,,,7.8354,0,7.8038,0,44856,,,,,0
2023-08-21,7.51,7.51,7.44,7.48,7.57,7.72,,,,7.8145,0,7.7541,0,34756,,,,,0
2023-08-22,7.53,7.53,7.44,7.44,7.55,7.69,,,,7.8145,0,7.7040,0,33637,,,,,0
2023-08-23,7.43,7.58,7.42,7.56,7.54,7.66,,,,7.8145,0,7.6566,0,41644,,,,,0
2023-08-24,7.50,7.57,7.47,7.48,7.52,7.63,,,,7.8145,0,7.6102,0,36161,,,,,0
2023-08-25,7.49,7.51,7.40,7.44,7.50,7.60,,,,7.7905,0,7.5806,0,38296,,,,,0
2023-08-28,7.49,7.55,7.48,7.50,7.49,7.58,,,,7.7905,0,7.5724,0,28360,,,,,0
2023-08-29,7.58,7.65,7.56,7.63,7.50,7.58,,,,7.7905,0,7.3997,1,36050,,,,,0
2023-08-30,7.72,7.77,7.70,7.70,7.52,7.57,,,,7.7905,0,7.4047,1,30226,,,,,0
2023-08-31,7.77,7.78,7.65,7.66,7.54,7.57,,,,7.7905,0,7.4193,1,42979,,-0.0832,-0.1342,0.0511,0
2023-09-01,7.73,7.75,7.65,7.65,7.55,7.57,,,,7.7905,0,7.4408,1,32411,,-0.0712,-0.1216,0.0504,0
2023-09-05,7.67,7.71,7.61,7.70,7.58,7.57,,,,7.7905,0,7.4610,1,46126,,-0.0578,-0.1089,0.0511,0
2023-09-06,7.61,7.63,7.53,7.57,7.59,7.57,,,,7.7905,0,7.4800,1,48332,,-0.0564,-0.0984,0.0419,0
2023-09-07,7.57,7.63,7.57,7.58,7.59,7.57,,,,7.7905,0,7.4979,1,28368,,-0.0541,-0.0895,0.0354,0
2023-09-08,7.56,7.59,7.53,7.57,7.60,7.56,,,,7.7905,0,7.5147,1,25452,,-0.0523,-0.0821,0.0298,0
2023-09-11,7.65,7.88,7.65,7.82,7.64,7.57,,,,7.3831,1,7.5305,1,49420,,-0.0306,-0.0718,0.0412,0
2023-09-12,8.00,8.03,7.93,8.02,7.69,7.59,,,,7.5751,1,7.5313,1,52534,,0.0025,-0.0569,0.0594,0
2023-09-13,8.12,8.15,8.07,8.11,7.74,7.62,,,,7.7039,1,7.5814,1,70572,,0.0356,-0.0384,0.0740,0
2023-09-14,8.18,8.24,8.16,8.20,7.79,7.66,,,,7.7915,1,7.6494,1,41473,,0.0684,-0.0171,0.0854,0
2023-09-15,8.19,8.25,8.16,8.18,7.84,7.69,,,,7.8173,1,7.7319,1,86400,,0.0919,0.0047,0.0872,0
2023-09-18,8.18,8.19,8.10,8.14,7.89,7.72,,,,7.8173,1,7.8156,1,30931,,0.1061,0.0250,0.0811,0
2023-09-19,8.20,8.25,8.17,8.25,7.94,7.76,,,,7.8353,1,7.8858,1,31852,,0.1244,0.0449,0.0796,0
2023-09-20,8.35,8.38,8.28,8.28,8.01,7.80,,,,7.9525,1,7.9449,1,40636,,0.1401,0.0639,0.0761,0
2023-09-21,8.21,8.27,8.19,8.21,8.08,7.83,,,,7.9525,1,8.0229,1,45362,,0.1448,0.0801,0.0647,0
2023-09-22,8.30,8.30,8.21,8.23,8.14,7.87,,,,7.9525,1,8.0868,1,42604,,0.1488,0.0938,0.0550,0
2023-09-25,8.09,8.13,7.99,8.12,8.17,7.90,7.79,,,7.9525,1,8.3782,0,59478,44991,0.1411,0.1033,0.0378,0
2023-09-26,8.13,8.17,8.09,8.11,8.18,7.94,7.80,,,7.9525,1,8.3704,0,50060,45003,0.1328,0.1092,0.0236,0
2023-09-27,8.02,8.03,7.95,8.01,8.17,7.95,7.80,,,7.9525,1,8.3629,0,43073,44779,0.1169,0.1107,0.0062,0
2023-09-28,7.93,7.97,7.84,7.85,8.14,7.96,7.80,,,8.3045,0,8.3464,0,61775,44893,0.0906,0.1067,-0.0161,0
2023-09-29,7.80,7.87,7.75,7.79,8.10,7.97,7.80,,,8.2045,0,8.3162,0,55558,45239,0.0645,0.0983,-0.0338,0
2023-10-02,7.84,7.85,7.70,7.73,8.06,7.97,7.80,,,8.1750,0,8.2712,0,51123,45544,0.0380,0.0862,-0.0483,0
2023-10-03,7.67,7.68,7.59,7.61,7.99,7.97,7.79,,,8.0371,0,8.2136,0,46841,44770,0.0069,0.0703,-0.0634,0
2023-10-04,7.67,7.68,7.55,7.61,7.93,7.97,7.78,,,8.0157,0,8.1387,0,43835,44572,-0.0168,0.0529,-0.0697,0
2023-10-05,7.60,7.76,7.60,7.75,7.88,7.98,7.77,,,8.0157,0,8.0559,0,42819,43597,-0.0241,0.0375,-0.0616,0
2023-10-06,7.57,7.68,7.47,7.66,7.82,7.98,7.77,,,8.0157,0,7.9848,0,46649,43553,-0.0367,0.0227,-0.0594,0
2023-10-09,7.66,7.79,7.65,7.79,7.79,7.98,7.76,,,8.0157,0,7.9030,0,44383,43343,-0.0357,0.0110,-0.0467,0
2023-10-10,7.89,7.93,7.87,7.92,7.77,7.98,7.76,,,8.0157,0,7.4737,1,45399,43399,-0.0246,0.0039,-0.0285,0
2023-10-11,7.94,7.99,7.90,7.96,7.77,7.97,7.77,,,8.0157,0,7.4829,1,35180,43448,-0.0124,0.0006,-0.0130,0
2023-10-12,7.93,7.93,7.84,7.88,7.77,7.95,7.77,,,8.0157,0,7.5033,1,46771,43058,-0.0093,-0.0014,-0.0079,0
2023-10-13,7.84,7.88,7.75,7.76,7.77,7.93,7.77,,,8.0157,0,7.5228,1,34845,42957,-0.0159,-0.0043,-0.0116,0
2023-10-16,7.89,7.92,7.78,7.91,7.79,7.92,7.77,,,8.0157,0,7.5416,1,35512,42570,-0.0091,-0.0052,-0.0038,0
2023-10-17,7.85,7.89,7.82,7.84,7.81,7.90,7.78,,,8.0157,0,7.5596,1,32375,42387,-0.0095,-0.0061,-0.0034,0
2023-10-18,7.89,7.91,7.79,7.79,7.83,7.88,7.78,,,8.0157,0,7.5769,1,43265,42598,-0.0131,-0.0075,-0.0056,0
2023-10-19,7.76,7.77,7.65,7.68,7.82,7.85,7.78,,,8.0157,0,7.5935,1,60166,43003,-0.0249,-0.0110,-0.0139,0
2023-10-20,7.67,7.70,7.61,7.61,7.81,7.82,7.78,,,8.0157,0,7.9917,0,37822,42959,-0.0391,-0.0166,-0.0225,0
2023-10-23,7.57,7.61,7.51,7.52,7.79,7.79,7.78,,,7.9449,0,7.9840,0,41049,43134,-0.0570,-0.0247,-0.0323,0
2023-10-24,7.61,7.65,7.58,7.61,7.76,7.76,7.78,,,7.9449,0,7.9649,0,45114,43182,-0.0638,-0.0325,-0.0313,0
2023-10-25,7.50,7.51,7.42,7.43,7.70,7.74,7.78,,,7.8672,0,7.9466,0,51160,43370,-0.0822,-0.0424,-0.0398,0
2023-10-26,7.53,7.56,7.47,7.55,7.67,7.72,7.78,,,7.8672,0,7.9147,0,75707,44278,-0.0865,-0.0512,-0.0352,0
2023-10-27,7.69,7.69,7.56,7.57,7.65,7.71,7.78,,,7.8672,0,7.8848,0,38906,44166,-0.0869,-0.0584,-0.0285,0
2023-10-30,7.69,7.75,7.66,7.71,7.63,7.71,7.78,,,7.8672,0,7.8567,0,36954,44008,-0.0751,-0.0617,-0.0134,0
2023-10-31,7.61,7.65,7.57,7.60,7.61,7.71,7.79,,,7.8672,0,7.8303,0,31957,43952,-0.0741,-0.0642,-0.0099,0
2023-11-01,7.60,7.61,7.52,7.56,7.58,7.71,7.79,,,7.8672,0,7.8054,0,34923,43978,-0.0752,-0.0664,-0.0088,0
2023-11-02,7.75,7.84,7.74,7.84,7.60,7.71,7.79,,,7.8672,0,7.4162,1,43428,44013,-0.0528,-0.0637,0.0108,0
2023-11-03,7.93,8.06,7.93,8.02,7.64,7.73,7.80,,,7.5290,1,7.4247,1,50724,44305,-0.0210,-0.0551,0.0342,0
2023-11-06,8.07,8.08,8.02,8.02,7.69,7.74,7.82,,,7.6172,1,7.4500,1,35802,44255,0.0049,-0.0431,0.0480,0
2023-11-07,7.99,7.99,7.90,7.90,7.72,7.74,7.82,,,7.6172,1,7.4880,1,35298,44394,0.0153,-0.0314,0.0467,0
2023-11-08,7.80,7.85,7.78,7.81,7.76,7.73,7.83,,,7.6172,1,7.5236,1,38881,44450,0.0160,-0.0220,0.0380,0
2023-11-09,7.84,7.89,7.81,7.81,7.79,7.73,7.83,,,7.6172,1,7.5571,1,39864,44643,0.0164,-0.0143,0.0307,0
2023-11-10,7.79,7.80,7.69,7.79,7.81,7.73,7.83,,,7.6172,1,7.5886,1,54392,44871,0.0152,-0.0084,0.0236,0
2023-11-13,7.84,7.88,7.78,7.83,7.82,7.73,7.84,,,7.6172,1,7.6183,1,81479,45853,0.0167,-0.0034,0.0201,0
2023-11-14,7.72,7.73,7.49,7.50,7.81,7.71,7.83,,,8.0653,0,8.0822,0,99424,46919,-0.0085,-0.0044,-0.0041,0
2023-11-15,7.47,7.54,7.46,7.52,7.81,7.69,7.83,,,7.9333,0,8.0703,0,86317,47678,-0.0262,-0.0087,-0.0175,0
2023-11-16,7.61,7.66,7.53,7.54,7.77,7.69,7.83,,,7.9333,0,8.0458,0,62344,48358,-0.0385,-0.0147,-0.0238,0
2023-11-17,7.69,7.75,7.66,7.70,7.74,7.69,7.83,,,7.9333,0,8.0223,0,58442,49018,-0.0345,-0.0187,-0.0159,0
2023-11-20,7.67,7.75,7.66,7.74,7.71,7.70,7.83,,,7.9333,0,7.9997,0,44106,48911,-0.0284,-0.0206,-0.0078,0
2023-11-21,7.70,7.72,7.63,7.67,7.69,7.71,7.82,,,7.9333,0,7.9780,0,54593,48952,-0.0285,-0.0222,-0.0063,0
2023-11-22,7.74,7.78,7.67,7.72,7.68,7.72,7.82,,,7.9333,0,7.9571,0,92811,49397,-0.0241,-0.0226,-0.0015,0
2023-11-24,7.89,7.92,7.87,7.91,7.69,7.74,7.81,,,7.9333,0,7.9371,0,39911,49366,-0.0051,-0.0191,0.0139,0
2023-11-27,7.84,7.86,7.78,7.85,7.70,7.75,7.80,,,7.9333,0,7.9233,0,86973,49377,0.0042,-0.0144,0.0187,0
2023-11-28,7.75,7.89,7.74,7.85,7.70,7.76,7.80,,,7.9333,0,7.9233,0,107690,50913,0.0116,-0.0092,0.0208,0
2023-11-29,7.78,7.91,7.78,7.82,7.73,7.77,7.79,,,7.9333,0,7.4573,1,78160,51839,0.0151,-0.0044,0.0194,0
2023-11-30,7.88,7.91,7.82,7.85,7.77,7.79,7.78,,,7.9333,0,7.4663,1,64090,52308,0.0204,0.0006,0.0198,0
2023-12-01,7.83,8.02,7.83,7.99,7.81,7.79,7.78,,,7.4990,1,7.4842,1,79995,53001,0.0354,0.0076,0.0279,0
2023-12-04,7.85,7.91,7.84,7.84,7.82,7.78,7.77,,,7.4990,1,7.5163,1,55362,53256,0.0344,0.0129,0.0214,0
2023-12-05,7.88,7.90,7.83,7.83,7.83,7.77,7.76,,,7.4990,1,7.5464,1,47289,53012,0.0324,0.0168,0.0156,0
2023-12-06,7.91,7.94,7.84,7.84,7.85,7.77,7.76,,,7.4990,1,7.5748,1,52273,53056,0.0312,0.0197,0.0115,0
2023-12-07,7.72,7.72,7.63,7.66,7.84,7.76,7.75,,,7.4990,1,7.6014,1,80648,53808,0.0161,0.0190,-0.0029,0
2023-12-08,7.63,7.65,7.56,7.57,7.81,7.75,7.75,,,7.4990,1,8.0187,0,52696,53626,-0.0035,0.0145,-0.0180,0
2023-12-11,7.54,7.55,7.44,7.45,7.77,7.73,7.74,,,7.9033,0,8.0095,0,70747,53930,-0.0285,0.0059,-0.0344,0
2023-12-12,7.39,7.40,7.25,7.26,7.71,7.71,7.73,,,7.7532,0,7.9866,0,90051,54708,-0.0630,-0.0079,-0.0551,0
2023-12-13,7.13,7.25,7.03,7.24,7.65,7.69,7.72,,,7.5916,0,7.9423,0,85872,55489,-0.0907,-0.0245,-0.0663,0
2023-12-14,7.36,7.47,7.33,7.33,7.60,7.68,7.72,,,7.5916,0,7.8693,0,100378,56620,-0.1045,-0.0405,-0.0640,0
