Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,68.05,68.78,67.77,68.53,,,,,,,0,67.7686,1,72268,,,,,0
2023-07-14,68.97,68.97,67.45,67.88,,,,,,,0,68.9715,0,31244,,,,,0
2023-07-17,67.96,68.98,67.96,68.61,,,,,,,0,67.4540,1,48628,,,,,0
2023-07-18,68.80,69.71,68.80,69.34,,,,,,,0,67.4540,1,40258,,,,,0
2023-07-19,69.29,69.61,68.27,68.44,,,,,,,0,67.5443,1,61691,,,,,0
2023-07-20,68.47,69.10,68.28,68.94,,,,,,,0,67.6310,1,54735,,,,,0
2023-07-21,69.04,69.18,68.21,68.80,,,,,,,0,67.7143,1,67703,,,,,0
2023-07-24,69.03,70.17,69.03,69.92,,,,,,,0,67.7942,1,49084,,,,,0
2023-07-25,69.82,70.41,69.51,70.19,,,,,,,0,67.9364,1,53459,,,,,0
2023-07-26,70.22,71.13,70.22,70.83,69.15,,,,,73.9940,0,68.1340,1,43855,,,,,0
2023-07-27,71.25,71.25,69.88,70.05,69.30,,,,,73.9618,0,68.4333,1,48053,,,,,0
2023-07-28,71.17,71.17,68.42,69.07,69.42,,,,,73.6811,0,71.2477,0,80002,,,,,0
2023-07-31,69.17,69.82,68.32,68.71,69.43,,,,,73.0205,0,71.2477,0,68587,,,,,0
2023-08-01,68.31,68.86,67.81,68.84,69.38,,,,,72.2038,0,71.1737,0,86862,,,,,0
2023-08-02,68.73,69.55,66.34,67.50,69.29,,,,,72.2038,0,70.9722,0,85527,,,,,0
2023-08-03,67.23,68.22,66.91,67.91,69.18,,,,,71.9577,0,70.6019,0,67812,,,,,0
2023-08-04,67.79,68.47,66.93,67.07,69.01,,,,,71.9577,0,70.2612,0,53034,,,,,0
2023-08-07,67.41,68.39,67.23,68.19,68.84,,,,,71.9577,0,69.9478,0,41849,,,,,0
2023-08-08,66.82,67.55,65.96,67.44,68.56,,,,,71.3567,0,69.6595,0,42247,,,,,0
2023-08-09,67.16,67.49,66.53,66.81,68.16,68.65,,,,71.3567,0,69.2900,0,31566,,,,,0
2023-08-10,67.13,67.58,66.58,66.70,67.82,68.56,,,,71.3567,0,68.9574,0,47226,,,,,0
2023-08-11,66.41,67.39,66.40,67.35,67.65,68.54,,,,71.0492,0,68.6581,0,29582,,,,,0
2023-08-14,67.32,67.59,66.72,67.14,67.49,68.46,,,,71.0492,0,68.3887,0,34415,,,,,0
2023-08-15,66.37,66.82,66.09,66.25,67.24,68.31,,,,70.3734,0,68.1463,0,28354,,,,,0
2023-08-16,66.09,66.41,65.61,65.64,67.05,68.17,,,,69.7719,0,67.9281,0,35321,,,,,0
2023-08-17,65.93,66.02,64.50,64.90,66.75,67.97,,,,69.1015,0,67.6502,0,32685,,,,,0
2023-08-18,64.43,65.23,64.22,65.01,66.54,67.78,,,,68.4880,0,67.2095,0,42437,,,,,0
2023-08-21,65.11,65.30,64.33,64.94,66.22,67.53,,,,68.4869,0,66.7320,0,38367,,,,,0
2023-08-22,65.14,65.24,63.90,63.94,65.87,67.21,,,,68.2813,0,66.3308,0,25926,,,,,0
2023-08-23,64.16,64.84,63.93,64.82,65.67,66.91,,,,67.9927,0,65.8934,0,23229,,,,,0
2023-08-24,64.88,65.88,64.80,65.51,65.55,66.69,,,,67.9927,0,63.9009,1,32405,,,,,0
2023-08-25,65.90,66.41,65.07,65.73,65.39,66.52,,,,67.9927,0,63.9287,1,31138,,,,,0
2023-08-28,65.86,66.72,65.81,66.21,65.29,66.39,,,,67.9927,0,64.0280,1,24981,,,,,0
2023-08-29,66.18,66.80,65.86,66.43,65.31,66.27,,,,67.9927,0,64.1896,1,36894,,-0.9881,-1.2932,0.3051,0
2023-08-30,66.45,66.74,65.67,65.93,65.34,66.20,,,,67.9927,0,64.3980,1,67577,,-0.9122,-1.2170,0.3048,0
2023-08-31,66.25,66.27,64.63,64.84,65.34,66.04,,,,67.9927,0,64.5898,1,74133,,-0.9292,-1.1594,0.2302,0
2023-09-01,65.19,65.50,64.77,65.18,65.35,65.95,,,,67.9927,0,64.6269,1,57461,,-0.9053,-1.1086,0.2034,0
2023-09-05,64.65,64.79,62.63,63.17,65.18,65.70,,,,67.5891,0,66.7951,0,101399,,-1.0365,-1.0942,0.0577,0
2023-09-06,62.78,63.69,62.78,63.05,65.09,65.48,,,,66.9975,0,66.7117,0,42438,,-1.1364,-1.1026,-0.0338,0
2023-09-07,62.74,63.17,62.40,62.56,64.86,65.27,,,,66.3989,0,66.6300,0,72602,,-1.2411,-1.1303,-0.1108,0
2023-09-08,62.64,63.40,62.39,63.07,64.62,65.08,,,,66.3989,0,66.4609,0,34059,,-1.2681,-1.1579,-0.1102,0
2023-09-11,63.42,63.87,63.37,63.53,64.40,64.89,,,,66.3989,0,66.2169,0,34722,,-1.2385,-1.1740,-0.0645,0
