Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,212.60,213.50,211.05,211.47,,,,,,,0,213.5048,0,63990,,,,,0
2023-07-18,210.79,212.11,209.56,211.62,,,,,,,0,213.5048,0,85904,,,,,0
2023-07-19,212.97,213.93,209.73,211.18,,,,,,,0,209.5565,1,115847,,,,,0
2023-07-20,210.64,212.15,209.07,209.79,,,,,,,0,213.9272,0,100285,,,,,0
2023-07-21,210.59,211.36,209.60,210.08,,,,,,,0,213.9272,0,100122,,,,,0
2023-07-24,210.78,211.57,207.97,208.10,,,,,,,0,213.8299,0,82400,,,,,0
2023-07-25,207.65,208.76,207.01,207.29,,,,,,,0,213.5953,0,109176,,,,,0
2023-07-26,207.12,208.17,205.91,207.08,,,,,,,0,213.2004,0,137847,,,,,0
2023-07-27,209.35,209.85,205.08,205.72,,,,,,,0,212.6174,0,118255,,,,,0
2023-07-28,204.61,210.64,202.29,204.57,208.69,,,,,216.8992,0,211.8634,0,136069,,,,,0
2023-07-31,204.51,207.32,204.51,207.19,208.26,,,,,216.1482,0,210.7144,0,109209,,,,,0
2023-08-01,205.86,208.62,205.12,207.63,207.86,,,,,216.1482,0,210.6369,0,112634,,,,,0
2023-08-02,205.85,205.85,202.96,204.18,207.16,,,,,215.0451,0,209.6351,0,101554,,,,,0
2023-08-03,204.32,204.86,203.47,204.42,206.63,,,,,214.1589,0,208.7535,0,87394,,,,,0
2023-08-04,206.43,206.43,201.23,201.45,205.76,,,,,214.1589,0,207.9776,0,91069,,,,,0
2023-08-07,201.07,203.36,201.07,201.59,205.11,,,,,212.4023,0,207.0326,0,102112,,,,,0
2023-08-08,201.27,201.58,198.70,199.59,204.34,,,,,210.1775,0,206.4332,0,87380,,,,,0
2023-08-09,200.25,202.35,199.69,200.96,203.73,,,,,210.1775,0,205.0418,0,75174,,,,,0
2023-08-10,202.17,203.30,199.62,200.33,203.19,,,,,210.1775,0,203.9009,0,79304,,,,,0
2023-08-11,200.03,203.07,199.46,202.29,202.96,205.83,,,,210.1775,0,203.3000,0,70315,,,,,0
2023-08-14,202.77,204.59,201.77,204.55,202.70,205.48,,,,210.1775,0,198.7035,1,68601,,,,,0
2023-08-15,204.25,205.78,201.85,202.46,202.18,205.02,,,,210.1775,0,198.8211,1,79669,,,,,0
2023-08-16,201.77,204.01,201.03,201.22,201.89,204.52,,,,210.1775,0,199.0993,1,64821,,,,,0
2023-08-17,201.05,201.79,197.49,197.52,201.20,203.91,,,,209.9054,0,205.7751,0,87503,,,,,0
2023-08-18,196.52,198.98,196.52,197.75,200.83,203.29,,,,207.7294,0,205.6093,0,61409,,,,,0
2023-08-21,197.52,199.19,197.21,198.33,200.50,202.81,,,,207.7294,0,205.2459,0,44828,,,,,0
2023-08-22,198.44,200.71,198.44,199.37,200.48,202.41,,,,207.7294,0,204.8969,0,58177,,,,,0
2023-08-23,200.09,202.97,200.09,201.53,200.54,202.13,,,,207.7294,0,204.5620,0,66153,,,,,0
2023-08-24,202.22,202.87,198.92,198.96,200.40,201.79,,,,207.7294,0,204.2404,0,62311,,,,,0
2023-08-25,199.72,202.36,199.07,202.07,200.38,201.67,,,,207.7294,0,203.9317,0,77132,,,,,0
2023-08-28,202.36,204.22,202.07,202.85,200.21,201.45,,,,207.7294,0,196.5230,1,53987,,,,,0
2023-08-29,202.76,203.75,202.17,203.65,200.33,201.25,,,,207.7294,0,196.6770,1,58141,,,,,0
2023-08-30,203.65,205.80,203.56,205.39,200.74,201.31,,,,207.7294,0,196.8280,1,60122,,,,,0
