Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-09-27,19.97,19.97,18.99,18.99,,,,,,,0,19.9727,0,3053,,,,,0
2023-09-28,19.00,19.23,18.93,19.23,,,,,,,0,19.9727,0,3374,,,,,0
2023-09-29,19.23,19.33,18.94,19.04,,,,,,,0,19.9727,0,4217,,,,,0
2023-10-02,18.94,19.05,15.78,16.78,,,,,,,0,19.9518,0,183104,,,,,0
2023-10-03,16.78,17.11,15.67,16.37,,,,,,,0,19.7849,0,95626,,,,,0
2023-10-04,16.58,16.58,15.66,16.02,,,,,,,0,19.5382,0,59231,,,,,0
2023-10-05,15.44,15.68,14.75,15.44,,,,,,,0,19.2281,0,91152,,,,,0
2023-10-06,14.94,15.53,14.14,15.15,,,,,,,0,18.7798,0,78808,,,,,0
2023-10-09,14.90,15.09,14.35,14.79,,,,,,,0,18.2229,0,47235,,,,,0
2023-10-10,14.75,16.29,14.40,15.99,16.78,,,,,19.1476,0,17.7328,0,68526,,,,,0
2023-10-11,15.91,16.13,15.05,15.19,16.40,,,,,19.1476,0,17.3015,0,54190,,,,,0
2023-10-12,14.99,15.59,14.30,14.53,15.93,,,,,18.7039,0,16.9220,0,52809,,,,,0
2023-10-13,14.52,14.74,14.04,14.30,15.46,,,,,17.9762,0,16.5880,0,32228,,,,,0
2023-10-16,14.55,15.66,14.55,15.44,15.32,,,,,17.9762,0,16.2306,0,37227,,,,,0
2023-10-17,15.35,15.73,15.31,15.67,15.25,,,,,17.9762,0,15.9232,0,38667,,,,,0
2023-10-18,15.54,15.70,14.76,14.79,15.13,,,,,17.9762,0,15.7316,0,24896,,,,,0
2023-10-19,14.79,14.94,14.10,14.10,15.00,,,,,17.7846,0,15.7316,0,23645,,,,,0
2023-10-20,14.29,14.40,13.64,14.31,14.91,,,,,17.1833,0,15.7020,0,30512,,,,,0
