Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,8.74,8.99,8.69,8.88,,,,,,,0,8.6864,1,83808,,,,,0
2023-07-19,8.97,9.17,8.94,9.10,,,,,,,0,8.6864,1,85663,,,,,0
2023-07-20,9.21,9.27,9.10,9.13,,,,,,,0,8.6864,1,70477,,,,,0
2023-07-21,9.15,9.20,9.06,9.14,,,,,,,0,8.7097,1,51098,,,,,0
2023-07-24,9.12,9.36,9.11,9.26,,,,,,,0,8.7322,1,71057,,,,,0
2023-07-25,9.20,9.24,9.03,9.08,,,,,,,0,8.7697,1,81822,,,,,0
2023-07-26,9.10,9.22,9.04,9.14,,,,,,,0,8.8050,1,71077,,,,,0
2023-07-27,9.12,9.17,8.97,9.01,,,,,,,0,8.8382,1,65913,,,,,0
2023-07-28,9.11,9.11,9.00,9.07,,,,,,,0,8.8694,1,83256,,,,,0
2023-07-31,9.10,9.20,9.04,9.18,9.10,,,,,9.7347,0,8.8987,1,221116,,,,,0
2023-08-01,9.17,9.19,8.85,8.91,9.10,,,,,9.6752,0,9.3579,0,121105,,,,,0
2023-08-02,8.87,9.14,8.83,9.10,9.10,,,,,9.6666,0,9.3478,0,87222,,,,,0
2023-08-03,9.10,9.14,8.98,9.11,9.10,,,,,9.6666,0,9.3272,0,71561,,,,,0
2023-08-04,9.12,9.27,9.06,9.24,9.11,,,,,9.6666,0,9.3075,0,134975,,,,,0
2023-08-07,9.46,10.01,9.46,9.59,9.14,,,,,9.6666,0,8.8346,1,244888,,,,,0
2023-08-08,9.57,9.75,9.39,9.72,9.21,,,,,8.9145,1,8.8582,1,109742,,,,,0
2023-08-09,9.72,10.01,9.71,9.82,9.28,,,,,9.0048,1,8.8812,1,115038,,,,,0
2023-08-10,9.88,9.97,9.70,9.73,9.35,,,,,9.0048,1,8.9265,1,65193,,,,,0
