Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,110.74,111.68,110.28,110.73,,,,,,,0,110.2819,1,108765,,,,,0
2023-07-20,111.32,111.94,110.49,110.93,,,,,,,0,110.2819,1,103602,,,,,0
2023-07-21,110.68,111.47,110.19,111.05,,,,,,,0,111.9444,0,111953,,,,,0
2023-07-24,111.46,112.14,110.76,111.40,,,,,,,0,110.1934,1,128290,,,,,0
2023-07-25,109.96,111.97,109.36,111.74,,,,,,,0,112.1411,0,136058,,,,,0
2023-07-26,111.44,111.94,110.87,111.20,,,,,,,0,112.1411,0,125169,,,,,0
2023-07-27,111.74,116.93,110.24,115.51,,,,,,,0,109.3572,1,230542,,,,,0
2023-07-28,116.65,116.81,115.32,116.65,,,,,,,0,109.5087,1,158494,,,,,0
2023-07-31,116.28,117.47,116.01,116.51,,,,,,,0,109.6572,1,139357,,,,,0
2023-08-01,116.43,117.75,116.26,117.25,113.30,,,,,123.1054,0,109.9698,1,140179,,,,,0
2023-08-02,116.71,117.34,115.44,115.58,113.78,,,,,122.4452,0,110.4365,1,106808,,,,,0
2023-08-03,114.55,115.84,113.93,114.64,114.15,,,,,120.9116,0,110.8752,1,113032,,,,,0
2023-08-04,115.17,115.17,112.59,112.83,114.33,,,,,120.0789,0,111.2876,1,97254,,,,,0
2023-08-07,113.49,114.22,113.43,113.76,114.57,,,,,119.8163,0,111.6752,1,68476,,,,,0
2023-08-08,112.63,113.22,111.29,112.88,114.68,,,,,118.3917,0,117.7482,0,81805,,,,,0
2023-08-09,112.84,113.18,111.63,112.33,114.79,,,,,118.3917,0,117.6189,0,77432,,,,,0
2023-08-10,112.60,113.17,111.59,112.01,114.44,,,,,118.2482,0,117.4922,0,49625,,,,,0
2023-08-11,111.89,112.87,111.70,112.50,114.03,,,,,117.9153,0,117.3681,0,57529,,,,,0
2023-08-14,112.30,112.64,111.63,112.44,113.62,,,,,117.5088,0,117.2464,0,57088,,,,,0
2023-08-15,111.84,111.84,110.52,110.91,112.99,113.14,,,,116.5874,0,117.1272,0,80461,,,,,0
2023-08-16,111.19,111.75,110.14,110.18,112.45,113.11,,,,116.2964,0,116.8628,0,61165,,,,,0
2023-08-17,110.66,111.23,109.64,109.90,111.97,113.06,,,,115.7327,0,116.4595,0,76363,,,,,0
2023-08-18,108.99,110.25,108.94,109.70,111.66,113.00,,,,114.7539,0,115.9138,0,76208,,,,,0
2023-08-21,109.88,109.96,108.71,109.78,111.26,112.91,,,,114.3572,0,115.2164,0,43435,,,,,0
2023-08-22,109.76,110.30,109.16,109.24,110.90,112.79,,,,114.3572,0,114.4360,0,36147,,,,,0
2023-08-23,109.57,110.75,109.09,110.57,110.72,112.76,,,,114.3572,0,113.7492,0,34713,,,,,0
2023-08-24,110.34,111.06,109.35,109.37,110.46,112.45,,,,114.3572,0,113.1449,0,39279,,,,,0
2023-08-25,110.15,110.63,109.27,110.06,110.21,112.12,,,,114.3572,0,112.6130,0,31639,,,,,0
2023-08-28,110.55,111.28,110.13,110.57,110.03,111.82,,,,114.3572,0,112.1450,0,56070,,,,,0
2023-08-29,110.16,111.22,109.54,110.94,110.03,111.51,,,,114.3572,0,111.7332,0,94682,,,,,0
2023-08-30,111.32,111.80,110.75,111.56,110.17,111.31,,,,114.3572,0,108.7129,1,86866,,,,,0
2023-08-31,111.63,111.90,110.68,110.85,110.26,111.12,,,,114.3572,0,108.7746,1,70989,,,,,0
2023-09-01,111.89,112.16,111.27,111.81,110.47,111.07,,,,114.3572,0,108.8994,1,68593,,,,,0
2023-09-05,111.62,111.77,107.75,107.85,110.28,110.77,,,,114.3572,0,112.1610,0,86591,,-0.9961,-1.2034,0.2073,0
2023-09-06,107.55,109.23,107.47,108.33,110.19,110.54,,,,113.5539,0,112.1610,0,88518,,-1.0925,-1.1812,0.0887,0
2023-09-07,107.93,108.14,105.73,106.13,109.75,110.23,,,,112.3999,0,111.9734,0,98282,,-1.3308,-1.2111,-0.1197,0
2023-09-08,105.92,106.41,104.77,104.99,109.31,109.88,,,,110.9992,0,111.5987,0,92290,,-1.5935,-1.2876,-0.3059,0
2023-09-11,105.92,105.92,104.68,105.79,108.88,109.55,,,,110.5371,0,111.0526,0,68465,,-1.7175,-1.3736,-0.3439,0
2023-09-12,105.34,106.15,105.34,105.83,108.41,109.22,,,,110.5371,0,110.4157,0,51443,,-1.7920,-1.4573,-0.3347,0
2023-09-13,105.61,106.04,104.48,104.71,107.78,108.91,,,,110.1906,0,109.8425,0,59841,,-1.9187,-1.5496,-0.3691,0
2023-09-14,105.74,106.55,105.55,106.39,107.27,108.72,,,,110.1906,0,109.1986,0,67634,,-1.8625,-1.6122,-0.2504,0
2023-09-15,106.14,106.40,105.46,106.09,106.79,108.53,,,,110.1906,0,108.6320,0,221981,,-1.8208,-1.6539,-0.1669,0
