Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,21.74,22.15,21.58,21.90,,,,,,,0,22.1528,0,3007,,,,,0
2023-07-14,22.12,22.12,21.23,21.62,,,,,,,0,22.1528,0,2563,,,,,0
2023-07-17,21.70,22.33,21.65,22.06,,,,,,,0,21.2254,1,2776,,,,,0
2023-07-18,22.05,23.10,22.05,22.95,,,,,,,0,21.2254,1,3310,,,,,0
2023-07-19,22.97,23.82,22.97,23.62,,,,,,,0,21.3005,1,3200,,,,,0
2023-07-20,23.61,23.61,23.02,23.40,,,,,,,0,21.4514,1,3193,,,,,0
2023-07-21,23.48,23.48,22.96,23.00,,,,,,,0,21.5933,1,2399,,,,,0
2023-07-24,23.15,24.39,23.07,24.24,,,,,,,0,21.7266,1,3778,,,,,0
2023-07-25,23.99,24.23,22.84,23.47,,,,,,,0,21.9398,1,9184,,,,,0
2023-07-26,23.85,25.37,23.85,25.21,23.15,,,,,27.5850,0,22.1359,1,6283,,,,,0
2023-07-27,25.38,25.73,24.93,25.11,23.47,,,,,27.5850,0,22.4598,1,6276,,,,,0
2023-07-28,25.18,25.93,25.13,25.64,23.87,,,,,27.5850,0,22.8527,1,4240,,,,,0
2023-07-31,25.64,25.98,25.36,25.63,24.23,,,,,27.5850,0,23.2830,1,4742,,,,,0
2023-08-01,25.50,25.54,24.93,25.30,24.46,,,,,27.5850,0,23.7149,1,3893,,,,,0
2023-08-02,24.97,25.55,24.97,25.36,24.64,,,,,27.5850,0,24.0776,1,3385,,,,,0
2023-08-03,25.29,25.58,24.97,25.50,24.85,,,,,27.5850,0,24.3823,1,2475,,,,,0
2023-08-04,25.49,25.73,25.32,25.42,25.09,,,,,27.5850,0,24.6383,1,1727,,,,,0
2023-08-07,25.42,25.68,25.13,25.49,25.21,,,,,27.5850,0,24.8533,1,2672,,,,,0
2023-08-08,25.04,25.06,24.18,25.03,25.37,,,,,27.1081,0,25.9821,0,2818,,,,,0
2023-08-09,24.97,24.97,24.35,24.69,25.32,24.23,,,,27.0994,0,25.9461,0,2498,,,,,0
2023-08-10,24.73,25.09,24.42,24.63,25.27,24.37,,,,27.0994,0,25.9109,0,2212,,,,,0
2023-08-11,24.60,25.08,24.60,25.04,25.21,24.54,,,,27.0994,0,25.8763,0,1970,,,,,0
2023-08-14,24.87,24.87,24.35,24.57,25.10,24.67,,,,26.8910,0,25.8425,0,1669,,,,,0
2023-08-15,24.25,24.25,23.47,23.51,24.92,24.69,,,,26.2401,0,25.8093,0,2576,,,,,0
2023-08-16,23.47,23.70,22.89,22.96,24.68,24.66,,,,25.6831,0,25.7158,0,2800,,,,,0
2023-08-17,23.10,23.24,22.90,23.12,24.45,24.65,,,,25.3196,0,25.5461,0,1903,,,,,0
2023-08-18,22.89,23.37,22.89,23.14,24.22,24.65,,,,25.2983,0,25.3867,0,2284,,,,,0
2023-08-21,23.16,23.33,22.71,22.74,23.94,24.58,,,,25.1581,0,25.2368,0,2122,,,,,0
2023-08-22,22.79,22.91,21.91,21.94,23.63,24.50,,,,24.6365,0,25.0348,0,2855,,,,,0
2023-08-23,21.91,22.36,21.85,22.00,23.37,24.34,,,,24.2598,0,24.7226,0,2491,,,,,0
2023-08-24,21.98,22.36,21.95,22.08,23.11,24.19,,,,24.2186,0,24.3778,0,1980,,,,,0
2023-08-25,22.20,22.30,21.74,21.91,22.80,24.00,,,,24.0468,0,24.0743,0,2031,,,,,0
2023-08-28,21.98,22.58,21.98,22.53,22.59,23.85,,,,24.0468,0,23.7471,0,2359,,,,,0
2023-08-29,22.62,22.76,22.44,22.63,22.51,23.72,,,,24.0468,0,23.4657,0,1656,,-0.5192,-0.3590,-0.1602,0
2023-08-30,22.67,22.67,22.34,22.45,22.45,23.57,,,,24.0468,0,23.2237,0,1429,,-0.5102,-0.3892,-0.1210,0
2023-08-31,22.50,22.70,22.36,22.38,22.38,23.41,,,,24.0468,0,23.0156,0,1621,,-0.5024,-0.4119,-0.0906,0
2023-09-01,22.60,23.17,22.60,22.98,22.37,23.29,,,,24.0468,0,21.7370,1,1653,,-0.4428,-0.4181,-0.0247,0
2023-09-05,22.82,22.92,22.39,22.51,22.34,23.14,,,,24.0468,0,21.7657,1,2073,,-0.4287,-0.4202,-0.0085,0
2023-09-06,22.55,22.66,21.90,21.93,22.34,22.99,,,,24.0468,0,21.7937,1,1550,,-0.4592,-0.4280,-0.0313,0
2023-09-07,21.86,21.98,21.72,21.90,22.33,22.85,,,,23.5983,0,23.1681,0,3148,,-0.4799,-0.4384,-0.0415,0
2023-09-08,22.02,22.02,21.59,21.63,22.29,22.70,,,,23.5013,0,23.1391,0,1648,,-0.5123,-0.4531,-0.0591,0
2023-09-11,21.77,21.92,21.39,21.61,22.26,22.53,,,,23.3457,0,23.0770,0,2525,,-0.5337,-0.4693,-0.0645,0
2023-09-12,21.82,22.46,21.75,22.45,22.25,22.42,,,,23.3457,0,22.9759,0,3016,,-0.4775,-0.4709,-0.0066,0
2023-09-13,22.51,22.51,21.95,22.26,22.21,22.36,,,,23.3457,0,22.8810,0,2670,,-0.4433,-0.4654,0.0221,0
