Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,59.59,59.76,58.83,59.26,,,,,,,0,58.8266,1,120172,,,,,0
2023-07-18,59.26,61.64,59.26,61.05,,,,,,,0,58.8266,1,129593,,,,,0
2023-07-19,61.72,62.56,61.10,62.39,,,,,,,0,58.8266,1,108022,,,,,0
2023-07-20,62.34,62.49,61.32,62.25,,,,,,,0,58.9761,1,112064,,,,,0
2023-07-21,62.66,62.66,61.22,61.40,,,,,,,0,59.1195,1,74081,,,,,0
2023-07-24,61.62,62.86,61.26,62.15,,,,,,,0,59.3319,1,76875,,,,,0
2023-07-25,62.04,64.39,61.67,64.25,,,,,,,0,59.6138,1,135225,,,,,0
2023-07-26,64.07,65.32,64.07,65.31,,,,,,,0,60.0915,1,120013,,,,,0
2023-07-27,65.78,67.35,65.18,65.58,,,,,,,0,60.7183,1,134229,,,,,0
2023-07-28,66.41,67.38,65.94,67.07,63.07,,,,,71.7479,0,61.6470,1,105439,,,,,0
2023-07-31,67.44,67.83,65.53,66.11,63.76,,,,,71.7479,0,62.5635,1,130225,,,,,0
2023-08-01,65.82,66.38,65.43,66.02,64.25,,,,,70.9393,0,63.5121,1,115337,,,,,0
2023-08-02,65.44,66.04,64.67,65.89,64.60,,,,,70.2937,0,64.2899,1,85229,,,,,0
2023-08-03,65.98,68.07,65.12,67.66,65.14,,,,,70.2937,0,64.6718,1,138466,,,,,0
2023-08-04,67.93,68.06,66.14,66.44,65.65,,,,,70.2937,0,64.6718,1,105174,,,,,0
2023-08-07,66.81,66.97,66.34,66.55,66.09,,,,,70.2937,0,65.1153,1,89053,,,,,0
2023-08-08,65.59,66.63,65.35,66.55,66.32,,,,,70.2937,0,68.0668,0,99499,,,,,0
2023-08-09,66.67,66.67,65.25,65.42,66.33,,,,,70.2937,0,68.0125,0,73004,,,,,0
2023-08-10,66.16,66.87,64.18,64.67,66.24,,,,,70.2937,0,67.9022,0,139255,,,,,0
2023-08-11,64.36,64.73,63.70,63.96,65.93,64.50,,,,69.1723,0,67.6789,0,121388,,,,,0
2023-08-14,63.64,63.80,62.54,63.51,65.67,64.71,,,,68.0550,0,67.3609,0,158934,,,,,0
2023-08-15,62.84,63.42,61.77,63.18,65.38,64.82,,,,67.5154,0,66.8788,0,173032,,,,,0
2023-08-16,63.05,64.04,62.88,63.27,65.12,64.86,,,,67.5154,0,66.2655,0,151225,,,,,0
2023-08-17,63.25,63.58,62.74,62.75,64.63,64.89,,,,67.5154,0,65.7258,0,224553,,,,,0
2023-08-18,62.27,64.19,62.27,64.09,64.40,65.02,,,,67.5154,0,65.2509,0,156814,,,,,0
2023-08-21,63.63,63.86,61.20,61.43,63.88,64.99,,,,67.5154,0,64.8329,0,237202,,,,,0
2023-08-22,61.23,61.23,59.55,59.67,63.20,64.76,,,,65.5200,0,64.3244,0,206347,,,,,0
2023-08-23,62.70,67.83,62.21,67.72,63.43,64.88,,,,57.9522,1,59.5459,1,569174,,,,,0
2023-08-24,68.65,69.75,66.51,66.54,63.61,64.93,,,,60.8020,1,59.5459,1,286280,,,,,0
2023-08-25,66.58,67.73,65.82,66.98,63.92,64.92,,,,60.8020,1,59.9543,1,213992,,,,,0
2023-08-28,67.51,67.95,66.78,67.64,64.33,65.00,,,,60.8020,1,60.3463,1,111743,,,,,0
2023-08-29,67.86,69.13,67.46,67.90,64.80,65.09,,,,61.6676,1,60.7226,1,119687,,,,,0
2023-08-30,67.42,68.53,67.42,67.90,65.26,65.19,,,,61.6822,1,61.0839,1,106536,,,,,0
2023-08-31,67.92,68.25,67.15,67.33,65.72,65.18,,,,61.7048,1,61.4307,1,118170,,0.7744,0.1019,0.6725,0
2023-09-01,67.97,69.06,67.90,68.90,66.20,65.30,,,,62.5634,1,61.7637,1,84816,,0.9390,0.2693,0.6696,0
2023-09-05,68.29,69.04,67.53,68.64,66.92,65.40,,,,62.5634,1,62.0833,1,152871,,1.0370,0.4229,0.6142,0
2023-09-06,67.97,68.96,66.89,67.13,67.67,65.43,,,,62.5634,1,62.3902,1,131920,,0.9815,0.5346,0.4469,0
2023-09-07,67.13,68.87,66.85,68.66,67.76,65.59,,,,62.5634,1,62.6848,1,162133,,1.0485,0.6374,0.4111,0
2023-09-08,67.13,68.58,66.99,68.50,67.96,65.79,,,,62.5634,1,62.9676,1,143549,,1.0761,0.7251,0.3510,0
2023-09-11,68.54,68.88,67.84,68.29,68.09,66.00,,,,62.8604,1,63.2391,1,99423,,1.0691,0.7939,0.2752,0
2023-09-12,68.30,68.54,65.99,66.31,67.95,66.14,,,,62.8604,1,63.4997,1,110817,,0.8933,0.8138,0.0795,0
2023-09-13,66.45,67.96,66.45,67.93,67.96,66.38,,,,62.8604,1,63.7499,1,146363,,0.8746,0.8260,0.0486,0
2023-09-14,67.62,69.29,67.28,69.20,68.09,66.68,,,,62.8604,1,63.9901,1,140558,,0.9516,0.8511,0.1005,0
2023-09-15,68.67,69.00,67.78,68.66,68.22,66.97,,,,62.8604,1,64.2207,1,259643,,0.9577,0.8724,0.0853,0
2023-09-18,68.29,69.33,68.06,68.85,68.22,67.21,,,,63.3279,1,64.4420,1,186810,,0.9671,0.8914,0.0758,0
2023-09-19,68.64,68.64,67.41,68.32,68.18,67.55,,,,63.3279,1,64.6545,1,173125,,0.9209,0.8973,0.0237,0
2023-09-20,68.75,69.47,67.97,68.08,68.28,67.97,,,,63.5376,1,64.8586,1,105693,,0.8548,0.8888,-0.0339,0
2023-09-21,67.43,68.19,67.11,67.35,68.15,67.95,,,,63.5376,1,65.0544,1,212779,,0.7355,0.8581,-0.1226,0
2023-09-22,67.78,67.96,66.70,66.76,67.97,67.97,,,,63.5376,1,65.2424,1,144854,,0.5864,0.8038,-0.2173,0
2023-09-25,68.94,75.03,68.94,74.52,68.60,68.34,65.92,,,65.1295,1,65.4229,1,841537,162859,1.0818,0.8594,0.2224,0
2023-09-26,74.32,75.09,73.08,73.27,69.29,68.62,66.20,,,67.3065,1,65.9995,1,284843,166152,1.3584,0.9592,0.3992,0
2023-09-27,73.72,75.13,73.46,74.95,70.00,68.98,66.48,,,67.6407,1,66.7264,1,167900,166918,1.6931,1.1060,0.5871,0
2023-09-28,73.86,74.44,72.97,73.63,70.44,69.26,66.70,,,67.6407,1,67.5671,1,196873,168695,1.8306,1.2509,0.5797,0
2023-09-29,74.31,75.70,74.08,74.10,70.98,69.60,66.94,,,68.3451,1,68.3237,1,174716,169948,1.9552,1.3918,0.5634,0
2023-10-02,74.26,74.48,72.67,73.53,71.45,69.83,67.18,,,68.3451,1,69.2084,1,152868,171524,1.9853,1.5105,0.4748,0
2023-10-03,73.45,73.55,71.23,71.85,71.80,69.99,67.38,,,68.3451,1,69.9869,1,156647,173119,1.8519,1.5787,0.2732,0
2023-10-04,72.69,72.86,71.65,72.31,72.23,70.25,67.54,,,68.3451,1,70.6720,1,98057,172376,1.7632,1.6156,0.1476,0
2023-10-05,71.85,72.51,71.27,72.05,72.70,70.42,67.67,,,68.3451,1,71.2329,1,104863,172073,1.6527,1.6231,0.0297,0
2023-10-06,71.85,74.74,71.32,74.11,73.43,70.70,67.84,,,68.3451,1,71.2711,1,181247,173013,1.7120,1.6409,0.0712,0
2023-10-09,73.62,76.57,73.62,76.34,73.61,71.11,68.03,,,68.4655,1,71.2711,1,219431,175293,1.9170,1.6961,0.2209,0
2023-10-10,75.67,76.81,75.37,75.93,73.88,71.59,68.22,,,69.6920,1,71.3187,1,168359,176056,2.0230,1.7615,0.2615,0
2023-10-11,75.99,77.77,75.98,77.45,74.13,72.06,68.45,,,70.5668,1,72.1969,1,152830,176806,2.2040,1.8500,0.3540,0
2023-10-12,77.28,77.88,76.89,77.52,74.52,72.48,68.69,,,71.4102,1,73.1992,1,181217,178725,2.3260,1.9452,0.3808,0
2023-10-13,77.83,78.21,76.75,77.02,74.81,72.90,68.87,,,71.6652,1,74.1353,1,155043,179057,2.3551,2.0272,0.3280,0
2023-10-16,77.58,78.42,77.00,77.38,75.20,73.32,69.09,,,72.0502,1,74.9500,1,132956,179613,2.3800,2.0977,0.2823,0
2023-10-17,77.00,78.19,77.00,77.94,75.81,73.80,69.32,,,72.1465,1,75.6447,1,127826,180388,2.4173,2.1616,0.2556,0
2023-10-18,77.74,77.74,75.68,76.45,76.22,74.22,69.52,,,72.1465,1,78.4234,0,173253,181863,2.2999,2.1893,0.1106,0
2023-10-19,76.63,77.49,75.33,75.76,76.59,74.64,69.72,,,72.1465,1,78.3686,0,111904,182641,2.1266,2.1767,-0.0502,0
2023-10-20,75.66,75.97,74.87,75.35,76.71,75.07,69.94,,,72.1465,1,78.2469,0,99243,181841,1.9337,2.1281,-0.1944,0
2023-10-23,74.67,75.91,74.33,75.03,76.58,75.10,70.16,,,72.1465,1,78.0441,0,93501,181283,1.7349,2.0495,-0.3146,0
2023-10-24,75.28,75.74,74.06,74.95,76.48,75.18,70.39,,,72.1465,1,77.7470,0,94911,180003,1.5537,1.9503,-0.3967,0
2023-10-25,74.36,74.59,73.23,73.26,76.06,75.10,70.59,,,72.1465,1,77.3780,0,88668,178315,1.2585,1.8120,-0.5534,0
2023-10-26,72.74,73.12,68.63,69.16,75.23,74.87,70.71,,,77.0490,0,76.8804,0,212090,179533,0.6863,1.5868,-0.9005,0
2023-10-27,69.52,70.82,69.43,69.92,74.52,74.67,70.85,,,76.1772,0,75.7252,0,118260,177407,0.2909,1.3277,-1.0367,0
2023-10-30,70.20,71.35,69.52,71.07,73.89,74.54,70.99,,,76.1772,0,74.7316,0,118368,176638,0.0697,1.0761,-1.0064,0
2023-10-31,71.93,72.47,70.93,72.04,73.30,74.55,71.20,,,76.1772,0,73.8772,0,117352,174241,-0.0272,0.8554,-0.8826,0
2023-11-01,72.02,72.13,70.66,71.71,72.82,74.52,71.44,,,76.1772,0,73.1424,0,138803,172890,-0.1295,0.6584,-0.7880,0
2023-11-02,72.35,73.77,72.35,73.14,72.56,74.58,71.55,,,76.1772,0,68.6285,1,98574,163478,-0.0943,0.5079,-0.6021,0
2023-11-03,73.75,75.54,73.75,73.99,72.43,74.57,71.70,,,76.1772,0,68.7314,1,111767,159988,0.0029,0.4069,-0.4040,0
2023-11-06,73.86,74.17,72.59,72.96,72.22,74.40,71.82,,,76.1772,0,69.0036,1,87872,157465,-0.0032,0.3249,-0.3281,0
2023-11-07,73.48,73.79,71.85,71.89,71.92,74.20,71.91,,,76.1772,0,69.2650,1,96420,157159,-0.0933,0.2412,-0.3345,0
2023-11-08,72.78,72.92,71.84,71.84,71.77,73.92,71.98,,,76.1772,0,69.5160,1,82626,156418,-0.1670,0.1596,-0.3266,0
2023-11-09,71.93,71.93,70.47,70.74,71.93,73.58,72.04,,,76.1772,0,69.7569,1,95357,156194,-0.3108,0.0655,-0.3763,0
2023-11-10,70.70,71.17,68.97,71.14,72.05,73.29,72.12,,,75.6167,0,75.5383,0,146980,156770,-0.3878,-0.0252,-0.3627,0
2023-11-13,70.73,71.77,70.40,71.33,72.08,72.98,72.17,,,75.6167,0,75.4070,0,122162,157517,-0.4285,-0.1058,-0.3226,0
2023-11-14,73.07,76.20,73.07,75.83,72.46,72.88,72.31,,,68.7327,1,68.9737,1,197311,158406,-0.0966,-0.1040,0.0074,0
2023-11-15,76.02,78.22,75.93,77.39,73.03,72.93,72.52,,,70.6716,1,69.1181,1,327428,162316,0.2888,-0.0254,0.3142,0
2023-11-16,77.26,82.65,77.19,82.21,73.93,73.25,72.79,,,72.5218,1,69.4821,1,412423,167322,0.9723,0.1741,0.7982,0
2023-11-17,83.02,87.01,82.45,85.76,75.11,73.77,73.13,,,76.6291,1,70.2725,1,384384,172139,1.7798,0.4953,1.2845,0
2023-11-20,85.49,87.27,84.62,87.25,76.54,74.38,73.51,,,77.8593,1,71.6117,1,186171,173874,2.5108,0.8984,1.6124,0
2023-11-21,86.50,86.75,85.00,86.28,77.98,74.95,73.91,,,77.9238,1,73.1778,1,159949,174856,2.9779,1.3143,1.6637,0
