Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,382.47,385.88,378.94,380.20,,,,,,,0,378.9437,1,86208,,,,,0
2023-07-14,379.93,384.03,379.53,381.66,,,,,,,0,378.9437,1,74908,,,,,0
2023-07-17,381.72,382.27,376.96,380.16,,,,,,,0,385.8806,0,56814,,,,,0
2023-07-18,380.28,381.83,375.68,381.12,,,,,,,0,385.7023,0,120761,,,,,0
2023-07-19,380.16,383.33,378.20,382.14,,,,,,,0,385.3015,0,97986,,,,,0
2023-07-20,382.44,383.27,375.00,375.34,,,,,,,0,384.9168,0,90067,,,,,0
2023-07-21,376.52,382.03,373.54,373.92,,,,,,,0,384.3218,0,318835,,,,,0
2023-07-24,372.00,375.36,370.71,372.67,,,,,,,0,383.4594,0,124927,,,,,0
2023-07-25,370.33,380.30,369.83,373.92,,,,,,,0,382.1844,0,125735,,,,,0
2023-07-26,371.24,376.36,365.90,376.19,377.73,,,,,392.2371,0,380.7013,0,135453,,,,,0
2023-07-27,372.12,372.22,347.61,351.88,374.90,,,,,387.4880,0,380.2953,0,362672,,,,,0
2023-07-28,355.80,363.88,352.80,362.35,372.97,,,,,386.7533,0,376.3590,0,182620,,,,,0
2023-07-31,362.79,365.18,359.91,364.91,371.44,,,,,386.7533,0,372.2246,0,211365,,,,,0
2023-08-01,363.75,369.81,361.91,368.50,370.18,,,,,386.7533,0,347.6059,1,164794,,,,,0
2023-08-02,366.32,367.94,362.88,367.43,368.71,,,,,386.7533,0,348.0499,1,155755,,,,,0
2023-08-03,366.78,368.88,365.14,366.57,367.83,,,,,386.7533,0,348.4850,1,111803,,,,,0
2023-08-04,367.66,373.52,365.57,371.88,367.63,,,,,386.7533,0,348.9114,1,143689,,,,,0
2023-08-07,373.27,376.84,371.28,375.48,367.91,,,,,386.7533,0,349.8959,1,98311,,,,,0
2023-08-08,388.76,396.56,384.30,396.47,370.16,,,,,362.9209,1,351.5123,1,317177,,,,,0
2023-08-09,393.16,397.54,393.10,396.74,372.22,374.98,,,,369.2272,1,355.1157,1,143014,,,,,0
2023-08-10,398.58,405.09,395.97,396.84,376.72,375.81,,,,374.3148,1,359.3579,1,139687,,,,,0
2023-08-11,394.40,396.59,390.73,391.38,379.62,376.29,,,,374.3148,1,364.8460,1,111277,,,,,0
2023-08-14,391.42,396.66,390.01,396.49,382.78,377.11,,,,374.3148,1,369.6756,1,141201,,,,,0
2023-08-15,397.39,400.63,395.04,398.71,385.80,377.99,,,,374.3148,1,373.9256,1,105760,,,,,0
2023-08-16,397.95,399.55,394.09,394.11,388.47,378.59,,,,374.3148,1,377.6657,1,105414,,,,,0
2023-08-17,395.72,398.04,388.68,389.53,390.76,379.30,,,,374.3148,1,380.9569,1,117586,,,,,0
2023-08-18,386.39,388.04,383.09,384.47,392.02,379.82,,,,374.3148,1,405.0925,0,119162,,,,,0
2023-08-21,386.58,389.94,384.53,389.34,393.41,380.66,,,,374.3148,1,404.6524,0,145213,,,,,0
2023-08-22,389.99,392.98,386.76,389.83,392.74,381.45,,,,374.3148,1,404.2212,0,133996,,,,,0
2023-08-23,391.97,392.73,388.68,389.72,392.04,382.13,,,,374.3148,1,403.7986,0,213516,,,,,0
2023-08-24,390.03,394.59,388.29,388.39,391.20,383.96,,,,374.3148,1,403.3845,0,109877,,,,,0
2023-08-25,388.57,392.29,385.24,390.38,391.10,385.36,,,,374.3148,1,402.9786,0,129813,,,,,0
2023-08-28,391.85,400.12,391.85,399.94,391.44,387.11,,,,374.3148,1,402.5809,0,88177,,,,,0
2023-08-29,399.25,409.04,398.47,408.90,392.46,389.13,,,,380.9316,1,383.0913,1,110485,,7.3130,7.0970,0.2159,0
2023-08-30,411.12,412.19,405.32,405.64,393.61,391.04,,,,386.1546,1,383.6102,1,126664,,7.7516,7.2280,0.5237,0
2023-08-31,405.49,408.03,403.23,403.44,395.00,392.88,,,,386.1546,1,384.7535,1,174275,,7.8313,7.3486,0.4827,0
2023-09-01,406.92,406.92,401.22,404.22,396.98,394.50,,,,386.1546,1,385.8510,1,105184,,7.8670,7.4523,0.4147,0
2023-09-05,402.96,403.20,399.26,400.23,398.07,395.74,,,,386.1546,1,386.9046,1,106569,,7.4874,7.4593,0.0281,0
2023-09-06,400.58,402.68,397.11,401.40,399.23,395.98,,,,386.1546,1,387.9161,1,159835,,7.1980,7.4071,-0.2091,0
2023-09-07,401.84,402.59,398.50,400.42,400.30,396.17,,,,386.1546,1,388.8871,1,92969,,6.8109,7.2878,-0.4769,0
2023-09-08,399.89,399.89,388.65,389.81,400.44,395.82,,,,386.1546,1,412.1915,0,119639,,5.5837,6.9470,-1.3633,0
2023-09-11,390.41,396.74,389.03,393.77,400.78,395.94,,,,386.1546,1,411.7208,0,83521,,4.8742,6.5324,-1.6583,0
