Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,7.03,7.15,7.03,7.13,,,,,,,0,7.1501,0,5934,,,,,0
2023-07-20,7.13,7.14,6.98,7.03,,,,,,,0,7.1501,0,6377,,,,,0
2023-07-21,7.07,7.07,6.87,6.89,,,,,,,0,7.1501,0,5662,,,,,0
2023-07-24,6.91,6.93,6.84,6.87,,,,,,,0,7.1405,0,6678,,,,,0
2023-07-25,6.82,6.87,6.77,6.86,,,,,,,0,7.1226,0,5749,,,,,0
2023-07-26,6.84,6.90,6.77,6.77,,,,,,,0,7.0940,0,3749,,,,,0
2023-07-27,6.77,6.83,6.71,6.72,,,,,,,0,7.0611,0,6612,,,,,0
2023-07-28,6.96,6.96,6.36,6.50,,,,,,,0,7.0187,0,13219,,,,,0
2023-07-31,6.58,6.87,6.52,6.70,,,,,,,0,6.9577,0,13863,,,,,0
2023-08-01,6.74,6.75,6.61,6.63,6.81,,,,,7.2906,0,6.9577,0,5497,,,,,0
2023-08-02,6.53,6.56,6.28,6.36,6.73,,,,,7.0784,0,6.8741,0,7442,,,,,0
2023-08-03,6.32,6.38,6.26,6.26,6.66,,,,,6.9465,0,6.7797,0,3488,,,,,0
2023-08-04,6.26,6.34,6.24,6.25,6.59,,,,,6.8822,0,6.6870,0,3157,,,,,0
2023-08-07,6.24,6.36,6.22,6.33,6.54,,,,,6.8661,0,6.5968,0,4862,,,,,0
2023-08-08,6.28,6.34,6.16,6.23,6.47,,,,,6.8246,0,6.5208,0,4713,,,,,0
2023-08-09,6.23,6.44,6.20,6.41,6.44,,,,,6.8246,0,6.4483,0,6162,,,,,0
2023-08-10,6.41,6.54,6.41,6.45,6.41,,,,,6.8246,0,6.1581,1,11190,,,,,0
2023-08-11,6.41,6.51,6.41,6.48,6.41,,,,,6.8246,0,6.1657,1,4920,,,,,0
2023-08-14,6.44,6.57,6.40,6.56,6.40,,,,,6.8246,0,6.1731,1,5566,,,,,0
2023-08-15,6.52,6.71,6.49,6.64,6.40,6.60,,,,6.8246,0,6.1891,1,14892,,,,,0
2023-08-16,6.67,6.72,6.57,6.70,6.43,6.58,,,,6.8246,0,6.2203,1,9940,,,,,0
2023-08-17,6.71,6.89,6.71,6.81,6.48,6.57,,,,6.8246,0,6.2602,1,8101,,,,,0
2023-08-18,6.74,7.03,6.74,6.99,6.56,6.58,,,,6.3067,1,6.3235,1,8863,,,,,0
2023-08-21,6.96,6.97,6.79,6.85,6.61,6.57,,,,6.3067,1,6.4080,1,11433,,,,,0
2023-08-22,6.86,6.93,6.73,6.79,6.67,6.57,,,,6.3067,1,6.4825,1,9190,,,,,0
2023-08-23,6.83,6.83,6.75,6.77,6.70,6.57,,,,6.3067,1,6.5479,1,8255,,,,,0
2023-08-24,6.77,6.83,6.68,6.71,6.73,6.57,,,,6.3067,1,6.6056,1,4557,,,,,0
2023-08-25,6.74,6.81,6.68,6.77,6.76,6.58,,,,6.3067,1,6.6563,1,5655,,,,,0
2023-08-28,6.83,6.83,6.76,6.79,6.78,6.59,,,,6.3067,1,6.6802,1,5888,,,,,0
2023-08-29,6.76,6.91,6.75,6.88,6.80,6.60,,,,6.3362,1,6.6802,1,6113,,,,,0
2023-08-30,6.86,7.12,6.86,7.05,6.84,6.64,,,,6.4716,1,6.7219,1,13060,,,,,0
2023-08-31,7.03,7.07,6.95,7.06,6.86,6.67,,,,6.5036,1,6.7479,1,7563,,,,,0
2023-09-01,7.09,7.30,7.07,7.10,6.88,6.72,,,,6.6556,1,6.8006,1,10616,,,,,0
2023-09-05,7.06,7.14,6.82,6.88,6.88,6.74,,,,6.6556,1,7.2989,0,10674,,0.1033,0.0768,0.0265,0
2023-09-06,6.94,6.99,6.88,6.99,6.90,6.78,,,,6.6556,1,7.2989,0,5519,,0.1045,0.0824,0.0221,0
2023-09-07,6.98,7.02,6.91,6.98,6.92,6.81,,,,6.6556,1,7.2892,0,8580,,0.1034,0.0866,0.0168,0
2023-09-08,6.99,6.99,6.88,6.90,6.94,6.83,,,,6.6556,1,7.2798,0,3524,,0.0952,0.0883,0.0069,0
2023-09-11,6.90,6.94,6.82,6.85,6.95,6.85,,,,6.6556,1,7.2705,0,6246,,0.0838,0.0874,-0.0036,0
2023-09-12,6.86,6.91,6.82,6.89,6.96,6.87,,,,6.6556,1,7.2614,0,7510,,0.0771,0.0853,-0.0083,0
2023-09-13,6.89,6.90,6.81,6.83,6.95,6.88,,,,6.6556,1,7.2525,0,8054,,0.0663,0.0815,-0.0153,0
2023-09-14,6.91,6.95,6.83,6.91,6.94,6.89,,,,6.6556,1,7.2346,0,4675,,0.0632,0.0779,-0.0147,0
2023-09-15,6.89,6.98,6.84,6.97,6.93,6.90,,,,6.6556,1,7.2174,0,16200,,0.0647,0.0752,-0.0105,0
2023-09-18,6.97,7.00,6.91,6.93,6.92,6.90,,,,6.6556,1,7.2010,0,4802,,0.0621,0.0726,-0.0105,0
2023-09-19,6.95,6.97,6.90,6.93,6.92,6.90,,,,6.6556,1,7.1852,0,4233,,0.0593,0.0699,-0.0106,0
2023-09-20,6.93,6.98,6.92,6.94,6.92,6.91,,,,6.6556,1,7.1700,0,2828,,0.0572,0.0674,-0.0102,0
2023-09-21,6.91,7.04,6.82,6.96,6.91,6.92,,,,6.6556,1,7.1554,0,5097,,0.0565,0.0652,-0.0087,0
2023-09-22,6.95,6.99,6.84,6.85,6.91,6.92,,,,6.6556,1,7.1415,0,3144,,0.0468,0.0615,-0.0147,0
2023-09-25,6.80,6.88,6.78,6.80,6.90,6.93,,,,6.6556,1,7.1280,0,3263,,0.0340,0.0560,-0.0220,0
2023-09-26,6.79,6.81,6.52,6.59,6.87,6.92,,,,7.1090,0,7.1070,0,6399,,0.0074,0.0463,-0.0389,0
2023-09-27,6.59,6.74,6.59,6.70,6.86,6.91,6.76,,,7.1090,0,7.0597,0,7292,7140,-0.0050,0.0361,-0.0410,0
