Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,23.82,24.54,23.80,24.03,,,,,,,0,24.5400,0,8463,,,,,0
2023-07-18,24.06,24.34,23.63,23.92,,,,,,,0,24.5400,0,10867,,,,,0
2023-07-19,24.18,24.51,23.45,23.86,,,,,,,0,24.5400,0,14235,,,,,0
2023-07-20,23.85,23.86,21.55,21.71,,,,,,,0,24.5100,0,11841,,,,,0
2023-07-21,21.75,21.98,20.35,21.28,,,,,,,0,24.5100,0,21027,,,,,0
2023-07-24,21.28,22.16,21.13,21.26,,,,,,,0,24.1772,0,10432,,,,,0
2023-07-25,21.20,21.38,20.73,20.92,,,,,,,0,23.8710,0,6927,,,,,0
2023-07-26,21.00,21.58,20.84,21.10,,,,,,,0,23.5893,0,9134,,,,,0
2023-07-27,21.30,21.32,19.91,19.99,,,,,,,0,23.3302,0,6239,,,,,0
2023-07-28,20.41,21.31,20.26,21.13,21.92,,,,,24.2632,0,22.9877,0,7484,,,,,0
2023-07-31,21.23,21.69,20.61,20.76,21.59,,,,,24.2632,0,22.6794,0,8125,,,,,0
2023-08-01,20.54,20.87,20.10,20.71,21.27,,,,,23.8249,0,22.4020,0,4722,,,,,0
2023-08-02,20.16,20.20,18.10,18.16,20.70,,,,,22.9389,0,22.1523,0,12741,,,,,0
2023-08-03,17.94,18.44,17.09,17.22,20.25,,,,,21.5801,0,21.6660,0,9304,,,,,0
2023-08-04,17.27,17.57,16.84,17.25,19.85,,,,,20.8575,0,21.0254,0,20107,,,,,0
2023-08-07,17.25,17.25,16.35,16.40,19.36,,,,,20.3588,0,20.3557,0,9415,,,,,0
2023-08-08,16.09,16.13,15.50,15.86,18.86,,,,,19.2879,0,19.6347,0,10817,,,,,0
2023-08-09,17.01,17.01,16.04,16.72,18.42,,,,,19.2879,0,18.8077,0,24318,,,,,0
2023-08-10,17.22,17.55,16.45,16.62,18.08,,,,,19.2879,0,18.1462,0,15081,,,,,0
2023-08-11,16.50,16.75,15.92,16.16,17.59,19.75,,,,19.2879,0,17.6170,0,12514,,,,,0
2023-08-14,16.02,17.05,15.83,16.91,17.20,19.40,,,,19.2879,0,17.5500,0,6686,,,,,0
2023-08-15,16.77,16.85,16.30,16.35,16.77,19.02,,,,19.2879,0,17.1400,0,4339,,,,,0
2023-08-16,16.27,17.21,15.91,16.95,16.64,18.67,,,,19.2879,0,15.5000,1,5256,,,,,0
2023-08-17,17.01,17.32,16.53,16.85,16.61,18.43,,,,19.2879,0,15.5342,1,5727,,,,,0
2023-08-18,16.43,17.45,16.28,17.15,16.60,18.22,,,,19.2879,0,15.6056,1,5469,,,,,0
2023-08-21,17.19,17.37,16.64,16.92,16.65,18.01,,,,19.2879,0,15.7165,1,4602,,,,,0
2023-08-22,17.03,17.48,16.72,17.39,16.80,17.83,,,,19.2879,0,15.8208,1,4188,,,,,0
2023-08-23,17.52,18.24,17.40,17.68,16.90,17.66,,,,19.2879,0,15.9536,1,8127,,,,,0
2023-08-24,17.60,17.90,17.40,17.54,16.99,17.54,,,,19.2879,0,16.1822,1,4350,,,,,0
2023-08-25,17.59,18.00,17.36,17.67,17.14,17.36,,,,19.2879,0,16.3880,1,4280,,,,,0
2023-08-28,17.91,18.20,17.70,17.74,17.22,17.21,,,,19.2879,0,16.5732,1,3094,,,,,0
2023-08-29,17.70,18.34,17.67,17.99,17.39,17.08,,,,19.2879,0,16.7399,1,4683,,,,,0
2023-08-30,17.89,18.47,17.76,18.19,17.51,17.08,,,,19.2879,0,16.9319,1,4364,,,,,0
2023-08-31,18.30,19.50,18.20,19.05,17.73,17.17,,,,19.2879,0,17.1472,1,10378,,-0.7100,-1.2615,0.5515,0
2023-09-01,19.30,20.35,19.28,20.28,18.05,17.32,,,,17.0222,1,17.5237,1,12338,,-0.4650,-1.1022,0.6372,0
