Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,23.54,24.33,23.43,24.10,,,,,,,0,23.4300,1,7326,,,,,0
2023-07-14,24.16,25.02,24.00,24.95,,,,,,,0,23.4300,1,9596,,,,,0
2023-07-17,25.08,25.35,24.41,24.53,,,,,,,0,23.4300,1,9103,,,,,0
2023-07-18,24.59,25.00,24.41,24.99,,,,,,,0,23.5068,1,7317,,,,,0
2023-07-19,25.18,25.91,25.07,25.39,,,,,,,0,23.5805,1,8597,,,,,0
2023-07-20,25.37,25.45,24.90,24.96,,,,,,,0,23.7203,1,5252,,,,,0
2023-07-21,25.13,25.13,24.52,24.80,,,,,,,0,23.8517,1,5446,,,,,0
2023-07-24,24.85,24.92,24.21,24.22,,,,,,,0,23.9752,1,5701,,,,,0
2023-07-25,24.21,24.30,23.82,23.92,,,,,,,0,25.9100,0,6241,,,,,0
2023-07-26,23.87,24.28,23.72,24.27,24.61,,,,,26.1864,0,25.8682,0,5366,,,,,0
2023-07-27,24.47,24.52,23.25,23.38,24.54,,,,,26.1864,0,25.7823,0,7949,,,,,0
2023-07-28,23.63,24.37,23.58,23.99,24.44,,,,,26.1864,0,25.6303,0,7463,,,,,0
2023-07-31,23.99,24.45,23.92,24.29,24.42,,,,,26.1864,0,25.4875,0,5264,,,,,0
2023-08-01,24.17,24.17,23.57,24.03,24.32,,,,,26.1819,0,25.3533,0,4662,,,,,0
2023-08-02,23.79,23.79,23.31,23.52,24.14,,,,,25.8467,0,25.2271,0,3784,,,,,0
2023-08-03,23.40,23.76,23.24,23.35,23.98,,,,,25.7221,0,25.1084,0,5030,,,,,0
2023-08-04,25.16,26.33,24.02,24.18,23.92,,,,,25.7221,0,23.2350,1,12668,,,,,0
2023-08-07,24.46,25.15,23.72,24.26,23.92,,,,,25.7221,0,23.2350,1,13743,,,,,0
2023-08-08,24.30,24.44,23.48,23.86,23.91,,,,,25.7221,0,23.2969,1,6614,,,,,0
2023-08-09,23.83,23.95,22.94,23.08,23.79,24.20,,,,25.7221,0,26.3300,0,8410,,,,,0
2023-08-10,23.15,23.60,22.92,23.29,23.79,24.16,,,,25.7221,0,26.2622,0,7017,,,,,0
2023-08-11,23.15,23.69,23.06,23.32,23.72,24.08,,,,25.7221,0,26.1285,0,5825,,,,,0
2023-08-14,23.11,23.39,22.65,23.30,23.62,24.02,,,,25.7221,0,26.0002,0,6901,,,,,0
2023-08-15,23.22,23.63,22.82,23.41,23.56,23.94,,,,25.7221,0,25.7992,0,6000,,,,,0
2023-08-16,23.32,23.43,22.52,22.57,23.46,23.80,,,,25.7028,0,25.6102,0,4426,,,,,0
2023-08-17,22.62,22.83,22.41,22.42,23.37,23.67,,,,25.2010,0,25.3630,0,5565,,,,,0
2023-08-18,22.25,23.17,22.17,22.52,23.20,23.56,,,,25.2010,0,25.0677,0,5657,,,,,0
2023-08-21,22.54,22.68,22.17,22.50,23.03,23.47,,,,24.9396,0,24.7200,0,5650,,,,,0
2023-08-22,22.46,23.13,22.29,22.96,22.94,23.43,,,,24.9396,0,24.4140,0,5786,,,,,0
2023-08-23,23.11,23.98,22.63,22.76,22.90,23.35,,,,24.9396,0,24.1447,0,7465,,,,,0
2023-08-24,22.70,22.90,22.52,22.59,22.83,23.31,,,,24.9396,0,23.9800,0,5315,,,,,0
2023-08-25,22.70,22.77,22.26,22.60,22.76,23.24,,,,24.9295,0,23.9800,0,3937,,,,,0
2023-08-28,22.68,22.85,22.38,22.65,22.70,23.16,,,,24.9290,0,23.7628,0,3382,,,,,0
2023-08-29,22.59,22.87,22.50,22.73,22.63,23.09,,,,24.8776,0,23.5717,0,5587,,-0.5128,-0.5890,0.0762,0
2023-08-30,22.67,22.91,22.35,22.64,22.64,23.05,,,,24.7736,0,23.4035,0,4972,,-0.4908,-0.5694,0.0785,0
2023-08-31,22.62,22.64,21.95,21.98,22.59,22.98,,,,24.4312,0,23.2554,0,9977,,-0.5207,-0.5597,0.0389,0
2023-09-01,22.13,22.56,22.13,22.43,22.58,22.89,,,,24.4312,0,23.0727,0,5594,,-0.5023,-0.5482,0.0459,0
2023-09-05,22.25,22.43,21.55,21.59,22.49,22.76,,,,24.1410,0,22.9155,0,6881,,-0.5491,-0.5484,-0.0008,0
2023-09-06,21.57,21.83,21.32,21.50,22.35,22.64,,,,23.6599,0,22.6970,0,4896,,-0.5867,-0.5560,-0.0307,0
2023-09-07,21.49,21.58,21.22,21.25,22.20,22.55,,,,23.3866,0,22.4492,0,5215,,-0.6295,-0.5707,-0.0587,0
2023-09-08,21.23,21.44,21.16,21.25,22.06,22.45,,,,23.1720,0,22.2033,0,3392,,-0.6558,-0.5877,-0.0680,0
2023-09-11,21.25,21.40,21.09,21.34,21.94,22.35,,,,23.0228,0,21.9947,0,4648,,-0.6617,-0.6025,-0.0592,0
2023-09-12,21.29,21.59,21.13,21.46,21.82,22.26,,,,23.0228,0,21.8137,0,4200,,-0.6493,-0.6119,-0.0374,0
2023-09-13,21.43,21.56,20.83,20.89,21.63,22.13,,,,22.9792,0,21.6690,0,5488,,-0.6776,-0.6250,-0.0526,0
2023-09-14,21.02,21.20,20.82,20.93,21.46,22.05,,,,22.7251,0,21.5900,0,5415,,-0.6889,-0.6378,-0.0511,0
2023-09-15,20.99,21.03,20.59,20.69,21.33,21.96,,,,22.4870,0,21.5600,0,25800,,-0.7090,-0.6521,-0.0570,0
2023-09-18,20.76,21.14,20.46,20.64,21.15,21.87,,,,22.4870,0,21.3660,0,7230,,-0.7207,-0.6658,-0.0549,0
2023-09-19,20.60,21.50,20.27,21.10,21.10,21.80,,,,22.4870,0,20.4600,1,13713,,-0.6849,-0.6696,-0.0153,0
2023-09-20,21.14,21.23,20.54,20.55,21.01,21.68,,,,22.4870,0,20.2700,1,8524,,-0.6930,-0.6743,-0.0187,0
2023-09-21,20.47,20.68,20.14,20.35,20.92,21.56,22.89,,,22.3074,0,21.5050,0,6355,6927,-0.7074,-0.6809,-0.0265,0
2023-09-22,20.30,20.53,20.12,20.16,20.81,21.44,22.81,,,22.1556,0,21.4777,0,6556,6911,-0.7257,-0.6899,-0.0358,0
2023-09-25,20.17,20.27,20.01,20.14,20.69,21.31,22.71,,,21.8656,0,21.4234,0,5639,6832,-0.7334,-0.6986,-0.0348,0
2023-09-26,20.20,20.59,20.04,20.08,20.55,21.18,22.62,,,21.8656,0,21.3386,0,5165,6754,-0.7359,-0.7060,-0.0298,0
2023-09-27,20.18,20.59,20.18,20.55,20.52,21.08,22.53,,,21.8656,0,21.2589,0,8335,6774,-0.6919,-0.7032,0.0113,0
