Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-14,74.15,74.75,72.87,73.15,,,,,,,0,72.8700,1,15091,,,,,0
2023-07-17,73.28,74.95,73.02,74.08,,,,,,,0,72.8700,1,18150,,,,,0
2023-07-18,73.89,74.91,73.89,74.51,,,,,,,0,72.8700,1,15334,,,,,0
2023-07-19,74.97,75.58,74.51,74.79,,,,,,,0,72.9116,1,15811,,,,,0
2023-07-20,74.70,74.74,72.46,73.00,,,,,,,0,75.5800,0,14213,,,,,0
2023-07-21,73.36,73.37,70.50,71.01,,,,,,,0,75.5800,0,51028,,,,,0
2023-07-24,71.01,71.85,70.58,70.95,,,,,,,0,75.3768,0,18433,,,,,0
2023-07-25,70.83,71.68,70.53,71.23,,,,,,,0,75.1817,0,15450,,,,,0
2023-07-26,71.23,72.35,70.96,72.03,,,,,,,0,74.9945,0,18505,,,,,0
2023-07-27,72.79,73.10,70.59,70.81,72.56,,,,,77.0710,0,74.8147,0,12647,,,,,0
2023-07-28,71.33,72.47,71.01,71.74,72.42,,,,,76.9414,0,74.6421,0,16608,,,,,0
2023-07-31,71.57,72.78,71.54,72.52,72.26,,,,,76.9414,0,74.4764,0,13815,,,,,0
2023-08-01,72.33,72.33,70.75,72.04,72.01,,,,,76.6189,0,74.3174,0,25358,,,,,0
2023-08-02,73.79,73.79,71.12,71.99,71.73,,,,,76.6189,0,74.1647,0,24801,,,,,0
2023-08-03,71.81,72.84,71.21,71.80,71.61,,,,,76.6189,0,74.0181,0,32999,,,,,0
2023-08-04,72.06,72.96,68.61,68.73,71.38,,,,,76.6189,0,73.8774,0,29265,,,,,0
2023-08-07,69.03,69.65,68.64,69.63,71.25,,,,,74.9348,0,73.5613,0,21133,,,,,0
2023-08-08,68.70,69.70,68.08,69.06,71.03,,,,,74.5868,0,73.2642,0,19979,,,,,0
2023-08-09,68.85,68.88,66.92,67.16,70.55,,,,,73.6691,0,72.8495,0,20175,,,,,0
2023-08-10,67.57,68.00,66.47,66.77,70.14,71.35,,,,72.8862,0,72.2565,0,12306,,,,,0
