Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,30.15,30.30,27.58,27.64,,,,,,,0,27.5800,1,17211,,,,,0
2023-07-18,28.69,29.18,28.17,28.96,,,,,,,0,27.5800,1,26600,,,,,0
2023-07-19,29.29,29.36,28.64,28.85,,,,,,,0,27.5800,1,12319,,,,,0
2023-07-20,28.82,30.19,28.70,28.78,,,,,,,0,27.6344,1,8110,,,,,0
2023-07-21,29.52,30.00,28.69,29.62,,,,,,,0,27.6877,1,8148,,,,,0
2023-07-24,30.11,31.50,30.10,30.68,,,,,,,0,27.7400,1,11855,,,,,0
2023-07-25,30.95,31.33,30.00,30.46,,,,,,,0,27.8904,1,8361,,,,,0
2023-07-26,30.03,31.60,30.03,31.03,,,,,,,0,28.0347,1,5880,,,,,0
2023-07-27,31.00,31.00,29.64,29.90,,,,,,,0,28.2490,1,9703,,,,,0
2023-07-28,31.47,32.60,31.16,31.49,29.74,,,,,36.8780,0,28.4503,1,11988,,,,,0
2023-07-31,31.19,31.66,29.79,30.06,29.98,,,,,35.7842,0,28.7823,1,14627,,,,,0
2023-08-01,29.88,30.00,28.99,29.34,30.02,,,,,34.3718,0,32.6000,0,10199,,,,,0
2023-08-02,28.37,28.57,27.12,27.26,29.86,,,,,32.8974,0,32.5278,0,18242,,,,,0
2023-08-03,27.59,28.79,27.59,27.80,29.76,,,,,32.8974,0,32.3115,0,10150,,,,,0
2023-08-04,27.59,27.93,27.17,27.24,29.53,,,,,32.2839,0,32.1038,0,10250,,,,,0
2023-08-07,27.01,27.28,25.90,26.46,29.10,,,,,31.2645,0,31.9045,0,13561,,,,,0
2023-08-08,25.21,25.63,23.77,24.19,28.48,,,,,29.7141,0,31.5442,0,20462,,,,,0
2023-08-09,24.72,26.78,24.58,26.38,28.01,,,,,29.7141,0,30.9223,0,14514,,,,,0
2023-08-10,26.90,27.74,25.74,25.74,27.60,,,,,29.7141,0,30.3501,0,12281,,,,,0
2023-08-11,25.45,26.18,24.93,25.78,27.02,28.38,,,,29.7141,0,29.8237,0,7695,,,,,0
2023-08-14,25.14,25.62,24.88,25.57,26.58,28.28,,,,29.7141,0,29.3394,0,6127,,,,,0
2023-08-15,24.89,25.17,24.17,24.52,26.09,28.06,,,,29.5411,0,28.8938,0,7743,,,,,0
2023-08-16,24.52,24.81,23.78,24.14,25.78,27.82,,,,28.9902,0,28.4839,0,11339,,,,,0
2023-08-17,24.38,24.38,23.22,23.39,25.34,27.55,,,,28.3737,0,28.1068,0,14167,,,,,0
2023-08-18,22.71,23.25,22.58,22.72,24.89,27.21,,,,27.2743,0,27.6181,0,5685,,,,,0
2023-08-21,23.81,24.27,23.60,23.69,24.61,26.86,,,,27.2743,0,27.0136,0,13165,,,,,0
2023-08-22,24.52,25.11,23.63,23.87,24.58,26.53,,,,27.2743,0,26.4815,0,9083,,,,,0
2023-08-23,23.85,24.77,23.85,24.38,24.38,26.20,,,,27.2743,0,26.0133,0,7872,,,,,0
2023-08-24,24.55,24.91,23.79,24.20,24.23,25.91,,,,27.2743,0,25.6013,0,6924,,,,,0
2023-08-25,23.98,24.30,23.50,24.04,24.05,25.54,,,,27.2743,0,25.2388,0,3414,,,,,0
2023-08-28,23.71,23.96,22.54,22.81,23.78,25.18,,,,27.2708,0,24.9197,0,27591,,,,,0
2023-08-29,23.00,24.02,22.69,23.80,23.70,24.90,,,,27.2708,0,24.5866,0,23122,,,,,0
2023-08-30,24.35,26.82,24.25,26.51,23.94,24.86,,,,27.2708,0,22.5400,1,19567,,,,,0
2023-08-31,26.42,26.81,25.35,25.47,24.15,24.74,,,,27.2708,0,22.6256,1,15297,,-1.3296,-1.9315,0.6019,0
2023-09-01,25.82,26.50,25.78,26.10,24.49,24.69,,,,27.2708,0,22.7095,1,8000,,-1.1206,-1.7693,0.6487,0
2023-09-05,29.17,29.64,28.06,28.64,24.98,24.80,,,,23.8586,1,22.7917,1,32687,,-0.7415,-1.5638,0.8222,0
2023-09-06,28.16,28.33,27.53,28.20,25.41,25.00,,,,23.8586,1,23.0656,1,13279,,-0.4712,-1.3452,0.8741,0
2023-09-07,26.99,27.92,26.51,27.33,25.71,25.04,,,,23.8586,1,23.3286,1,12930,,-0.3234,-1.1409,0.8175,0
2023-09-08,27.10,27.32,25.91,26.40,25.93,25.08,,,,23.8586,1,23.5811,1,7968,,-0.2781,-0.9683,0.6902,0
2023-09-11,27.17,27.63,26.16,26.47,26.17,25.11,,,,23.8586,1,23.8234,1,11541,,-0.2339,-0.8214,0.5876,0
2023-09-12,25.49,26.55,25.49,26.54,26.55,25.16,,,,23.8586,1,24.0561,1,5754,,-0.1910,-0.6953,0.5044,0
2023-09-13,26.41,26.97,25.00,25.29,26.70,25.20,,,,23.8586,1,24.2794,1,7615,,-0.2549,-0.6072,0.3524,0
2023-09-14,25.50,26.67,25.50,25.58,26.60,25.27,,,,23.8586,1,24.4939,1,9477,,-0.2789,-0.5416,0.2627,0
2023-09-15,25.58,26.40,25.14,25.76,26.63,25.39,,,,23.8586,1,24.6997,1,15639,,-0.2802,-0.4893,0.2091,0
2023-09-18,26.30,27.98,25.72,25.78,26.60,25.54,,,,23.8586,1,24.8973,1,16556,,-0.2765,-0.4467,0.1703,0
2023-09-19,25.42,25.66,24.23,25.33,26.27,25.63,,,,23.8586,1,29.6400,0,7331,,-0.3062,-0.4186,0.1124,0
2023-09-20,25.24,25.79,25.08,25.39,25.99,25.70,,,,23.8586,1,29.5318,0,4240,,-0.3213,-0.3992,0.0779,0
2023-09-21,24.50,24.53,23.87,23.98,25.65,25.68,,,,23.8586,1,29.4258,0,7163,,-0.4419,-0.4077,-0.0342,0
2023-09-22,25.22,25.24,24.41,24.47,25.46,25.69,,,,23.8586,1,29.2035,0,4449,,-0.4923,-0.4246,-0.0677,0
2023-09-25,24.07,25.00,23.98,24.81,25.29,25.73,26.46,,,23.8586,1,28.9902,0,5213,11862,-0.4990,-0.4395,-0.0595,0
2023-09-26,24.06,25.26,24.06,24.92,25.13,25.84,26.40,,,23.8586,1,28.7854,0,7000,11658,-0.4899,-0.4496,-0.0403,0
2023-09-27,25.60,25.67,24.86,25.26,25.13,25.91,26.33,,,23.8586,1,28.5888,0,7596,11278,-0.4500,-0.4497,-0.0003,0
2023-09-28,24.39,24.45,23.50,24.00,24.97,25.79,26.23,,,23.8586,1,28.4000,0,7882,11189,-0.5141,-0.4626,-0.0515,0
2023-09-29,24.35,24.79,24.15,24.31,24.82,25.73,26.14,,,23.8586,1,28.1060,0,7006,11167,-0.5337,-0.4768,-0.0570,0
2023-10-02,24.31,24.31,23.51,23.83,24.63,25.61,26.03,,,27.7490,0,27.8297,0,8588,11175,-0.5813,-0.4977,-0.0836,0
2023-10-03,23.21,23.65,23.01,23.43,24.44,25.35,25.88,,,27.0311,0,27.5699,0,8540,11109,-0.6439,-0.5269,-0.1170,0
2023-10-04,23.32,23.43,22.69,23.20,24.22,25.10,25.74,,,26.6130,0,27.2051,0,8927,11121,-0.7040,-0.5623,-0.1416,0
